index,aldehyde_smiles,PubChem_CID
241318,CC[C@@](CNCC1=CC=C2C(C1)(C=CS2)C)(C=O)OC3=C(C=C(C=N3)Cl)C(F)(F)F,148788449
263223,CC1=CC2=C(C=C1C)N(C(=O)C(N2)C(=O)NC(=O)N)CC(C(C(C=O)O)O)O,536738
267969,C/C(=C\CC[C@]1(C=CC2=C(C=C(C(=C2O1)C=O)COC(=O)C)O)C)/CC[C@@H]3C(O3)(C)C,139292075
273924,C1COC2=C1C=C(C=C2)C3=NC(=NC=C3)NC4=CC=C(C=C4)S(=O)(=O)NCC=O,11690064
274444,C[C@@H]1[C@@H]2[C@H](C(=O)N2C(=C1C3=CN4C(=CN=C4C=O)S3)C(=O)OCOC(=O)C(C)(C)C)[C@@H](C)O,12070037
277988,CC1=C(NC(=C1CCC(=O)O)CC2=C(C(=C(N2)C=O)C)CCC(=O)O)/C=C\3/C(=C(C(=O)N3)C=C)C,13988204
279616,CCCC1=CC=C(N1CC2=CC=C(C=C2)C3=CC=CC=C3C4=NNN=N4)C=O,14987390
281401,C1COC[C@@H]1O/N=C(\C2=CC=C(C=C2)S(=O)(=O)C3CC3)/C(=O)NC4=NC=C(S4)C=O,15953097
284578,CCN(CC)C1=CC=C(C=C1)CC2CNCCN2C3(C=CC(C=C3)C=O)N(CC)CC,18440747
284888,C1CC(=O)N2CNCC(C[N+]2(C1NC(=O)CC3=CC=CC=C3)[O-])C(=O)NC(CC(=O)O)C=O,18465823
285769,C(=O)[C@@H]([C@H]([C@@H]([C@@H](C(O)OS(=O)(=O)O)O)O)O)NOS(=O)(=O)O,18639646
285934,CO[C@H](CN=[N+]=[N-])[C@@H]([C@H](C=O)OC)OC,18654074
286002,C1C[C@H](NC1)C(=O)N([C@@H](CCCN=C(N)N)C=O)C(=O)C2C3=CC=CC=C3CCO2,18660594
286695,CC1=C(C=CC2=C1C(=O)OC(=N2)N[C@](C)(C=O)N3CCOCC3)NC(=O)CN4CCCC4,18732063
286850,CCCN1C2=C(C(=O)N(C1=O)CCC)NC(=N2)C34CCC(CC3)(OC4)C=O,18767721
288407,CC1=CC=C(C=C1)S(=O)(=O)OC2=C3C(=C(C(=C2CC4=CC(CC4)(C)CC=O)OC)C)COC3=O,19046285
290756,CCCC1=C(C=CC(=C1O)C(=O)C)CSC2=NN=C(S2)NOC(=O)CCC=O,19800946
290854,CC1CN(CCC1(C)C2=CC(=CC=C2)O)CCN(C3CCCCC3)C(=O)CCCNCC(C)CC=O,19813696
