index,aldehyde_smiles,PubChem_CID,dG_xtb_kcal,dG_shermo_kcal,dG_orca_kcal
49484,C1=CC=C(C=C1)COC2=C(C=C(C=C2F)CC=O)F,59455550,-10.74,-10.43,0.21
52233,C1=CC(=C(C(=C1)F)CF)C=O,84650302,-13.16,-12.95,0.51
53509,C1=CC(=C(C=C1Br)C=O)C(F)(F)Br,86633501,-14.5,-14.24,0.2
53638,C1CC2=C3C(=NC=C2F)C=CC(=O)N3C1C=O,86640630,-8.71,-8.61,-4.95
57666,C1=NC(=NC(=N1)F)C=O,87328144,-21.54,-21.58,-8.54
58852,C1=CC(=C(C=C1F)F)N2C(=C(C(=N2)Cl)C=O)Cl,87406477,-12.68,-12.41,0.11
59305,C1CNC(C(SCC#CCN1)C(F)(F)F)C=O,87443113,-23.714,-23.4822,-11.814
59887,C1CC(CN(C1=O)C([C@H](CC=O)N)N2CCC3=C(C2)N=C(S3)C(F)(F)F)(F)F,87527185,-12.8563,-14.8336,-3.0262
63366,C=C1CC(C(C1)C2=CC(=CC=C2)F)C=O,87907046,-9.65,-9.71,0.94
65618,C1COCCC1CN=C(C=O)NC2=C(N=C(C=C2)C3=CC=C(NC3)F)NCC4=CN=CC=C4,88270021,-3.4491,-3.1906,4.5363
65644,CCC(C)C1=NC(=C(C(=N1)C(F)(F)F)C)CN(CC)C(=O)C[C@@H](CNCC(CCC=O)(F)F)N,88270967,-6.6103,-6.2626,5.7857
65663,CCCC1=C(N=CN2C1=NC(=N2)C=O)CC(CC=N)NC3C(C=CC=N3)F,88272005,-14.421,-14.3377,-3.7868
65708,CC(=O)NC1=CC(=C(C=C1)C(=O)NCC(=O)N2CCC[C@H]2C=O)F,88275011,-7.74,-10.52,0.8
65729,CNC(CCNC1=C(C=C(C=C1)C(=O)O)F)C=O,88276637,-12.87,-12.48,-4.1
66005,C1=C(C(=C(C(=C1Br)F)Br)Br)C=O,88309299,-14.35,-14.22,0.32
66533,C1[C@H]([C@@]1(C=O)F)C2=CC(=C(C=C2)Br)Br,88462299,-10.22,-10.34,-2.8
68680,CN(C[C@@]1(CC(CN1)(F)F)C=O)S(=O)(=O)N2CCN(CC23CC3)C4=NC=NC5=C4C=CN5,88925268,-12.9772,-12.7482,-5.1826
68698,CC(C)(CN1CCC(CC1)OC2=NC=NC3=C2SC=C3C4=C(C=C(C=C4)S(=O)(=O)C)F)C=O,88926508,-1.7865,-0.8156,9.3206
68728,C1=CC(=CC(=C1)NC2(C3=C(NC=C3)N=C(N2C4=CC=CC(=C4C=O)C(=O)N)F)F)C5=CN=CO5,88929976,-8.4213,-8.1396,4.6751
69148,CC(C)C1=C(C(=NC(=N1)NC)C(=C)/C=C\CF)CC[C@H](C[C@H](CC=O)O)O,88961275,-5.1627,-3.9564,3.2804
69329,CC1=C(C(=O)C2=C(C(=C(C3=C2N1C4(CCC4)CCO3)F)F)N=O)C=O,88975255,-22.8453,-22.7298,-9.2313
70781,CC1=CC(=CC(=C1C2=C(C=NC=C2)F)C)C3=NC(=NO3)C4=CC5=C(C=C4)C(CC5)NC6CC(C6)C=O,89128265,-5.5596,-4.3505,-0.1771
71322,C1CC(C1)(CC2=CC=C(S2)Cl)C(C/C=C/[C@H]3[C@@H](CC([C@@H]3C/C=C\CCCC=O)F)O)O,89193960,-7.9157,-5.853,-0.4291
72589,C=C/C=C\C(=C/F)\C(=C/N)\CC=O,89377012,-10.6289,-10.614,-0.5767
73100,C1C(N(NC1C(F)(F)F)C2=CC=C(C=C2)NNCC=O)C3=CC4C(C=C3)SC5=CC=CC=C5N4,89534931,-9.4677,-9.1325,-3.1979
73519,CCC1=C(N=C(C(=N1)C=O)NC2=CCC(C=C2)N3CCN(CC3)C)OC4=C(C(=CCC4)N)F,89709142,-1.6565,-1.2538,15.7307
76628,CC1CC2=C(C=C1)N=C(S2)C3=C(N=C(N=C3Cl)NCCF)NC4CC(C(C4O)C=O)CO,90958176,-11.373,-9.851,1.7949
76670,CC1=C(C=CC(=C1F)C2=CSC(=N2)NCC(C=O)C(=S)C3=C(NC(=O)N(C3=O)C)N)F,90984292,-7.7828,-5.1935,-9.0508
77553,CC1=C(C(=C(C=C1)S(=O)(=O)NC2=CCC(=C(C(F)F)NNO)C=C2)C)C=O,91365932,-10.0064,-8.7126,12.5919
78340,COC(=O)COC1=C(C=C(C=C1)C=O)F,103850154,-8.98,-8.99,2.21
78740,C1=C(C(=CC(=C1F)F)C#N)C=O,117276426,-11.56,-10.47,0.46
79653,CCC(C=O)O[C@H]1[C@H]([C@@H](O[C@@]1(CO)CCl)N2C=CC(=NC2=O)N)F,117892516,-13.4432,-12.4433,-6.2444
79679,C1C[C@@H]2[C@H](C[C@H]1F)CC3([C@H]2C=O)OCCO3,117899089,-11.5118,-11.244,-1.8237
79877,C1C(CN1C(=O)C2=C(C=CC(=C2)C=O)F)NC3=NN=CC=C3,117955816,-8.64,-7.5,2.17
80394,C1[C@H]([C@@H](OC(=O)OC(=O)O1)[C@@H](C=O)F)Br,118108977,-18.6125,-18.717,7.2273
80856,CC1=NN(C=C1)[C@]2(C(C=CC=C2C)C=O)CN3CCCCC3CNC4=NN=C(S4)C(F)(F)F,118309989,1.6807,2.0204,7.0259
81247,C1CC(C(N(C1)C2C(CO2)N3CCC4=C(C3)NN=C4C=O)C(F)(F)F)F,118483454,-10.5185,-8.0954,7.8131
81467,CCNC(C)(C=O)OC1(CC=C(C=C1)N(CC)C2=NC=C3C(=C(SC3=N2)C(=O)O)C)F,118597126,-9.5184,-12.5756,10.3339
82510,COC1=C(C=C(C=C1)[C@@H](COCC=O)N)F,121428625,-12.21,-12.5,1.41
83123,C1=CC(=CC(=C1)C=O)/C=C/C2=CC=C(C=C2)F,122476199,-9.13,-8.61,-0.45
84092,C1=CC=C(C(=C1)N=NCC=O)F,123159704,-9.2,-9.04,-13.1
84111,C1CC(CCC1C(C=O)C2=C3C(C=CC=C3C4=CN=CN42)F)(F)F,123168407,-16.0414,-15.9646,-13.431
84159,C1CCC2=C(C1)COC3=C(C(=CN=C3C(CN4C2=CC=N4)(F)F)O)C=O,123190209,45.9142,46.3365,70.5387
84514,[C-]#[N+]C1=CC(=CC(=C1)F)OC2=C(C=C(C=C2)C=O)F,123349988,-9.95,-9.83,1.62
85693,CC(C(=C(C=C)C1=CCNCCC1)C=C)N2C3=C(C=C(C(=C3)F)CC=O)OC2=N,123916575,-11.2466,-11.2192,-9.158
85839,CC(C(C(=O)O)NF)SC1CC(=O)C(C1=O)CCC=O,123991123,-13.3828,-13.4451,0.029
86282,CC1=CC=C(C=C1)N(C(=S)N(C)C2=NN(C(=N)C=C2)C(=N)C(F)(F)F)C3(CCC3)C=O,126527114,6.4866,7.7616,11.881
86738,C1COCCN1C2=NC(=CN3C2=NC(N3)C=O)SF,126660758,-9.819,-9.667,0.9435
88657,C=NCC1=CC2=C(NN=C2C(=C1)F)C3NC(=C(C=N3)F)N[C@H]4[C@H]5CCC(=CC5)C4C=O,130341201,-131.7154,-131.9371,-112.7573
88696,C1C=C(C=CC=C1F)C#CC2=CC(=C(S2)C=O)NC(=O)N,130358141,-0.365,0.533,9.8969
89383,CC1=NN(C(=C1)C=O)CC2=CC=C(C=C2)F,131584465,-10.79,-12.38,-2.55
89649,CCC1=CC(=CN(C1=NC)C(=C)C(F)F)N2C(C(=C)C(C2=C)C=O)C3=CC=C(C=C3)Cl,132023524,-10.3616,-10.7255,-1.7614
89711,C1CCC(C1)C(CC#N)N2C=C(C(=N2)NCCC=O)C3=C4C=CN(SC4=NC=N3)F,132039436,-22.0051,-21.5811,-10.3798
91178,CC1CC1N2C(=O)C3=C(N(C2=O)CCC(C(F)F)(F)F)SC(=C3C)C=O,134366825,-8.7179,-8.8289,15.7587
93066,CC1=CNC2=C1C=CC=C2C3=C(C=C4C(=C3F)/C(=N/OC(C)(C)C=O)/CC(N4)(C)C)F,136409382,-8.3122,-7.4117,-1.7296
93146,CN1C(=CC(=N1)C(=O)NCC=O)C2=CC3=C(N2)C=CC(C3)F,136472482,-10.47,-10.58,-4.53
93254,CC1(CCC(CC1)C2=NC3C(C=NN3C4=C2C=CN4)C5=CC6=C(C=CC(C6)(C)F)N=C5)C=O,137072832,4.0977,5.4811,11.3405
93480,CC1=CC2=C(CC=CC2(C=O)N3C4=CC(=C(C=C4OC3=O)S(=O)(=O)NC5=NC=CS5)F)C=C1,137369790,-12.9237,-11.3612,-0.0492
93887,C1CC([C@H](C(C1)N2CC3=C(C2=O)C=C(C=N3)C(=N)OC(=N)C(F)F)N)C4CC4(C=O)C(F)F,137472532,-4.0785,-4.0724,13.244
94546,CS(=O)(=O)C1CN(C(CN1)N2CC[C@H]([C@@H](C2)N)F)CC=O,138562683,-21.3284,-21.3697,-13.9618
94765,C=C(/C=C\C=C(\C1C[C@@H](NC1C=O)CO)/F)Cl,138646687,-16.4251,-16.3671,-1.6896
94817,C1C(=CC=CN1)CNC(/C=C/C2=CC=C(C=C2)C(F)F)C=O,138663476,-11.9656,-10.0786,-3.4864
94883,CONC1=C(C=C(C=C1)OCC=O)F,138699263,-13.85,-13.79,-5.6
94899,CC1CCC(C1)COC2=C(C=C(C(=C2)F)C=O)C3CC3,138699949,-9.19,-8.05,-0.5
95146,CC1=CC(=CC(N1)NCC2=CC(=CC(=C2)F)C3=CC(=CNC3)C)N(C)CCC(C=O)(C#N)C4CC4,139332782,3.1432,1.3966,-4.8056
95274,CCN(C)C1(CCC1)CN2C=C(C(=O)C(=C2C=O)O)/C(=C/NCC3=C(C=C(CC3)F)F)/N,139374725,4.1101,5.1146,12.3186
95514,CC1=C(C(=NC(=N1)Cl)N(C)C(C)C(F)(F)F)NC(=NCC2=NC=C(C=N2)S(=O)C)C=O,139437517,1.9534,0.6656,-12.2188
95539,CCOCC1(CCC(CC1)C2=C3CC(CN3N=C2C=O)(F)F)COCC,139451381,-11.2292,-10.9704,4.6238
96226,CC=CCN1C(=CC(=N1)C=O)C(F)(F)F,139674929,-12.1,-11.9,-1.92
96280,C1=C(C=C(C(=C1Cl)N2C(=CC(=N2)C=O)C(F)(F)F)Cl)Cl,139675080,-13.41,-11.17,0.98
96596,C1=CC(=C(C(=C1OC(F)(F)F)C=O)OC(F)(F)F)OC(F)(F)F,139966058,-15.55,-15.24,0.37
96667,CC(=C)C(=O)OCC(C=O)C(=O)OC1=CC=C(C=C1)OC(F)(F)F,140027333,-12.92,-13.02,-10.35
97012,C1=CC=C(C(=C1)C=O)C(C(C(C(F)(F)F)(F)F)(F)F)(F)F,140201506,-12.06,-11.81,-2.99
97540,CC1=CC2=C(C=CC(=C2C1=C)F)C3C4CC5CC(C4)CC3(C5)C(CSC)C(C=O)(C(=O)O)N,140567097,-0.0711,0.2449,-0.1232
98145,C1C=CC=C2C1C(=O)N(C2=O)[C@@H](CC=O)CF,141132124,-11.4006,-11.3624,-3.9285
98998,CN(C1=NC2CCC(OC2S1)C=O)C(=O)OF,141421878,-23.3644,-23.1415,13.7593
99190,CC(C)(C)C1=NC(=C2C(=C1)C=NN(C2=O)C3(C=C(C=CN3)Cl)C=O)F,141483485,-11.3018,-10.7707,-1.0315
101375,CCSC1=CC(=CN(C1C2=NC3=CC(=NC=C3N2C)C(F)(F)F)C)N(C)CCCC=O,142621038,-8.6564,-7.7801,-3.4141
101389,COC1(CC=C(C=C1)C2(CC=CC=C2)C=O)OCCCN3CCC(CC3)C4=NOC5=C4C=CC(=C5)F,142625456,-4.0007,-7.2782,1.1678
102059,C=CCC(CC=C)(C=O)F,142907651,-9.65,-9.88,1.6
103203,CN(CC1=C(C(=C(C(=C1N(C)S(=O)(=O)C)C=C)N=C)O)C=O)C/C(=C(/C(=C)Cl)\F)/C=C,143334320,3.2561,3.4668,15.0675
103355,CC(C)N(C)C1=C(C=C2C(=C1)C3=C(N2)C4=NNC(=C4CCC3)C(F)(F)F)C(C)(C)C=O,143412829,-0.8952,-0.7665,13.9953
104845,C/C=C\C1=C(C(C(=O)N1)C=O)/C=C/F,143920330,-16.0383,-16.0964,-8.8283
105499,CN(C=NC1=C(C=C(C2=CCCC=C21)C/C(=C/C=C/OC(F)F)/C=N)C=O)C3CCOCC3,144145675,13.2406,13.5789,21.8962
105596,C1CC2(CCC(CC2)(CCN(C3=CC=C(C=C3)C(C(F)F)O)N)C=O)OC1,144169840,0.2105,1.2666,9.3798
105886,CN(CCC(=O)N1CCCCCC1)CC(CC=O)C(=C)C2=C(OC3=C2C=NC=C3)C(=C)OC(F)F,144266638,-5.9928,-5.652,-3.9934
107239,C1[C@H](OC(S1)C=O)CC(=O)N=C(/C(=C\N)/F)N,144736925,-14.1549,-14.1862,-3.1767
107262,C1COCCN1C2=CC3=C(C=C2)C(=NC=N3)C4=CC(=C(C=C4F)F)C(C=O)C5=NN6C=CN=C6C=C5,144744863,-12.6695,-12.3645,-7.0134
109454,CC/C=C(\C(=C/C=C(C)C)\C1=CSC(=C1)C(CC=O)N=C(N)N(C)C)/F,145460786,-11.9031,-12.6996,1.6314
110121,CC1=C[C@@H](C(C=C1)(N2CC(=C)CC2C3=NC4=C(N3)C=C(C(=C4)Cl)C(F)(F)F)N5C=CC=N5)C=O,145679111,-6.0573,-6.2091,-4.2081
110151,C=C(C1CC1)NC(=O)C2=C(SC3=C2CCC(C3)(F)F)NC(=O)C4CCCCC4C=O,145685308,-9.2356,-9.4669,3.7579
110303,COC1CC(CC(C1OS(=O)(=O)C(F)(F)F)Cl)C=O,145830645,-15.8288,-15.728,-11.7721
110730,CS(C)(CC(CC#N)C(C=O)C#N)F,146319891,-18.1272,-18.069,-6.777
110738,COC1=C(C=CC(=C1)S(F)(F)(F)(F)F)C=O,146322672,-160.47,-161.03,-184.48
111382,COC(C=O)C1CC2=C(C(=O)C1)C(=C(N2)C3=C(C=NC=C3)OCC(F)F)NC4=CC=CC=C4,146516146,-8.7284,-10.4293,-3.0227
111393,CN1C(CN2C1=C(C=CC2=O)N=CC=O)CN3CCC(CC3)NCC4=C(C5=C(C=C4)OCCO5)F,146519917,-9.1855,-9.4119,1.3515
111756,CC[C@H]1[C@H](NC(=O)[C@H]1F)COC2=NC(=C(C3=C2C=C(C=C3)OC)C#CC4CCC(CC4)C=O)C(=O)N,146598414,-6.1586,-5.3716,-1.9276
112387,C1=CC(=C(C=C1C=O)C(F)(F)F)N=[N+]=[N-],149738925,-8.85,-8.66,6.23
112727,C1CN(CCC1O)[C@@]2(C([C@@H](CC(C2F)(C=O)OCl)O)O)O,150979237,-15.7917,-15.8499,-3.0856
113106,C=C(COC1=CC=CC=C1C=O)CF,152544701,-6.67,-7.72,1.68
113400,CC1=CC=C(C=C1)CC2(N(C(C(=O)N2C)CC3=CNC4=C3C(=C(C=C4)F)[N+](=O)[O-])C)C=O,153365912,-2.8519,-2.3677,-5.3549
115357,CCC(C1=NC2C=CC=C(C2C(=O)N1/C=C/C=C\C=C)F)NC3=C(C(=NC(=N3)SC)N=CN)C=O,155000084,-1.4311,-1.5194,21.2924
115360,C[C@@H](C1=NC2=C(C(=CC=C2)Cl)C(=O)N1C3=CC=CCC3)NC4=NC=NC(=C4C=O)N/C=C(\C)/F,155000138,2.3457,2.9997,9.1822
