id,error,dE_r2_single,dE_r2_boltz,dE_wb_single,nconf_ald,nconf_prod,std_ald_kcal,std_prod_kcal,dG_orca_kcal,dG_gxtb_kcal,dG_gxtb_corrected_final,boltz_corr,func_shift,dG_boltz,dG_wb97x
217300,,-16.508565010016664,-16.822408718507848,-14.803697416055348,5,5,1.116612450627124,2.1221927500804867,1.4791751320389417,-0.384,0.4114881938494811,-0.31384370849118426,1.7048675939613158,1.1653314235477574,3.1840427260002575
105280,,-4.698716375034673,-4.880679071811976,,5,5,1.6693223338417524,3.768008408414497,6.50820507317417,4.9956,7.726150516751195,-0.18196269677730292,,6.326242376396867,
25361,,-9.804933018624144,-9.859377864609389,-10.171416763007176,5,5,0.0848446336873607,2.400946093190383,11.6817386783667,8.7736,9.82686073527077,-0.05444484598524468,-0.3664837443830322,11.627293832381456,11.315254933983669
192444,,-15.525421374997835,-15.637508597138334,-12.748669165995794,5,5,0.290145738905765,0.9283055522766536,4.1094249140036245,13.1416,4.380050390034862,-0.11208722214049871,2.7767522090020407,3.997337691863126,6.886177123005665
91044,,-11.099988538004265,-11.715894362346438,,5,5,0.2743229440571271,3.4177940300015197,9.32441516277638,0.9668,5.008837407652615,-0.6159058243421729,,8.708509338434206,
165054,,-18.823112170559558,-18.45618981703089,-17.727232862554402,5,5,0.4520757947509668,1.9978950372862776,0.9988069792906368,-3.1425,-1.0894975508998912,0.3669223535286683,1.0958793080051557,1.365729332819305,2.0946862872957923
207986,,-16.147835774058787,-16.815655726297287,-16.2784904723896,5,5,0.008751456575318,0.7179934247585162,1.769655361980765,0.5948,1.5239109468464345,-0.6678199522384993,-0.13065469833081167,1.1018354097422656,1.6390006636499532
32173,,-20.247499826217854,-19.950530028302143,-21.086179274120827,5,5,1.4049351941108823,1.896838035003072,0.3312401347775772,-5.7813,-1.04352236177089,0.2969697979157111,-0.8386794479029724,0.6282099326932883,-0.5074393131253953
208422,,-8.40670459953932,-7.783389685965886,-9.840213517025967,5,5,0.4054687995322702,0.9331551510305388,11.148884452136802,6.7982,10.866633197573703,0.6233149135734344,-1.4335089174866464,11.772199365710236,9.715375534650155
140402,,-16.464636321721855,-15.6732353721912,-16.283505892673578,5,5,0.2448543957137912,2.1462204768150843,8.277147893269415,1.6411,7.444335442216277,0.7914009495306544,0.18113042904827736,9.06854884280007,8.458278322317692
77523,,-16.70727066731497,-16.48847446681781,-17.297724665728026,5,5,0.0668548325207512,2.611101599164005,3.496691834691864,5.1486,3.454091787084681,0.21879620049715953,-0.5904539984130572,3.7154880351890234,2.9062378362788066
172459,,-17.391771706696655,-18.42921972208936,-17.478130809470592,5,5,0.8336114064663603,1.905496437249581,-0.9766228550542932,-1.7386,-0.4365437031325561,-1.0374480153927053,-0.08635910277393677,-2.0140708704469983,-1.06298195782823
181645,,-11.959714793742942,-11.82807654515627,-14.283282932032796,5,5,0.9671293826710156,1.5384474023628512,5.005141302390205,0.2587,4.402261854014643,0.13163824858667184,-2.323568138289854,5.136779550976877,2.6815731641003513
176454,,-13.755744676243706,-13.761511598966418,-15.335675229881316,5,5,0.4682025791401306,1.8746192279165173,6.966317544675382,2.6145,7.399631937773886,-0.0057669227227119535,-1.5799305536376096,6.96055062195267,5.386386991037773
147080,,-14.074375244618675,-13.596778026454915,-14.934351572151945,5,5,0.5827047008537578,2.290593687818879,4.849447262728384,5.7945,6.496737030775593,0.4775972181637602,-0.8599763275332695,5.327044480892144,3.989470935195114
169493,,-14.544933182889032,-15.046721536042073,-14.315130252064344,5,5,0.7503488806790897,2.0185281032982374,5.936061248887627,-0.4993,5.0032369496885325,-0.5017883531530405,0.22980293082468783,5.434272895734587,6.165864179712315
157493,,-20.366330417431943,-19.74723217582658,,5,5,0.403689086532626,3.8161264461455566,5.575193442489048,1.5584,5.025379934478079,0.6190982416053643,,6.194291684094412,
3253,,-13.644559108764664,-12.466698157425622,-14.155588057275509,5,5,0.0077224983966379,0.9541155185142164,1.534691207129098,1.9639,2.184032371224987,1.1778609513390421,-0.5110289485108446,2.71255215846814,1.0236622586182533
26642,,-14.82787575968178,-14.68625541310846,-15.27337869786919,5,5,0.0173353742579246,1.7020849281119883,2.903130644699192,4.5148,3.2535568709836995,0.141620346573319,-0.4455029381874098,3.044750991272511,2.457627706511782
187453,,-7.413711231394618,-6.61599496146846,-9.647514518568387,5,5,0.0114262111668834,2.720302855436568,9.843184391107414,6.4579,10.114670100954918,0.7977162699261582,-2.233803287173769,10.640900661033573,7.609381103933645
150576,,-9.121777523675696,-8.995042566711849,-11.742499393565168,5,5,0.0310384601576556,1.6593028246534247,10.425412533993406,5.6541,9.19325395847923,0.12673495696384762,-2.620721869889472,10.552147490957253,7.8046906641039335
49254,,-8.295676993843317,-9.932389593150567,-6.945975156300185,5,5,3.682683826010107,2.325607442144823,-2.970322854429348,-0.6656,-3.71301621348558,-1.6367125993072502,1.3497018375431322,-4.607035453736598,-1.6206210168862158
127980,,-9.726189268816976,-10.240945625293993,,5,5,1.0583302133799246,3.0219537552959834,12.840277271944878,9.919,14.143477337515172,-0.514756356477017,,12.32552091546786,
179483,,-18.75260598679938,-17.859483224892713,-17.45414263269795,5,5,1.5275962158776082,1.10966345427836,3.342905409150404,2.8689,3.7744595029928583,0.8931227619066675,1.2984633541014325,4.236028171057072,4.641368763251837
41617,,-18.312492487000775,-17.73355122843605,-17.33927138089449,5,5,0.4224709202733356,2.57558213735502,4.173011806892028,3.1008,4.674166000617895,0.5789412585647256,0.9732211061062834,4.751953065456753,5.146232912998311
182668,,-15.292217017920873,-17.54519522513066,,5,5,1.5443195836120929,3.433513820325247,9.184347415299507,13.7642,10.32041726277363,-2.252978207209786,,6.931369208089722,
195867,,-18.952250054759272,-17.59819315372762,,5,5,1.1098139900053243,2.834333737525242,5.102889530886918,-1.9353,5.349147954143152,1.354056901031651,,6.456946431918569,
133045,,-12.48678461372332,-12.427211659455065,-13.714279738087448,5,5,0.0094419318227626,1.150969222633207,2.026237969232996,5.2327,1.8541398153425,0.05957295426825482,-1.227495124364129,2.085810923501251,0.7987428448688672
