id,ald_smiles,smiles,cls,error,struct_cluster,ald_sulfonyl,ald_sulfonyl_F,ald_nitro,ald_nitrile,ald_imine,ald_has_B,ald_has_Si,ald_has_P,ald_soft_S_thioether,ald_furan_O,ald_thiophene_S,ald_azine_N,ald_halogen,ald_ester,ald_amide,prod_sulfonyl,prod_sulfonyl_F,prod_nitro,prod_nitrile,prod_imine,prod_has_B,prod_has_Si,prod_has_P,prod_soft_S_thioether,prod_furan_O,prod_thiophene_S,prod_azine_N,prod_halogen,prod_ester,prod_amide
104360,CCN(CC1=C(C=CC(=C1C#N)F)OCCNC)C2=NC3=C(C(=NN3C=C2)N)C=O,CCN(Cc1c(OCCNC)ccc(F)c1C#N)c1ccn2nc(N)c(C(=O)C(O)c3c(N)nn4ccc(N(CC)Cc5c(OCCNC)ccc(F)c5C#N)nc34)c2n1,aromatic,1.013562104625464,3,False,False,False,True,False,False,False,False,False,False,False,True,True,False,False,False,False,False,True,False,False,False,False,False,False,False,True,True,False,False
160664,CCC1=NN(C(=N1)CC)C2=C(C(=CC=C2)F)C=O,CCc1nc(CC)n(-c2cccc(F)c2C(=O)C(O)c2c(F)cccc2-n2nc(CC)nc2CC)n1,aromatic,2.7008577747560523,3,False,False,False,False,False,False,False,False,False,False,False,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,True,True,False,False
68517,CC(C=O)NC1=NC(=NC(=C1)C(=O)N)N2C3CCC2CC(C3)OC4=CC=C(C=C4)F,CC(Nc1cc(C(N)=O)nc(N2C3CCC2CC(Oc2ccc(F)cc2)C3)n1)C(=O)C(O)C(C)Nc1cc(C(N)=O)nc(N2C3CCC2CC(Oc2ccc(F)cc2)C3)n1,aliphatic,1.9128342477741285,1,False,False,False,False,False,False,False,False,False,False,False,True,True,False,True,False,False,False,False,False,False,False,False,False,False,False,True,True,False,True
128261,CC1=C(C=C(C(=C1OCC2=CC=CC=C2)OS(=O)(=O)C(F)(F)F)C=O)OC,COc1cc(C(=O)C(O)c2cc(OC)c(C)c(OCc3ccccc3)c2OS(=O)(=O)C(F)(F)F)c(OS(=O)(=O)C(F)(F)F)c(OCc2ccccc2)c1C,aromatic,6.151610898447306,0,True,False,False,False,False,False,False,False,False,False,False,False,True,False,False,True,False,False,False,False,False,False,False,False,False,False,False,True,False,False
111031,COC1=CC=C(C=C1)C[C@@H](C=O)N2C(=O)CCC23CCC(=O)CC3,COc1ccc(CC(C(=O)C(O)C(Cc2ccc(OC)cc2)N2C(=O)CCC23CCC(=O)CC3)N2C(=O)CCC23CCC(=O)CC3)cc1,aliphatic,4.449168478703946,1,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True
215988,C1CN(C(CN1)C(=O)C2=C(C=C(C=C2)Cl)Cl)C3(C=CC(C(=C3)Cl)C=O)Cl,O=C(C1C=CC(Cl)(N2CCNCC2C(=O)c2ccc(Cl)cc2Cl)C=C1Cl)C(O)C1C=CC(Cl)(N2CCNCC2C(=O)c2ccc(Cl)cc2Cl)C=C1Cl,aliphatic,14.294349279574336,1,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False
29737,CC1=CC(=C(C=C1C=O)S(=O)(=O)F)C,Cc1cc(C)c(S(=O)(=O)F)cc1C(=O)C(O)c1cc(S(=O)(=O)F)c(C)cc1C,aromatic,1.1887968434653082,0,True,True,False,False,False,False,False,False,False,False,False,False,True,False,False,True,True,False,False,False,False,False,False,False,False,False,False,True,False,False
200009,CCN(CC)C1=CC(=C(C=C1)C=O)OCC2=CN(N=N2)CC(=O)NC3=C(C=C(C=C3)Cl)Cl,CCN(CC)c1ccc(C(=O)C(O)c2ccc(N(CC)CC)cc2OCc2cn(CC(=O)Nc3ccc(Cl)cc3Cl)nn2)c(OCc2cn(CC(=O)Nc3ccc(Cl)cc3Cl)nn2)c1,aromatic,1.557436950003975,0,False,False,False,False,False,False,False,False,False,False,False,True,True,False,True,False,False,False,False,False,False,False,False,False,False,False,True,True,False,True
46112,CC1CCC2=C(N1C(C=O)N3CCC(CC3)N4C5=C(C=CC=C5COC4=O)C)C=CC(=C2)F,Cc1cccc2c1N(C1CCN(C(C(=O)C(O)C(N3CCC(N4C(=O)OCc5cccc(C)c54)CC3)N3c4ccc(F)cc4CCC3C)N3c4ccc(F)cc4CCC3C)CC1)C(=O)OC2,aliphatic,1.5688855958893413,1,False,False,False,False,False,False,False,False,False,False,False,False,True,True,True,False,False,False,False,False,False,False,False,False,False,False,False,True,True,True
3968,CC[C@@]1(C2=CC3=C(CC4=C(C5=CC=CC=C5N=C43)C=O)C(=O)N2COC1=O)O,CCC1(O)C(=O)OCn2c1cc1c(c2=O)Cc2c-1nc1ccccc1c2C(=O)C(O)c1c2c(nc3ccccc13)-c1cc3n(c(=O)c1C2)COC(=O)C3(O)CC,aromatic,0.0208733712514166,3,False,False,False,False,False,False,False,False,False,False,False,True,False,True,False,False,False,False,False,False,False,False,False,False,False,False,True,False,True,False
