id,error,cluster
57330,3.78101542245947,1
37049,4.054333399512123,3
83205,9.751849310108145,3
1714,4.057316106882575,3
57883,4.230670537687375,1
92124,9.988379926880713,2
50504,4.18562608543585,3
180915,4.015951026900438,1
118145,12.665407042733898,0
24192,3.406502792836002,1
216621,7.8840334370164005,2
186751,13.617547076537896,2
3510,3.479014457699744,3
184460,3.77129652004524,0
216589,3.4372390536541575,0
7292,8.563639863904653,3
56821,5.058976065535937,2
162112,5.4856003248297025,1
70882,4.616217640426614,0
64620,4.125941000445181,1
173497,3.3632336136921355,0
61067,6.200661669267565,1
194468,4.617523239184556,0
66039,4.883478553109505,2
4764,3.4167281344228755,1
169452,5.675584896833527,0
41997,5.205102361304183,3
217510,3.196904974478271,3
190937,3.6198893397944794,2
72193,4.273904054765631,0
148724,4.230132533684284,1
64881,4.499631768135947,2
5361,3.4275263767112945,3
160287,3.49195712206674,0
127161,4.081533031309837,1
135845,3.783731941445754,1
219919,4.265895943433199,1
70609,3.963872180872503,3
12305,3.2754621655614935,0
3721,6.455684116134105,3
87577,4.442604072603077,1
52135,8.47614447842736,3
95441,4.47694456901179,2
66886,4.891852145366815,2
106879,3.332291373404247,2
336,4.113031903584334,3
41806,4.4640533388435655,0
66726,3.5683422935623073,2
88510,6.7583230304172375,2
37614,4.247800451528128,0
145841,3.5074171605534517,0
43134,3.3998282581649018,2
150032,5.143943465532377,1
61025,8.440022930204005,2
163718,3.696381041877233,1
190110,3.6276632705459715,3
114869,4.55557202110872,1
89150,5.123256366866254,2
34867,3.6782597179665273,0
33654,3.2004110259474423,3
112287,8.025513138583563,0
69107,3.4351386459948845,1
205540,6.787368254095992,2
13792,4.968922675199787,3
55595,8.301297321490406,1
215488,7.17498805787386,1
52825,4.31256015186237,3
31426,5.526616567935022,0
111463,3.1321467108063423,3
148834,9.028292231397693,2
557,7.589119334491686,2
125297,4.093519925294096,3
30952,4.517009686018991,1
92241,3.6239132656524706,2
135569,4.197433952537478,0
207355,5.994824193688526,3
205988,3.3523295458530407,0
96106,3.23749151288371,2
15159,4.6881197447651815,0
103966,3.1355216189673385,1
36437,3.1783698149210124,3
136438,4.660916419105927,0
69889,5.381174169776665,3
84945,22.34603632316772,1
