id,prod_smiles,ald_smiles,dG_orca_kcal,dG_gxtb_kcal
105280,O=C(c1cc2c3c(ccc2[nH]1)CN(CC1(F)CNC1)CC3)C(O)c1cc2c3c(ccc2[nH]1)CN(CC1(F)CNC1)CC3,C1CN(CC2=C1C3=C(C=C2)NC(=C3)C=O)CC4(CNC4)F,6.50820507317417,4.9956
25361,O=C(O)Oc1cc(C(=O)C(O)c2ccc(O)c(OC(=O)O)c2)ccc1O,C1=CC(=C(C=C1C=O)OC(=O)O)O,11.6817386783667,8.7736
192444,CC(=O)c1cc(Br)c(C(F)(F)F)cc1C(=O)C(O)c1cc(C(F)(F)F)c(Br)cc1C(C)=O,CC(=O)C1=CC(=C(C=C1C=O)C(F)(F)F)Br,4.1094249140036245,13.1416
91044,N#Cc1c(C(=O)C(O)c2cc(-c3ccc(OC(F)(F)F)cc3)c3c(c2C#N)CCO3)cc(-c2ccc(OC(F)(F)F)cc2)c2c1CCO2,C1COC2=C(C=C(C(=C21)C#N)C=O)C3=CC=C(C=C3)OC(F)(F)F,9.32441516277638,0.9668
165054,Cc1cc(C(C)CC(=O)C(O)CC(C)c2cc(C)c(F)c(O)c2)cc(O)c1F,CC1=CC(=CC(=C1F)O)C(C)CC=O,0.9988069792906368,-3.1425
207986,O=C(c1ccc2nccnc2n1)C(O)c1ccc2nccnc2n1,C1=CC2=NC=CN=C2N=C1C=O,1.769655361980765,0.5948
32173,CC(C)(C)OC(=O)N1CCCC1(F)C(=O)C(O)C1(F)CCCN1C(=O)OC(C)(C)C,CC(C)(C)OC(=O)N1CCC[C@@]1(C=O)F,0.3312401347775772,-5.7813
208422,CN1CCn2cc(C(=O)C(O)c3cn4c(n3)CN(C)CC4)nc2C1,CN1CCN2C=C(N=C2C1)C=O,11.148884452136802,6.7982
140402,CCn1cc(C(=O)C(O)c2cn(CC)nc2-c2ccc(F)cc2Br)c(-c2ccc(F)cc2Br)n1,CCN1C=C(C(=N1)C2=C(C=C(C=C2)F)Br)C=O,8.277147893269415,1.6411
77523,O=C(c1cc(OSC(F)(F)F)cc(OSC(F)(F)F)c1)C(O)c1cc(OSC(F)(F)F)cc(OSC(F)(F)F)c1,C1=C(C=C(C=C1OSC(F)(F)F)OSC(F)(F)F)C=O,3.496691834691864,5.1486
41454,CC(C)Oc1ccc(CCCC(=O)C(O)CCCc2ccc(OC(C)C)cc2Oc2ncc(C(F)(F)F)cc2Cl)c(Oc2ncc(C(F)(F)F)cc2Cl)c1,CC(C)OC1=CC(=C(C=C1)CCCC=O)OC2=C(C=C(C=N2)C(F)(F)F)Cl,3.513895620286366,-3.8875
89536,CCNC1CC(C)n2c(C(=O)C(O)c3c(O)c(=O)c(C(=O)NCc4ccc(F)cc4F)c4n3C(C)CC4NCC)c(O)c(=O)c(C(=O)NCc3ccc(F)cc3F)c21,CCN[C@H]1C[C@@H](N2C1=C(C(=O)C(=C2C=O)O)C(=O)NCC3=C(C=C(C=C3)F)F)C,12.312919133761843,10.6075
172459,N#Cc1cc(Cl)nc(C(=O)C(O)c2nc(Cl)cc(C#N)c2C(F)F)c1C(F)F,C1=C(C(=C(N=C1Cl)C=O)C(F)F)C#N,-0.9766228550542932,-1.7386
181645,O=C(c1ncc(F)[nH]1)C(O)c1ncc(F)[nH]1,C1=C(NC(=N1)C=O)F,5.005141302390205,0.2587
176454,CCc1cc(F)cc2scc(C(=O)C(O)c3csc4cc(F)cc(CC)c34)c12,CCC1=C2C(=CC(=C1)F)SC=C2C=O,6.966317544675382,2.6145
100430,O=C(C(O)C1OC(C=Cc2ccccc2)CN1c1ccc(N2CCOCC2)c(F)c1)C1OC(C=Cc2ccccc2)CN1c1ccc(N2CCOCC2)c(F)c1,C1COCCN1C2=C(C=C(C=C2)N3CC(OC3C=O)C=CC4=CC=CC=C4)F,0.8064097414067407,-2.5244
147080,COc1c(C(=O)C(O)c2cc(Br)c(O)c(F)c2OC)cc(Br)c(O)c1F,COC1=C(C(=C(C=C1C=O)Br)O)F,4.849447262728384,5.7945
169493,COc1cnc(C(F)F)c([N+](=O)[O-])c1C(=O)C(O)c1c(OC)cnc(C(F)F)c1[N+](=O)[O-],COC1=CN=C(C(=C1C=O)[N+](=O)[O-])C(F)F,5.936061248887627,-0.4993
157493,O=C(c1cccc(F)c1N1CCCCCCC1)C(O)c1cccc(F)c1N1CCCCCCC1,C1CCCN(CCC1)C2=C(C=CC=C2F)C=O,5.575193442489048,1.5584
3253,CC(C)(C)n1cc(C(=O)C(O)c2cn(C(C)(C)C)nn2)nn1,CC(C)(C)N1C=C(N=N1)C=O,1.534691207129098,1.9639
26642,O=C(NO)c1ccc(C(=O)C(O)c2ccc(C(=O)NO)cc2)cc1,C1=CC(=CC=C1C=O)C(=O)NO,2.903130644699192,4.5148
191508,O=C(NCC(O)C(O)c1cc(C(=O)C(O)c2cc(C(O)C(O)CNC(=O)OCC3c4ccccc4-c4ccccc43)ncc2F)c(F)cn1)OCC1c2ccccc2-c2ccccc21,C1=CC=C2C(=C1)C(C3=CC=CC=C32)COC(=O)NCC(C(C4=NC=C(C(=C4)C=O)F)O)O,7.703668022556869,-4.937
187453,O=C(c1ccc(N2CCCC2)c(F)c1Cl)C(O)c1ccc(N2CCCC2)c(F)c1Cl,C1CCN(C1)C2=C(C(=C(C=C2)C=O)Cl)F,9.843184391107414,6.4579
150576,CC(=O)NC1CCN(c2c(F)cc(C(=O)C(O)c3cc(F)c(N4CCC(NC(C)=O)C4)c(F)c3)cc2F)C1,CC(=O)NC1CCN(C1)C2=C(C=C(C=C2F)C=O)F,10.425412533993406,5.6541
49254,O=C(Cc1cc(CN2CCOCC2)ccc1F)C(O)Cc1cc(CN2CCOCC2)ccc1F,C1COCCN1CC2=CC(=C(C=C2)F)CC=O,-2.970322854429348,-0.6656
127980,CC(OC(=O)COc1ccc(C(=O)C(O)c2ccc(OCC(=O)OC(C)C(=O)NCc3ccc(F)cc3)cc2)cc1)C(=O)NCc1ccc(F)cc1,C[C@H](C(=O)NCC1=CC=C(C=C1)F)OC(=O)COC2=CC=C(C=C2)C=O,12.840277271944878,9.919
179483,Cc1cccc(C(C)C(=O)C(O)C(C)c2cccc(C)c2C(F)F)c1C(F)F,CC1=C(C(=CC=C1)C(C)C=O)C(F)F,3.342905409150404,2.8689
41617,CCc1ccc2cc(F)cc(F)c2c1C(=O)C(O)c1c(CC)ccc2cc(F)cc(F)c12,CCC1=C(C2=C(C=C(C=C2C=C1)F)F)C=O,4.173011806892028,3.1008
