trial,val_mae,max_depth,learning_rate,min_child_weight,subsample,colsample_bytree,reg_lambda,reg_alpha,gamma
25,1.570592963377698,8,0.07586234003257253,11,0.6632588951602634,0.7687781458691423,12.225512691114048,0.011567590553581742,0.005314823248841555
26,1.5796774994493326,7,0.07720563684349778,7,0.6855137429058015,0.7864552561698702,11.182096270197702,0.05036294719149584,0.9740273713640732
27,1.5638455908989766,8,0.05349261890470423,11,0.7794589139799768,0.8542351530120482,20.116474862979302,0.009730373271953606,0.5604728578477106
28,1.563200574368945,8,0.05533265695573626,10,0.8013175778714966,0.8848803097001261,22.63342280636069,0.0010218976146204666,0.502270699296059
29,1.613755293693435,6,0.09651213508181974,4,0.768307501692132,0.48380607628362876,0.10322550322451929,0.002071807485420476,1.5766194165038745
30,1.5818315685909756,8,0.03893771753754435,8,0.7472190740666557,0.40544671790677345,0.5579123599644513,0.0012505014791059147,3.5026334822924525
31,1.5828545064607085,7,0.05407277786238205,11,0.8079131529088358,0.8884777230241505,21.71410324680419,0.006116908708416324,0.438676373714355
32,1.5662107124128837,8,0.053995649404772424,15,0.8154817487900972,0.8359602389529446,40.5840381306372,0.0020076355844595006,0.723591022818055
33,1.5872825892786928,7,0.046816118020257126,11,0.7932528268729595,0.9057141273787009,19.788357096239903,0.004363341197069497,1.0992406886755077
34,1.57271916025181,8,0.05683102573155372,4,0.8984724401798811,0.8209047124204358,0.3233286772260597,0.0010672256221631118,0.3157384792230806
35,1.5808350899914494,9,0.07585527085639066,15,0.7315628108660979,0.9485224611622767,14.068223151022261,0.012041809649545926,0.7599346058135001
36,1.6014559731483375,7,0.03448251769769113,7,0.7912853314209813,0.7034376054697287,6.158085287635007,0.026799805595324404,1.0896495530809673
37,1.5731073137273441,8,0.04229774973545742,10,0.927310389448385,0.8522676880814309,32.817389425457485,0.0019471196748703952,0.7717557384793227
38,1.6609378341392453,6,0.031161372550191795,19,0.8298103545158457,0.8746585382646856,7.554011024121952,0.00436347139193238,0.3518786720537344
39,1.5814847145221624,7,0.0673194281728264,27,0.8959282042655257,0.7451099395405507,16.188894814724947,0.024576976053294453,1.733526351356526
40,1.5846158134754493,9,0.048319618339859635,1,0.619411687066085,0.6996618809152529,0.23823807463461624,0.13411960696067676,2.103435493235871
41,1.561655101310759,8,0.055929074818321364,15,0.826876297794286,0.8352883815378735,43.37532154981404,0.0018838596083871504,0.7386198092754883
42,1.5590919327080053,8,0.05947089756109539,14,0.7902122528671899,0.8097265060675335,30.66028997686568,0.0018735106788370201,0.7369427512631331
43,1.564282481463202,8,0.060612781136169046,13,0.8730514308225521,0.8208631966611463,30.738308156924962,0.0010102689813124993,0.8490488012931076
44,1.5787412359885147,7,0.08302738348409437,14,0.8446126747915834,0.7567703886721869,47.58740093506981,0.0016952164410630821,0.26990153011523904
45,1.6159070275280194,8,0.037872304734158924,18,0.9485869512960831,0.8083169546203353,0.40867864621735084,0.00306456023785266,4.8582263824469685
46,1.5581514366341185,9,0.04434164721041415,22,0.7325493511755332,0.9152281220498137,33.964996526126534,0.0017140408254638017,1.2685653617444392
47,1.56472317618485,8,0.06450317541605045,26,0.7368341279841031,0.9176983213295747,27.83732771468219,0.005831259455032441,1.557458860569887
48,1.5584609228461597,9,0.04512344825218541,22,0.7122670808960649,0.8845892627675069,36.56658872044023,0.0018320020307818852,1.1840043441686754
49,1.5657783530539409,9,0.04573008272031082,21,0.711201131415774,0.9176596544582986,38.51494529626356,0.0017118226364308963,2.2411637661177175
50,1.5773626985325262,9,0.030637226955235616,24,0.6833477308095044,0.801734174357847,48.3485156888497,0.016783408805575363,2.0277492557410715
51,1.5577519154756587,9,0.050592865197318856,24,0.755862591988612,0.893840524317741,24.555122507955456,0.0025127042061011567,1.1837319242207878
52,1.553032801747012,9,0.051048165636267406,24,0.7513630338545397,0.8464836415489387,31.931321912136642,0.002350752769995109,1.193459652732894
53,1.5589821133971251,9,0.04441358316524765,24,0.7510634137570267,0.8443709572300214,34.04510879209138,0.00350877413564776,1.2127771203845463
54,1.554731259839441,9,0.04359579271400937,24,0.7533107203394216,0.8928495847708671,16.35242679923321,0.0035630040500722795,1.230767047727324
55,1.5578625100935402,9,0.03646570966080692,23,0.7463693581926293,0.8977194444512794,15.036162487222168,0.0039755131284661795,1.2500228471712826
56,1.5585219518832598,9,0.03622190850940956,23,0.7495776519621227,0.9025769923152188,17.308770258173674,0.006887652090435575,1.546953502836792
57,1.561018877788413,9,0.033545616767551564,27,0.7199191119818361,0.9347141318270646,9.391990255177573,8.963021413541936,1.8889840541881773
58,1.5613904065679,9,0.04907442193399618,25,0.6929395919697339,0.8650998993521015,23.532018266850937,0.004045426741081156,2.4121937765179293
59,1.5571356328276196,9,0.039852855226068934,22,0.7663667135740031,0.8964516989171759,15.122041256376434,3.426184970884874,1.3991937603048747
