index,SMILES,PubChem_CID,xtb_optimized,error,xyz_file,MW,ExactMW,LogP,MolMR,TPSA,HBD,HBA,RotBonds,ArRings,ArHetRings,AlRings,Rings,Heteroatoms,FractionCSP3,BertzCT,Chi0v,Chi1v,Kappa1,Kappa2,LabuteASA,NumStereocenters,n_CHO,gasteiger_CHO_C,gasteiger_CHO_O,gasteiger_maxpos,gasteiger_minneg,xtb_energy,xtb_HOMO,xtb_LUMO,xtb_gap,xtb_IP,xtb_EA,xtb_mu,xtb_eta,xtb_omega,xtb_dipole,mulliken_CHO_C,mulliken_CHO_O,fukui_plus_CHO_C,fukui_minus_CHO_C,fukui_0_CHO_C,dual_descriptor_CHO_C,wbo_CO,xtb_alpha0,xtb_C6,pa_CHO_O,vbur_CHO_C,sterimol_L,sterimol_B1,sterimol_B5,SASA_total,P_int,wfn_HOMO,wfn_LUMO,wfn_gap,adch_CHO_C,adch_CHO_O,adch_fukui_plus_CHO_C,adch_fukui_minus_CHO_C,adch_fukui_minus_CHO_O,qtaim_rho_CO,qtaim_lap_CO,qtaim_ell_CO
73519,CCC1=C(N=C(C(=N1)C=O)NC2=CCC(C=C2)N3CCN(CC3)C)OC4=C(C(=CCC4)N)F,89709142,True,,/scratch-local/schen3.23697407/desc_23697353_2/xyz/000008_73519.xyz,454.55,454.249252,2.9195,125.3846,96.61,2,8,7,1,1,3,4,9,0.458333,1024.025934,19.181622,11.446684,23.129408,10.266365,193.243659,1,1,0.171758,-0.296006,0.242461,-0.438533,-97.591265891244,-9.45,-7.9832,1.4668,6.2843,0.9551,-3.6197,2.6646,2.458573,5.629,0.190954,-0.388164,0.035259,0.004313,0.019786,0.030946,1.750803,317.3398,42986.39,70.4981,44.1379,11.1634,2.3049,13.087,711.7401,20.1797,-9.450027,-7.983249,1.466778,0.099075,-0.38089,0.072977,-0.026488,0.069878,0.388983,-0.174069,0.159694
105596,C1CC2(CCC(CC2)(CCN(C3=CC=C(C=C3)C(C(F)F)O)N)C=O)OC1,144169840,True,,/scratch-local/schen3.23697407/desc_23697353_2/xyz/000009_105596.xyz,382.451,382.206799,3.3638,98.4382,75.79,2,5,7,1,0,2,3,7,0.65,622.618924,15.449616,9.574541,20.171662,8.204659,157.999163,1,1,0.125711,-0.302773,0.267703,-0.382419,-84.604710811949,-9.7995,-7.2449,2.5546,7.0938,-0.4094,-3.3422,3.7516,1.488738,7.484,0.216739,-0.323012,0.074773,-0.006735,0.034019,0.081508,1.928219,251.9382,28190.22,16.8769,63.2542,6.7967,3.0295,11.8653,628.4069,18.5562,-9.79948,-7.24486,2.55462,0.081582,-0.295422,0.168738,0.034831,0.023832,0.403132,0.019651,0.142857
169585,C(=CC(C=O)C(C(=O)N)N)C#CC(=O)C(=O)N,129669058,True,,/scratch-local/schen3.23697407/desc_23697353_2/xyz/000010_169585.xyz,237.215,237.074956,-2.7719,57.8412,146.34,3,5,5,0,0,0,0,7,0.2,430.567302,8.751795,4.419442,14.54,6.920772,96.999113,2,1,0.128463,-0.302654,0.297698,-0.368294,-51.93067192185,-10.5843,-8.5942,1.9901,7.835,1.1921,-4.51355,3.32145,3.066753,5.327,0.22903,-0.334463,0.01157,0.001318,0.006444,0.010252,1.891629,149.6272,9574.75,73.7199,55.3357,7.3966,2.1237,9.3526,463.225,17.4688,-10.584266,-8.594244,1.990022,0.039572,-0.297954,0.029398,0.043269,0.097244,0.405654,-0.05786,0.141046
267947,CC1(C(=NC2=C(N1)N=C(NC2=O)/N=C/N(C)C)C=O)C,135417247,True,,/scratch-local/schen3.23697407/desc_23697353_2/xyz/000011_267947.xyz,276.3,276.133474,0.4668,77.5574,102.81,2,6,3,1,1,1,2,8,0.416667,656.401661,11.760052,6.00736,13.910966,4.874596,115.20779,0,1,0.166217,-0.296432,0.279981,-0.36862,-59.571618884522,-9.7517,-8.0597,1.692,7.1953,1.0514,-4.12335,3.07195,2.7673,14.582,0.19518,-0.365765,0.027747,0.006458,0.017102,0.021289,1.800711,184.0542,14569.9,75.2861,49.3477,12.6153,2.6081,5.2154,498.0388,18.3256,-9.751712,-8.059666,1.692046,0.10173,-0.367052,0.040898,0.041432,0.091391,0.394544,-0.133489,0.159828
282087,CC1(C(C1C(C(Cl)(Cl)Br)Br)C=O)C,17770166,True,,/scratch-local/schen3.23697407/desc_23697353_2/xyz/000012_282087.xyz,352.881,349.847544,3.7473,62.904,17.07,0,1,3,0,0,1,1,5,0.875,224.674141,11.913358,6.351495,12.280373,3.655812,104.791164,3,1,0.123457,-0.303054,0.184319,-0.303054,-43.526195698271,-11.3034,-7.8703,3.4331,8.7912,0.7761,-4.78365,4.00755,2.855025,2.989,0.211155,-0.343141,0.044794,0.00628,0.025537,0.038514,1.865346,157.8679,10738.32,38.7974,47.8243,7.602,2.0898,5.9919,395.501,19.8495,-11.30344,-7.870331,3.433109,0.102239,-0.328082,0.077896,0.039696,0.13037,0.40055,-0.058934,0.163997
285769,C(=O)[C@@H]([C@H]([C@@H]([C@@H](C(O)OS(=O)(=O)O)O)O)O)NOS(=O)(=O)O,18639646,True,,/scratch-local/schen3.23697407/desc_23697353_2/xyz/000013_285769.xyz,371.298,370.982831,-4.9016,62.2821,237.22,7,12,10,0,0,0,0,16,0.833333,557.079389,11.954611,7.759111,21.21,8.171835,123.30869,5,1,0.141539,-0.301426,0.413122,-0.388121,-81.78595310896,-11.246,-7.4166,3.8294,8.877,-1.0869,-3.89505,4.98195,1.522638,6.071,0.212221,-0.315793,0.103937,-0.001099,0.051419,0.105036,1.901268,185.8684,16279.46,55.2066,56.0631,7.8107,2.1112,6.7048,441.2182,19.9698,-11.245955,-7.416552,3.829403,0.010335,-0.28178,0.158592,-0.016912,0.131445,0.405987,-0.062728,0.147217
285934,CO[C@H](CN=[N+]=[N-])[C@@H]([C@H](C=O)OC)OC,18654074,True,,/scratch-local/schen3.23697407/desc_23697353_2/xyz/000014_285934.xyz,217.225,217.106256,0.5406,52.468,93.52,0,5,8,0,0,0,0,7,0.875,229.926671,8.991142,4.29203,13.86,8.191675,87.929726,3,1,0.151037,-0.300351,0.151037,-0.378498,-49.714083731564,-10.4418,-6.9033,3.5385,8.0065,-0.6977,-3.6544,4.3521,1.534275,4.636,0.211781,-0.345056,0.071645,0.001669,0.036657,0.069976,1.866823,132.9989,8203.66,65.4255,63.0835,5.1098,2.569,7.6673,410.8183,16.9486,-10.441815,-6.903259,3.538556,0.016948,-0.316638,0.079674,0.005275,0.130716,0.404482,-0.140779,0.13848
135373,C/C=C\C(=C(\C)/C(=C)C(F)F)\C1=C2CCCN2C(=C1C)C(=O)C(=C)NC3(CC(C3)(F)F)C=O,170196853,True,,/scratch-local/schen3.23697407/desc_23697353_2/xyz/000015_135373.xyz,464.503,464.208691,5.56642,119.6242,51.1,1,3,9,1,1,2,3,8,0.44,1084.370742,19.034717,10.769251,24.736737,8.799618,190.279293,0,1,0.145293,-0.30074,0.263055,-0.369891,-100.66170964491,-10.179,-7.8451,2.3339,7.1633,0.9518,-4.05755,3.10575,2.650521,6.506,0.209293,-0.305146,0.036694,-0.003636,0.016529,0.04033,1.931686,300.8182,39005.75,42.2983,58.2039,7.123,2.9504,11.7041,685.0868,20.1611,-10.179032,-7.845065,2.333967,-0.186515,-0.197577,-0.031732,-0.122105,0.08731,0.405109,0.006336,0.146181
12172,C[C@H]1[C@H](C2(CCN(CC2)C3=NC=C(C4=NC=CN43)SC5=CC=CC6=C5SC=C6C=O)CO1)N,146466934,True,,/scratch-local/schen3.23697407/desc_23697353_2/xyz/000016_12172.xyz,479.631,479.144967,4.2403,131.5919,85.75,1,8,4,4,3,2,6,9,0.375,1341.387993,19.941228,12.866118,21.098674,8.088876,199.503642,2,1,0.151015,-0.29784,0.21086,-0.376231,-93.428923227585,-9.7085,-7.9272,1.7813,6.7153,0.799,-3.75715,2.95815,2.38598,6.932,0.207802,-0.349111,0.029215,0.000277,0.014746,0.028938,1.838953,335.6926,46178.49,65.372,45.3859,13.1442,1.776,12.4633,679.9701,21.2485,-9.708497,-7.927159,1.781338,0.129388,-0.334671,0.035725,-0.019624,0.037159,0.397586,-0.077041,0.171731
156465,C[C@@H]1CN(C[C@@H](O1)C2CN(N=C2)COC)C3=NC(=C(C(=N3)N)C=O)C45CC(C4)(C5)C(F)(F)F,177137166,True,,/scratch-local/schen3.23697407/desc_23697353_2/xyz/000017_156465.xyz,468.48,468.209673,1.9705,112.9609,106.17,1,9,6,1,1,5,6,12,0.714286,966.952729,18.508555,10.979553,22.328551,7.521579,188.661626,3,1,0.155135,-0.297674,0.394104,-0.382926,-102.673411373423,-10.0069,-7.6883,2.3186,7.072,0.4503,-3.76115,3.31085,2.136347,7.39,0.194823,-0.39901,0.044106,0.003116,0.023611,0.04099,1.736208,285.2471,36796.84,62.8661,53.7254,11.7063,3.0635,7.9853,692.4873,19.7587,-10.006923,-7.688268,2.318655,0.092894,-0.373152,0.079845,0.011978,0.064497,0.388794,-0.188813,0.17355
