feat,frac_na,n_unique,std,min,max,range,top_val_frac
donor_ald_mordred_WNSA3,0.023558883134429182,30211,9.588212308491329,-100.50181229638588,-3.8998644771161297,96.60194781926975,0.0001441296013375227
donor_ald_mordred_WPSA1,0.023558883134429182,30211,82.4788347114181,5.651897934927382,707.12334228011,701.4714443451826,0.0001441296013375227
donor_ald_mordred_RNCG,0.023558883134429182,29945,0.09596377892779165,0.072103954948808,0.9154178963325028,0.8433139413836948,0.00017295552160502724
donor_ald_mordred_TPSA,0.023558883134429182,29118,51.45175931786367,9.683373809017542,489.4522927554227,479.76891894640517,0.0003459110432100545
donor_ald_mordred_GeomDiameter,0.0208567890114839,30289,3.0040412273769954,3.4534952691127514,28.72004533100923,25.26655006189648,0.000143731853853451
donor_ald_mordred_Mor10,0.0208567890114839,30289,0.5131920826697705,-3.0567610389736406,2.678948656877276,5.735709695850916,0.000143731853853451
donor_ald_mordred_Mor02m,0.0208567890114839,30289,6.650084886306657,-38.194822730374135,42.02367528724006,80.2184980176142,0.000143731853853451
donor_ald_mordred_Mor03m,0.0208567890114839,30289,1.6959606133403546,-20.449882255382835,12.225414675588889,32.675296930971726,0.000143731853853451
donor_ald_mordred_Mor10m,0.0208567890114839,30289,0.5889145936617075,-3.9754739779388286,5.088334429120334,9.063808407059163,0.000143731853853451
donor_ald_mordred_Mor18m,0.0208567890114839,30289,0.39690147113101826,-2.4997742014313884,1.1920178105499786,3.691792011981367,0.000143731853853451
donor_ald_mordred_Mor19m,0.0208567890114839,30289,0.3481278024894876,-1.9143283766139287,2.6887808310722563,4.603109207686185,0.000143731853853451
donor_ald_mordred_Mor22m,0.0208567890114839,30289,0.2383318197607268,-2.148229002084203,2.186876164076393,4.335105166160597,0.000143731853853451
donor_ald_mordred_Mor23m,0.0208567890114839,30289,0.2643174134978246,-1.4262640514016525,1.5130778149439443,2.939341866345597,0.000143731853853451
donor_ald_mordred_Mor03v,0.0208567890114839,30289,1.0630917015246943,-8.169862726358025,3.805336553416421,11.975199279774445,0.000143731853853451
donor_ald_mordred_Mor04v,0.0208567890114839,30289,0.7626811193149292,-4.346786531316162,6.778561965623562,11.125348496939726,0.000143731853853451
donor_ald_mordred_Mor12v,0.0208567890114839,30289,0.47289317969621997,-2.590796399279679,2.226912593827997,4.817708993107676,0.000143731853853451
donor_ald_mordred_Mor25v,0.0208567890114839,30289,0.25286890792043987,-0.3716201836806851,1.863910897658968,2.235531081339653,0.000143731853853451
donor_ald_mordred_Mor02se,0.0208567890114839,30289,11.004926736214681,-7.110602412556873,87.79947065558262,94.9100730681395,0.000143731853853451
donor_ald_mordred_Mor03se,0.0208567890114839,30289,2.748294647614922,-22.25539134528924,9.335081970597956,31.590473315887195,0.000143731853853451
donor_ald_mordred_Mor04se,0.0208567890114839,30289,2.3697448960199186,-6.557541876121373,32.535975974884,39.09351785100537,0.000143731853853451
donor_ald_mordred_Mor06se,0.0208567890114839,30289,1.387656970228566,-8.801912987388288,6.131899110097049,14.933812097485337,0.000143731853853451
donor_ald_mordred_Mor25se,0.0208567890114839,30289,0.41711644093850814,-0.6822087040615548,3.1057394614931693,3.787948165554724,0.000143731853853451
donor_ald_mordred_Mor05p,0.0208567890114839,30289,1.374808963208101,-10.249613054578855,1.0003841472575463,11.249997201836402,0.000143731853853451
donor_ald_mordred_Mor15p,0.0208567890114839,30289,0.39536467904360517,-1.378440967076232,2.699678614249488,4.07811958132572,0.000143731853853451
donor_ald_mordred_MOMI-Z,0.0208567890114839,30289,814.6222310150727,15.848258641534985,5986.240235951555,5970.391977310021,0.000143731853853451
acceptor_ald_mordred_PPSA5,0.024121819410042784,30130,6.88237098884125,3.5243832947245464,57.76498930006533,54.24060600534079,0.0001442127426379395
