donor_id,acceptor_id,donor_smiles,acceptor_smiles
QHCRWIOGJPWKKP-UHFFFAOYSA-N,MIUDSQDUKCHNKN-UHFFFAOYSA-N,C=C1N2CC=C(C)C(C2)N1CC(F)C=O,C=NCC(C=O)C(=N)C1=CCC(C)(F)CC1
AFYXYJDGFRRBFO-IACCCYARSA-N,FZTXNTWSVLHVFY-UHFFFAOYSA-N,CC(=O)OC(O)[C@@H](O)[C@](O)(OC(C)=O)[C@](O)(OC(C)=O)[C@H](O)C=O,NC(=O)C(F)(OC(F)(F)C(F)(F)C=O)C(F)(F)OC(F)=C(F)F
FZTXNTWSVLHVFY-UHFFFAOYSA-N,AFYXYJDGFRRBFO-IACCCYARSA-N,NC(=O)C(F)(OC(F)(F)C(F)(F)C=O)C(F)(F)OC(F)=C(F)F,CC(=O)OC(O)[C@@H](O)[C@](O)(OC(C)=O)[C@](O)(OC(C)=O)[C@H](O)C=O
KERKAMQEFVQYQE-YLWLKBPMSA-N,IBMUVEJDKFTUOV-UHFFFAOYSA-N,O=CC(F)(F)[C@H](OOC(=O)CCl)[C@@H](O)COOC(=O)CCl,O=CCC1(O)NNC=CC1=O
IBMUVEJDKFTUOV-UHFFFAOYSA-N,KERKAMQEFVQYQE-YLWLKBPMSA-N,O=CCC1(O)NNC=CC1=O,O=CC(F)(F)[C@H](OOC(=O)CCl)[C@@H](O)COOC(=O)CCl
DAKSCPLDPNTHNU-UHFFFAOYSA-N,MQMLJHGWZQBHBG-UHFFFAOYSA-N,CCCC(CC(I)C=O)C(O)CF,CC(C=O)N(N=C(N)N)C1CCCNC1
MQMLJHGWZQBHBG-UHFFFAOYSA-N,DAKSCPLDPNTHNU-UHFFFAOYSA-N,CC(C=O)N(N=C(N)N)C1CCCNC1,CCCC(CC(I)C=O)C(O)CF
IFVUHHNKRRXIKF-SPIULWCRSA-N,UWQTVOGCRQIRPD-UHFFFAOYSA-N,NC1(C=O)N=CN=C2C1=NCN2[C@@H]1O[C@H](CO)[C@@H](O)[C@H]1O,C#CCCCCC#CCCC=O
UWQTVOGCRQIRPD-UHFFFAOYSA-N,IFVUHHNKRRXIKF-SPIULWCRSA-N,C#CCCCCC#CCCC=O,NC1(C=O)N=CN=C2C1=NCN2[C@@H]1O[C@H](CO)[C@@H](O)[C@H]1O
WKGNSKVQALALCL-UHFFFAOYSA-N,AWPSOPFZRFNJNJ-UHFFFAOYSA-N,CN=CC(=O)N(C)C(C=O)(C(=O)CNC)C(=O)CNC,NC1=NC(O)C2C3OC4(O)OC(C(O)C2(N1)C4O)C3(O)C=O
AWPSOPFZRFNJNJ-UHFFFAOYSA-N,WKGNSKVQALALCL-UHFFFAOYSA-N,NC1=NC(O)C2C3OC4(O)OC(C(O)C2(N1)C4O)C3(O)C=O,CN=CC(=O)N(C)C(C=O)(C(=O)CNC)C(=O)CNC
SRRNMFWZBVFMDV-IHWYPQMZSA-N,XTDLXCIZTFTUBQ-UHFFFAOYSA-N,CC(=O)OOC(=O)/C=C\C(=O)OOC(=O)C(CC=O)OS(=O)O,[N]=C1[C]C=C(CC=O)C=[C]1
XTDLXCIZTFTUBQ-UHFFFAOYSA-N,SRRNMFWZBVFMDV-IHWYPQMZSA-N,[N]=C1[C]C=C(CC=O)C=[C]1,CC(=O)OOC(=O)/C=C\C(=O)OOC(=O)C(CC=O)OS(=O)O
ZLILVDFDAQIFPV-IHWYPQMZSA-N,LFYZGENYWWCZAP-UHFFFAOYSA-N,CN(/C=C\C(=O)NC=O)C1OC(C=O)CC1F,O=CC1OC2CCCCN(F)C1C(P)C2P
LFYZGENYWWCZAP-UHFFFAOYSA-N,ZLILVDFDAQIFPV-IHWYPQMZSA-N,O=CC1OC2CCCCN(F)C1C(P)C2P,CN(/C=C\C(=O)NC=O)C1OC(C=O)CC1F
VDJRGFPIPNYOOO-UPHRSURJSA-N,AWAKCWDDISOXOC-UHFFFAOYSA-N,O=CC(O)C(O)OP1(=O)OOC(=O)/C=C\C(=O)OO1,O=CC(O)C(O)=C1CCCCC1
AWAKCWDDISOXOC-UHFFFAOYSA-N,VDJRGFPIPNYOOO-UPHRSURJSA-N,O=CC(O)C(O)=C1CCCCC1,O=CC(O)C(O)OP1(=O)OOC(=O)/C=C\C(=O)OO1
XDWUENZRDSFROQ-UHFFFAOYSA-N,RJGVBSNGYHNFFE-UHFFFAOYSA-N,O=CC1C=NCCS1,O=CCC(=O)C1CC2C=CC1C2
RJGVBSNGYHNFFE-UHFFFAOYSA-N,XDWUENZRDSFROQ-UHFFFAOYSA-N,O=CCC(=O)C1CC2C=CC1C2,O=CC1C=NCCS1
VTDSCFNSVFPXPC-UHFFFAOYSA-N,YVNSBOIBFLVSML-UHFFFAOYSA-N,O=CCC=CC=C1C=CCCC1,O=CC1CCC2=NC=CC2=C1Cl
YVNSBOIBFLVSML-UHFFFAOYSA-N,VTDSCFNSVFPXPC-UHFFFAOYSA-N,O=CC1CCC2=NC=CC2=C1Cl,O=CCC=CC=C1C=CCCC1
BXJILSTYPVERNC-OEIUOCRHSA-N,SMBMZKXEAUWXPY-UHFFFAOYSA-N,CCOC[C@](C)(C=O)NP(=O)(CCCNC)OCC(F)(F)F,CCB1OC(CC=O)C2OB(CC)OCC2O1
SMBMZKXEAUWXPY-UHFFFAOYSA-N,BXJILSTYPVERNC-OEIUOCRHSA-N,CCB1OC(CC=O)C2OB(CC)OCC2O1,CCOC[C@](C)(C=O)NP(=O)(CCCNC)OCC(F)(F)F
OPQULAKMLUMTDC-UHFFFAOYSA-N,FOHPBABQIGOBJO-HXFLIBJXSA-N,O=CC12C3C4C5C3C1(Br)C5C42,C[C@](O)(C=O)[C@@](C)(O)[C@H](O)[C@](C)(O)CO
FOHPBABQIGOBJO-HXFLIBJXSA-N,OPQULAKMLUMTDC-UHFFFAOYSA-N,C[C@](O)(C=O)[C@@](C)(O)[C@H](O)[C@](C)(O)CO,O=CC12C3C4C5C3C1(Br)C5C42
KLEFEMBPDKKGQK-UHFFFAOYSA-N,UORCQYVELURZCK-RNFRBKRXSA-N,O=CC1C=C(O)C(O)C(OC2(CCl)OC(CCl)C(O)C2O)O1,CC1=C(O)[C@H](C=O)[C@@H](COP(=O)(O)O)C=N1
UORCQYVELURZCK-RNFRBKRXSA-N,KLEFEMBPDKKGQK-UHFFFAOYSA-N,CC1=C(O)[C@H](C=O)[C@@H](COP(=O)(O)O)C=N1,O=CC1C=C(O)C(O)C(OC2(CCl)OC(CCl)C(O)C2O)O1
WXSROPKLLNTESI-SNVBAGLBSA-N,YRVQPOVHEZAYEH-UHFFFAOYSA-N,CC(C)(C=O)C[C@@]1(C)CCC(F)(F)CO1,CS(C)(F)CC(CC#N)C(C#N)C=O
YRVQPOVHEZAYEH-UHFFFAOYSA-N,WXSROPKLLNTESI-SNVBAGLBSA-N,CS(C)(F)CC(CC#N)C(C#N)C=O,CC(C)(C=O)C[C@@]1(C)CCC(F)(F)CO1
KIYLLVZKCYRVRJ-UHFFFAOYSA-N,AMEVQRVGRWXODV-GQCTYLIASA-N,C[Se]C1(C=O)CC=C(C)S1,O=CC1(O)C=C/C(=C\O)C(=O)C1
AMEVQRVGRWXODV-GQCTYLIASA-N,KIYLLVZKCYRVRJ-UHFFFAOYSA-N,O=CC1(O)C=C/C(=C\O)C(=O)C1,C[Se]C1(C=O)CC=C(C)S1
FPIHJXKGOPPJJK-LVRPUCJCSA-N,HHJIUXAGVRVOGW-UHFFFAOYSA-N,CSCOC12C(=O)N[C@H](C)[C@H](OC1=O)C2C=O,O=CCC1=CCC(=O)C=C1S(=O)(=O)O
