pid,grp,new_scaffold_split,label_stored,gxtb_stored,dG_r2scan_kcal,dG_b973c_kcal,dG_gxtb_kcal,resid_gxtb,resid_b973c,repro_r2scan,repro_gxtb,gxtb_mode,error
explore_95210_84096,cross_explore_20260920,,,,0.7732528302373494,6.808727153370837,5.223357743908639,-4.450104913671289,-6.035474323133488,,,cosmo,
explore_107966_69382,cross_explore_20260920,,,,-0.4555152904286606,5.426586762547441,-0.4538149011306565,-0.001700389298004,-5.882102052976101,,,cosmo,
explore_215659_152997,cross_explore_20260920,,,,-3.106932415119868,2.6604446729372024,-1.861698390560994,-1.2452340245588738,-5.767377088057071,,,cosmo,
explore_1774_68213,cross_explore_20260920,,,,3.377112076790749,8.548920458718833,4.576092963053118,-1.198980886262369,-5.171808381928083,,,cosmo,
explore_59595_112629,cross_explore_20260920,,,,-1.7095687794829704,2.465913408354824,1.4044536946065844,-3.1140224740895546,-4.175482187837795,,,cosmo,
explore_194644_141040,cross_explore_20260920,,,,3.110266500422844,8.796838987161074,6.491664383358004,-3.3813978829351603,-5.68657248673823,,,cosmo,
explore_140378_112793,cross_explore_20260920,,,,4.454446926691651,12.203336809113088,6.11111185763137,-1.6566649309397183,-7.7488898824214365,,,cosmo,
explore_126813_219736,cross_explore_20260920,,,,10.80694349339901,15.741856640012813,11.447994944900085,-0.6410514515010757,-4.934913146613804,,,cosmo,
explore_14122_69778,cross_explore_20260920,,,,3.41742725189855,10.230994782313402,5.435435210882458,-2.018007958983908,-6.813567530414852,,,cosmo,
explore_194377_60077,cross_explore_20260920,,,,-0.4715637198795246,4.863412188369046,1.5163057529246462,-1.9878694728041708,-5.334975908248571,,,cosmo,
explore_179410_60478,cross_explore_20260920,,,,-1.1460830856023114,3.467977615806753,4.072815811334445,-5.218898896936757,-4.614060701409064,,,cosmo,
explore_116367_211674,cross_explore_20260920,,,,-5.457962727483828,-1.5635893693045595,-0.2249463093687316,-5.233016418115096,-3.894373358179268,,,cosmo,
explore_204451_212462,cross_explore_20260920,,,,0.359514372058219,4.370393115250461,0.9767159667891844,-0.6172015947309655,-4.010878743192242,,,cosmo,
explore_138782_190093,cross_explore_20260920,,,,-3.451295335580636,1.7246764403568575,-0.4379088838626088,-3.013386451718027,-5.175971775937494,,,cosmo,
explore_124240_54584,cross_explore_20260920,,,,4.50965907966563,9.083584620094433,5.81787460225804,-1.30821552259241,-4.573925540428801,,,cosmo,
explore_147989_23174,cross_explore_20260920,,,,5.196240640589965,10.610373553922988,4.7926315311864816,0.403609109403483,-5.414132913333022,,,cosmo,
explore_181297_157829,cross_explore_20260920,,,,2.2512559564006254,7.1087660171579925,-0.2902142085881896,2.541470164988815,-4.857510060757367,,,cosmo,
explore_150268_87362,cross_explore_20260920,,,,1.8403895713622944,7.87391632522391,3.760411571381915,-1.9200220000196204,-6.033526753861616,,,cosmo,
explore_201037_127547,cross_explore_20260920,,,,-7.2028831608089385,-1.1069431074543192,-5.410755273297773,-1.7921278875111657,-6.095940053354619,,,cosmo,
explore_156937_127730,cross_explore_20260920,,,,8.194252273385008,13.793983603691023,4.266190772956173,3.928061500428835,-5.599731330306016,,,cosmo,
explore_42875_172746,cross_explore_20260920,,,,-0.8998325416008613,3.8189168101672335,0.828972524713673,-1.7288050663145342,-4.718749351768095,,,cosmo,
explore_115605_166053,cross_explore_20260920,,,,-5.503037647518491,0.3737103526358381,-2.3478489961082265,-3.1551886514102647,-5.876748000154329,,,cosmo,
explore_19642_116032,cross_explore_20260920,,,,0.8878560907812314,6.5840420535440245,4.246465093693654,-3.3586090029124227,-5.696185962762793,,,cosmo,
explore_126197_7914,cross_explore_20260920,,,,-6.201471976355735,-1.4912697117598637,-5.768238504277399,-0.4332334720783359,-4.710202264595871,,,cosmo,
explore_1415_120051,cross_explore_20260920,,,,4.142481429503772,8.69934975340789,4.657957869528639,-0.5154764400248668,-4.556868323904118,,,cosmo,
explore_163770_216058,cross_explore_20260920,,,,3.283767260793297,8.063116637877984,2.2544642982961456,1.0293029624971513,-4.779349377084687,,,cosmo,
explore_213308_130277,cross_explore_20260920,,,,7.560056782130931,11.015250644028702,6.454792131195231,1.1052646509357,-3.455193861897772,,,cosmo,
explore_41412_176355,cross_explore_20260920,,,,5.338636243020677,9.245249280542602,3.5027255363702925,1.835910706650384,-3.906613037521925,,,cosmo,
explore_128014_148532,cross_explore_20260920,,,,1.9224187743604495,8.655973842250598,-1.7841114443042243,3.706530218664674,-6.733555067890148,,,cosmo,
explore_145626_127587,cross_explore_20260920,,,,1.1762460476743437,6.005125191970031,1.9631393682366975,-0.7868933205623541,-4.828879144295687,,,cosmo,
explore_133009_195323,cross_explore_20260920,,,,4.633720263873597,8.107917662126734,5.482770736357404,-0.8490504724838068,-3.4741973982531373,,,cosmo,
explore_19342_15960,cross_explore_20260920,,,,0.7346272161512634,4.852676589954225,1.01065648588611,-0.2760292697348466,-4.118049373802961,,,cosmo,
explore_110422_122579,cross_explore_20260920,,,,9.83572677656846,14.81430392948169,9.364834465463735,0.4708923111047234,-4.978577152913232,,,cosmo,
explore_69645_39142,cross_explore_20260920,,,,3.1068990534563725,6.239992256785318,0.0447333081603366,3.062165745296036,-3.133093203328946,,,cosmo,
explore_205337_85707,cross_explore_20260920,,,,5.832566887071973,9.420095529558752,7.310695016637369,-1.4781281295653956,-3.587528642486779,,,cosmo,
explore_160317_156630,cross_explore_20260920,,,,3.599049887795069,8.389274708608406,5.843239333204545,-2.2441894454094764,-4.790224820813338,,,cosmo,
explore_70286_19384,cross_explore_20260920,,,,-1.993682427668325,3.906944008743024,1.5294425896824078,-3.5231250173507327,-5.900626436411349,,,cosmo,
explore_192925_216311,cross_explore_20260920,,,,1.7808243087835505,5.171717382744946,1.4476487785079468,0.3331755302756036,-3.3908930739613954,,,cosmo,
explore_104311_132490,cross_explore_20260920,,,,-5.186846353318433,0.9460898836527344,-6.154862457895628,0.9680161045771944,-6.132936236971168,,,cosmo,
explore_29824_169159,cross_explore_20260920,,,,7.640238675986338,12.757423718975245,10.484715334614531,-2.844476658628193,-5.117185042988905,,,cosmo,
explore_61187_202156,cross_explore_20260920,,,,5.596056311068626,9.774478357406354,4.481079184406722,1.1149771266619035,-4.178422046337728,,,cosmo,
explore_16247_131147,cross_explore_20260920,,,,3.3690304034653105,8.188767009905327,3.5580689283953277,-0.1890385249300168,-4.819736606440016,,,cosmo,
explore_15532_46577,cross_explore_20260920,,,,-2.209815293529798,2.8408241266926484,1.3522479558828862,-3.5620632494126845,-5.050639420222447,,,cosmo,
explore_148563_140040,cross_explore_20260920,,,,1.3919066426011202,5.864977356568312,4.600367614560952,-3.208460971959832,-4.473070713967192,,,cosmo,
explore_8834_109671,cross_explore_20260920,,,,-2.900279510000313,1.8446424721310857,-0.7306619619770747,-2.169617548023238,-4.744921982131398,,,cosmo,
explore_148800_57487,cross_explore_20260920,,,,2.4139805237166687,6.611571083155177,5.974618573360321,-3.5606380496436527,-4.197590559438508,,,cosmo,
