index,aldehyde_smiles,PubChem_CID,dG_xtb_kcal,dG_shermo_kcal,dG_orca_kcal
195856,CCCOC1=CC(=C(C=C1)C=O)OCCF,79035552,-3.34,-3.12,9.22
196996,C1=CC(=NC=C1C=O)OC2=CC(=CC(=C2)F)F,80631633,-9.42,-10.13,1.62
198114,CC1CCC(N(C1)C2=CC(=C(C=C2)C=O)C(F)(F)F)C,81646579,-1.82,-1.71,10.62
199350,COC1=C(C=C(C=C1)C=O)C2=CC(=CC(=C2)F)F,82107195,-8.53,-8.35,3.16
200240,C1=CC=C(C(=C1)C(F)(F)F)N2C(=CN=N2)C=O,82363717,-10.33,-10.18,0.66
202882,C1=C(N=CC(=N1)C(F)F)C=O,84650694,-16.87,-15.93,-4.62
203149,CN1C=C(N=C1C=O)C2=CC=C(C=C2)F,84672147,-9.76,-9.66,1.13
203418,C1CC(C1CF)C=O,84716006,-11.97,-11.96,-4.49
203589,CC(C)(C)OC(=O)NCC(C)(C=O)C1=CC=CC=C1F,84730501,-9.05,-8.05,-0.61
208809,C1=CN2C(=NN=C2C(=C1)F)C=O,105432547,-6.39,-6.12,9.65
209832,COC1=C(C=C(C=C1)SC)C(C=O)(F)F,105490675,-16.45,-16.2,-5.87
209919,C1=CC=C(C(=C1)C(CC=O)(F)F)C(F)(F)F,105500044,-15.49,-15.62,-1.47
210938,CC1CCC(N(C1)C2=CC(=CC(=C2)C=O)F)C,106529309,-16.05,-16.12,-6.36
211291,COCCSC1=CC(=CC(=C1)F)C=O,106533621,-11.08,-9.84,2.77
212696,C/C=C/COC1=C(C=C(C=C1)C=O)F,107689631,-10.07,-7.64,2.46
213050,C/C=C/COC1=C(C=C(C=C1)F)C=O,107697602,-9.07,-8.67,4.31
213797,C1=CC(=C(C=C1F)C2=CC(=CC(=C2)F)F)C=O,108257497,-10.29,-9.06,-4.59
214570,C1CC2CN(CC2C1)C3=C(C(=CC=C3)F)C=O,108302317,-7.79,-7.58,5.31
217903,C1=NN=C(N1C(F)(F)F)C=O,112711985,-23.98,-23.74,-6.29
218773,C1=CC(=C(C=C1C=O)Cl)OCC2=CC(=CC(=C2)F)F,113712861,-7.0,-5.62,6.99
219078,C1C(OC2=C1C=C(C=C2)F)CN3C=C(N=C3)C=O,113868931,-7.33,-7.03,5.55
220562,C1=CC(=C(C=C1Cl)OC2=CC(=CC(=C2)F)F)C=O,114844912,-12.0,-12.03,-5.29
220748,C1=CC2=C(C=C1F)NC3=C2NC(=C3)C=O,115007489,-5.83,-5.6,6.6
221492,CC1=CC2=NC(=C(N2C=C1)C=O)C(F)(F)F,115405083,-2.08,-1.61,10.37
221685,C1CC2CN(CC2C1)C3=C(C=C(C=C3)F)C=O,115560388,-26.94,-28.06,-12.85
222915,CC(C)(C)OC(=O)CSC1=C(C=C(C=C1)C=O)F,116687735,-6.19,-5.22,-0.04
223479,C1=CC(=CC(=C1)F)C2=NN=C3N2C(=CC=C3)C=O,117141168,-9.65,-9.44,-0.72
223594,C1=CC2=C(C=C1F)S(=O)(=O)C(=C2)CC=O,117195868,-17.16,-17.14,7.28
224676,CC(CC=O)C1=C(C=C(C=C1)SC)F,117303194,-10.37,-10.15,-5.2
224786,CSC1=C(C=C(C(=C1)F)CCC=O)F,117308124,-11.94,-11.87,-2.4
226251,C1=C(N=CC(=N1)OC(F)(F)F)C=O,118798299,-14.97,-14.81,1.02
227625,C1=C(C(=C(C(=N1)I)C=O)C(F)F)I,118829975,-10.72,-10.66,0.64
229669,C1=C(N=C(C(=C1I)OC(F)(F)F)CF)C=O,119021564,-14.19,-13.83,-2.78
231135,COC1=CC(=NC=C1C=O)F,129917897,-14.16,-13.99,-2.46
232296,C1=C(C(=C(N=C1C(F)F)C=O)C#N)I,130077582,-17.02,-16.76,-3.1
233086,COC1=NC(=C(C(=C1)I)C(F)F)C=O,130085765,-15.22,-15.05,-2.5
233145,C1=C(C(=C(N=C1[N+](=O)[O-])C=O)C(F)F)I,130086716,-22.58,-21.02,-2.9
233196,C1=C(N=C(C(=C1I)C(F)F)CBr)C=O,130087150,-20.42,-20.22,0.97
233241,C1=C(N=C(C(=C1I)C(F)F)CCl)C=O,130087505,-17.0,-16.83,-3.59
234783,CN1C=C(N=N1)C2=CC(=C(C=C2)F)C=O,130602972,-13.28,-12.98,-1.78
235238,C1=CC(=C(C=C1C#N)C=O)C(F)(F)F,130882130,-11.78,-11.61,2.02
236257,CSC1=CC(=C(C=C1)C(F)(F)F)C=O,131466181,-11.03,-10.69,2.52
236605,C1=CC=C(C(=C1)C2=C(C=CN=C2C3=CC=CC=C3F)C=O)F,131870181,-12.84,-12.46,-1.52
238539,C1=CC(=C(C(=C1Cl)C2=CC(=C(N=C2)C=O)F)Cl)Cl,134638035,-17.0,-15.61,-0.71
238565,C1=CC(=C(C=C1SC(F)(F)F)CCC=O)I,134638513,-10.38,-10.34,-2.13
238714,C1=CC(=C(C(=C1C(F)(F)F)C=O)S(=O)(=O)Cl)C(F)(F)F,134638758,-9.07,-8.83,25.03
239290,CCOC(=O)CC1=C(C=C(C=C1C#N)SC(F)(F)F)C=O,134653901,-12.53,-12.18,-0.28
244067,COC1=CC(=C(C(=C1F)C=O)F)SC,164894493,-13.86,-12.79,-1.55
244179,C1=CC(=CC=C1C2=C(C=C(C=N2)C(F)(F)F)C=O)C(F)(F)F,165343259,-12.1,-15.23,-4.08
245043,CC(CCF)(C=O)C1=CC=CC=C1,165587951,-6.75,-6.7,3.61
245740,CC(C)(C)OC(=O)NC(C=O)C1=C(C=C(C=C1)F)N(C)C,165673766,-3.47,-2.95,-2.45
245774,CC(C)(C)OC(=O)NC(C)(C=O)C1=C(C=C(C=C1)[N+](=O)[O-])F,165678302,-5.51,-5.67,3.96
245885,CC(C)(C)OC(=O)NC(C=O)C1=CC(=C(C=C1F)F)F,165698869,-13.21,-12.99,1.01
