name,SMILES,molecular_formula,MW,InChIKey,PubChem_CID,cho_class,xtb_risk
"6-(difluoromethoxy)-2-oxido-[1]benzofuro[3,2-c]pyridin-2-ium-9-carbaldehyde",C1=CC(=C2C(=C1C=O)C3=C(O2)C=C[N+](=C3)[O-])OC(F)F,C13H7F2NO4,279.19,BUYACDJRRBZHIV-UHFFFAOYSA-N,86643118,aromatic_carbo,n_oxide
"6-[(dimethylamino)methyl]-3-[(3Z,5E)-5-fluorohepta-3,5-dienyl]-5-[(2Z)-3-hydrazinyl-2-hydrazinylidenepropyl]-8-hydroxyquinoline-7-carbaldehyde",C/C=C(\C=C/CCC1=CC2=C(C(=C(C(=C2N=C1)O)C=O)CN(C)C)C/C(=N/N)/CNN)/F,C23H31FN6O2,442.5,PEUUAKUKSIQUFB-PBVOBXQRSA-N,143809795,aromatic_carbo,
"3-[5-cyclohexyl-4-(trifluoromethyl)-1,2-oxazol-3-yl]-4,5-dihydrobenzo[g][2,1]benzoxazole-7-carbaldehyde",C1CCC(CC1)C2=C(C(=NO2)C3=C4CCC5=C(C4=NO3)C=CC(=C5)C=O)C(F)(F)F,C22H19F3N2O3,416.4,ZKCFIKDWESAPST-UHFFFAOYSA-N,86669917,aromatic_carbo,
"[(1R,3S)-3-[3-[[3-(5-fluoro-2-formyl-3-hydroxyphenyl)-1-methylpyrazole-5-carbonyl]amino]-1H-pyrazol-5-yl]cyclopentyl] N-propan-2-ylcarbamate",CC(C)NC(=O)O[C@@H]1CC[C@@H](C1)C2=CC(=NN2)NC(=O)C3=CC(=NN3C)C4=C(C(=CC(=C4)F)O)C=O,C24H27FN6O5,498.5,QGTKMAATRIFZCY-DZGCQCFKSA-N,176346163,aromatic_carbo,
"3-[2-[4-[(Z)-5-fluorohex-2-enimidoyl]-1-[1-[(Z)-prop-1-enyl]sulfanylethenyl]-3,5,6,7-tetrahydropyrrolo[1,2-c]pyrimidin-6-yl]hydrazinyl]benzaldehyde",C/C=C\SC(=C)C1=NCC(=C2N1CC(C2)NNC3=CC=CC(=C3)C=O)C(=N)/C=C\CC(C)F,C25H30FN5OS,467.6,HZLOYFUORSBWOT-LWYVSQHNSA-N,155379998,aromatic_carbo,
"2-[[4-[(2-amino-4-oxo-5,6,7,8-tetrahydro-3H-pteridin-6-yl)methylamino]-3-formylbenzoyl]amino]pentanedioic acid",C1C(NC2=C(N1)N=C(NC2=O)N)CNC3=C(C=C(C=C3)C(=O)NC(CCC(=O)O)C(=O)O)C=O,C20H23N7O7,473.4,UFLULQNBHPYWEH-UHFFFAOYSA-N,136458287,aromatic_carbo,
"2,4,5-trifluoro-3-[[6-[(1-methylpyrazol-4-yl)amino]pyrazolo[3,4-d]pyrimidin-1-yl]methyl]-6-morpholin-4-ylbenzaldehyde",CN1C=C(C=N1)NC2=NC=C3C=NN(C3=N2)CC4=C(C(=C(C(=C4F)F)N5CCOCC5)C=O)F,C21H19F3N8O2,472.4,OYVSRPKKYDVVRY-UHFFFAOYSA-N,89699426,aromatic_carbo,
"3-ethyl-5-methyl-2-[4-[methyl(2,2,2-trifluoroethoxy)phosphinothioyl]oxy-2-oxo-1-azaspiro[4.5]dec-3-en-3-yl]benzaldehyde",CCC1=C(C(=CC(=C1)C)C=O)C2=C(C3(CCCCC3)NC2=O)OP(=S)(C)OCC(F)(F)F,C22H27F3NO4PS,489.5,AAURBKJLMIEESN-UHFFFAOYSA-N,143232752,aromatic_carbo,phosphorus
2-amino-6-fluoro-3-[[4-(3-fluoropiperidin-3-yl)phenyl]iminomethyl]benzaldehyde,C1CC(CNC1)(C2=CC=C(C=C2)N=CC3=C(C(=C(C=C3)F)C=O)N)F,C19H19F2N3O,343.4,MGWCGNPBUAVHDA-UHFFFAOYSA-N,146557166,aromatic_carbo,
"tert-butyl 5-[(3-fluoro-4-formylphenyl)sulfonyl-methylphosphanylamino]-1,3-thiazole-4-carboxylate",CC(C)(C)OC(=O)C1=C(SC=N1)N(PC)S(=O)(=O)C2=CC(=C(C=C2)C=O)F,C16H18FN2O5PS2,432.4,VEOWGECOKKBGAW-UHFFFAOYSA-N,155244864,aromatic_carbo,phosphorus
