SMILES,PubChem_CID,cluster
C[C@@H](C=O)NC(=O)[C@@H]1[C@@H]2[C@@H](C2(C)C)CN1C(=O)[C@H](CC(C)C)NC(=O)C3=CC4=C(N3)C=CC=C4F,166156933,109
C1=CC=C(C=C1)CN2C(=NN=N2)C=O,10921275,110
C1CC1C2=NN(C(C2)C=O)C3=CC(=CC=C3)F,174545638,111
CN1C(=NC(=N1)C2=CC=C(C=C2)F)C=O,118903075,112
C1=C(N=C(C(=C1I)C(F)F)C(F)(F)F)C=O,130087736,113
CN1C[C@@H](N(C1=O)C2=CC(=C(C=C2)C#N)C(F)(F)F)C=O,87281117,114
CC(C)(C)OC(=O)NCC(C=O)C1=CC(=CC(=C1)F)F,87658812,115
C1=C(C(=CC(=C1OC(F)F)OC(F)F)[N+](=O)[O-])C=O,170915486,116
C1=CC(=CC=C1C=O)C2=CC(=CN=C2)C(F)(F)F,122476924,117
CSC1=CC(=C(C=C1)O)C=O,12433397,118
COC1=NC(=C(C(=C1)I)C(F)F)C=O,130085765,119
COC(=O)CSC1=C(C=C(C=C1F)C=O)F,63801698,120
CC1=CC(=C(C=C1)C(=O)NCCC=O)F,87587540,121
C[Se]C1=CC=C(S1)C=O,129791147,122
CC(=O)CSC1=CC=CC=C1C=O,135020966,123
C1C2=C(C=C(C=C2)C=O)OO1,17804062,124
C1=CC(=C(C=C1Br)C=O)C(F)(F)Br,86633501,125
COC1=CC2=C(C=C1)C(=C(N2)SC)C=O,24813533,126
C1C2C=CC1C3[C@H]2C3(C=O)C4=CC=CC=C4,135038051,127
COC1=C(C=C(C=C1)C=O)OCC(=O)NC2=CC(=CC(=C2)F)F,41883624,128
CS(C)(C)C1=C(C(=C(C=C1F)Br)C=O)F,156855521,129
C1C(CN2C1=C(NC2=S)CC=O)C3=C(C(=CC(=C3F)F)F)F,139294499,130
CC(=CCOC1=C(C=C(C=C1)F)C=O)C,91619201,131
C1=CC=C(C(=C1)C2=CN=NC(=N2)C=O)F,105454983,132
CN(CC(F)(F)F)C1=C(N2C=CSC2=N1)C=O,60891000,133
C1CC1CN(C2CC2)C3=C(C=C(C=C3F)C=O)F,64522754,134
C[C@@H]1CC[C@H](N1C(=O)OCC2=CC=CC=C2)C=O,11032197,135
C1CC2(CCC1(CC2)C=O)C3=NC=CC(=C3)C(F)(F)F,154683148,136
COC1=CC=C(C=C1)CC(CC2=CC=C(C=C2)OC)C=O,53700578,137
COC1=CC(=C(C=C1)C=O)N2C=CC=C2,139231284,138
CC(=O)C1=CC(=C(C(=C1)C#N)C(F)(F)F)C=O,171011858,139
C/C=C/COC1=C(C=CC=C1F)C=O,112611717,140
C[Se][Se]C1=CC=CC=C1C=O,100989781,141
C1=CC(=C(C=C1C=O)F)C#N,11217339,142
C1=CC(=CC(=C1)C2=CC(=CC(=C2)F)F)C=O,11171985,143
CC(=O)COC1=CC(=CC(=C1)C=O)F,116453422,144
CN1C(=NN=C1C2=CC=CC=C2)C=O,11542893,145
C1=CC(=C(C(=C1O)C=O)I)O,12490492,146
C1C(CN1C2=CC=C(S2)C=O)F,167494764,147
C1=CC(=C(C=C1C=O)C(C(F)(F)F)(F)F)C(F)(F)F,178257522,148
C1CCN(C(C1)C=O)C2=CC(=C(C=C2)N)F,174456146,149
C1=CN2C(=NN=C2C(=C1)C(F)(F)F)C=O,105468278,150
CS(=O)C1=CC2=NN(C=C2C=C1NC(=O)C3=NC(=CC=C3)C(F)(F)F)C4CCC(CC4)C=O,164567573,151
CC(=O)C1=C(C(=C(C=C1)OC(F)F)C=O)I,171032056,152
C1=CC=NC(=C1)CC2=CC(=C(C=C2)C=O)F,65582295,153
COC(=O)C1CCN1C2=NC=C(C(=C2)C=O)F,165495593,154
C1=C(C(=CO)C(=C(C1=CO)F)C=O)F,173437481,155
C1=C(C(=C(N=C1C(F)F)I)CBr)C=O,130087200,156
C1=C(N=C(C(=C1OC(F)(F)F)I)CF)C=O,118831879,157
COC(=O)C1=CC(=C(C=C1)C=O)SC,19076708,158
CSC1=CC=C(C=C1)C(C=O)F,105441112,159
CC1=CC=C(C=C1)S(=O)(=O)CC=O,13643154,160
CC1CS(=O)(=O)CCN1C2=C(C=C(C=C2)C=O)C(F)(F)F,102884299,161
CC(=O)OCCC=O,87700,162
CC(=O)OCCC(C=O)SC1=CC=CC=C1,85861578,163
C1=C(OC(=C1)F)C=O,18413346,164
CNC(=O)CCC(C=O)N1C2=C(C=C(C=C2)C3CCN(CC3(F)F)CC(=O)O)N(C1=O)C,156798989,165
