donor_id,acceptor_id,donor_smiles,acceptor_smiles
WSRDWPPNYIOPMF-UHFFFAOYSA-N,RFROHJRARMZISW-ROUUACIJSA-N,CC1CN(C(=O)O)Cc2c(OCc3ccccc3)cc(C=O)c(F)c21,O=Cc1cc([C@@H]2C[C@H]2c2ccc(N3CCCC3)cc2)cc(F)c1O
RFROHJRARMZISW-ROUUACIJSA-N,WSRDWPPNYIOPMF-UHFFFAOYSA-N,O=Cc1cc([C@@H]2C[C@H]2c2ccc(N3CCCC3)cc2)cc(F)c1O,CC1CN(C(=O)O)Cc2c(OCc3ccccc3)cc(C=O)c(F)c21
YIZWPZKKYYJJMS-UHFFFAOYSA-N,JAXYYDMECWEUSX-UHFFFAOYSA-N,CCOc1cc(C=O)ccc1OC(=O)c1ccc(Cl)cc1,Cc1cc(C=O)cc(NC(=O)CC(F)(F)F)c1
JAXYYDMECWEUSX-UHFFFAOYSA-N,YIZWPZKKYYJJMS-UHFFFAOYSA-N,Cc1cc(C=O)cc(NC(=O)CC(F)(F)F)c1,CCOc1cc(C=O)ccc1OC(=O)c1ccc(Cl)cc1
PPXALYNGJPEUCP-UHFFFAOYSA-N,DFJIAUFCXFHAKB-UHFFFAOYSA-N,NC(=O)C1CCCCN1c1cccc(F)c1C=O,Cc1cncc(-c2ccc(C(F)(F)F)cc2C=O)c1
DFJIAUFCXFHAKB-UHFFFAOYSA-N,PPXALYNGJPEUCP-UHFFFAOYSA-N,Cc1cncc(-c2ccc(C(F)(F)F)cc2C=O)c1,NC(=O)C1CCCCN1c1cccc(F)c1C=O
PEYGMVVDJGISOK-UHFFFAOYSA-N,GEJALCWZQUNGCD-UHFFFAOYSA-N,O=Cc1c(O)ccc2cc(-c3ccc(C(=O)NCC4CCCCN4)s3)ccc12,O=Cc1cc(F)c(OCC2Cc3ccccc3O2)c(F)c1
GEJALCWZQUNGCD-UHFFFAOYSA-N,PEYGMVVDJGISOK-UHFFFAOYSA-N,O=Cc1cc(F)c(OCC2Cc3ccccc3O2)c(F)c1,O=Cc1c(O)ccc2cc(-c3ccc(C(=O)NCC4CCCCN4)s3)ccc12
APPXRZUFMHRGGW-UHFFFAOYSA-N,LBLUODAMHWQWCR-UHFFFAOYSA-N,COc1cc(I)c(C=O)cc1O,COC(OC)c1ccccc1C=O
LBLUODAMHWQWCR-UHFFFAOYSA-N,APPXRZUFMHRGGW-UHFFFAOYSA-N,COC(OC)c1ccccc1C=O,COc1cc(I)c(C=O)cc1O
