pid,grp,label_stored,gxtb_stored,error,dG_r2scan_kcal,dG_b973c_kcal,dG_gxtb_kcal,resid_gxtb,resid_b973c,repro_r2scan,repro_gxtb,gxtb_mode
CCUJUMKOKSNUCP-UHFFFAOYSA-N__NUMBKGNLQMQSFB-VUWPPUDQSA-N,control,1.1430050050926686,3.0501,,-0.3191888753990786,4.652633413852712,3.0403316532881086,-3.359520528687187,-4.971822289251791,-1.4621938804917471,-0.0097683467118914,cosmo
WVPZWTBESUCAJX-UHFFFAOYSA-N__BRMIXYOIDAOOIX-PNDDCTNVSA-N,control,-1.3503356586698998,-4.656,,-8.426378790752935,-3.79578633646176,-4.66201447041667,-3.7643643203362647,-4.630592454291175,-7.076043132083035,-0.0060144704166704,cosmo
SWHZOJQOWGMPRT-UHFFFAOYSA-N__NTUWSPVODPXFAC-UHFFFAOYSA-N,control,6.667091203578301,5.3622,,4.042161762802083,8.697584544193903,5.090383233307923,-1.0482214705058404,-4.65542278139182,-2.624929440776218,-0.2718167666920763,cosmo
ZLLYBUQOJMPGKQ-UHFFFAOYSA-N__YWYRVKXBPMSZBY-UHFFFAOYSA-N,control,5.777180888285057,2.6153,,3.06500994934934,7.779209080287005,2.613979815354427,0.4510301339949127,-4.714199130937665,-2.7121709389357167,-0.0013201846455728,cosmo
MTUYEWKXSIOKJY-UHFFFAOYSA-N__ADACZSUCPQRGNU-OQMKEHIESA-N,control,11.020682498394368,2.6795,,3.5438125843418424,10.666101191988838,3.166116837337419,0.3776957470044233,-7.122288607646996,-7.476869914052526,0.4866168373374191,cosmo
HKWCEXZUDQTIRD-UHFFFAOYSA-N__MREJZELNCWSZEI-UHFFFAOYSA-N,control,2.891300730629637,3.3844,,0.3179500529616694,4.708530204382895,3.380608086147696,-3.0626580331860263,-4.390580151421226,-2.5733506776679675,-0.0037919138523041,cosmo
MBUGWEHNZAMDRR-UHFFFAOYSA-N__CZCWLUXYZGZTEN-FBQUQXAYSA-N,control,2.3999156946124254,2.9329,,1.468510650535008,5.801449453804151,2.713191061214578,-1.24468041067957,-4.332938803269142,-0.9314050440774172,-0.219708938785422,cosmo
ADCIHVFLVVBMPF-UHFFFAOYSA-N__ABMAWPRTPYBBDU-UHFFFAOYSA-N,control,8.668325800742972,6.92,,2.930250112846628,8.681680071284818,6.907993531233672,-3.977743418387044,-5.75142995843819,-5.738075687896344,-0.0120064687663283,cosmo
FFHCHDIRBSNJGE-UHFFFAOYSA-N__XKAHTFJISBCBPN-UHFFFAOYSA-N,control,-1.780954965169425,2.3299,,-2.9538106601324805,3.074464797636,2.329923910699313,-5.283734570831793,-6.02827545776848,-1.1728556949630555,2.391069931295675e-05,cosmo
BDZSNXFYQFYOSR-UHFFFAOYSA-N__ADWSFKXHBAUKKO-UHFFFAOYSA-N,control,5.924587138343984,6.1826,,3.5032602822180414,9.191490065588384,5.693015469004844,-2.1897551867868024,-5.688229783370341,-2.4213268561259427,-0.4895845309951561,cosmo
CZXDSNKKFLOUOD-UHFFFAOYSA-N__UUXFCTBPGRICST-UHFFFAOYSA-N,control,5.598795021871092,-1.4422,,-1.844508911333797,3.1354987542200954,-1.442215405218313,-0.402293506115484,-4.9800076655538925,-7.443303933204889,-1.5405218313002678e-05,cosmo
SYTIDGYCWXVPDQ-UHFFFAOYSA-N__DKMHDLGRAJXZCT-UHFFFAOYSA-N,control,-3.4423915006928136,0.6225,,-1.424334925444845,4.085789022732225,0.6302249208909702,-2.054559846335815,-5.51012394817707,2.018056575247969,0.00772492089097,cosmo
XIDVBVCDJWPBFU-UHFFFAOYSA-N__UHLMXHXAVUNYPC-UHFFFAOYSA-N,control,11.564204959155187,2.7142,,2.4010737327380745,6.553716913377822,2.7147164411410785,-0.313642708403004,-4.152643180639748,-9.163131226417113,0.0005164411410785,cosmo
SZAXXUAOMZGPRC-UHFFFAOYSA-N__KBSVAZCLQHOLKP-UHFFFAOYSA-N,control,4.573160524756127,6.1738,,2.4175468845170016,7.4301508226866755,6.173739570406741,-3.756192685889739,-5.012603938169674,-2.155613640239125,-6.042959325913699e-05,cosmo
MREJZELNCWSZEI-UHFFFAOYSA-N__HKWCEXZUDQTIRD-UHFFFAOYSA-N,control,17.75546881228098,16.6135,,10.584003974274838,16.17455716514194,16.64719865681523,-6.063194682540393,-5.590553190867103,-7.171464838006143,0.0336986568152326,cosmo
MDBCGUCVZDRMIS-UHFFFAOYSA-N__GXACXWPUCQARQI-UHFFFAOYSA-N,control,7.175836173949295,3.1619,,2.6935051180199507,7.572768946284308,3.1619495102349604,-0.4684443922150096,-4.879263828264357,-4.482331055929345,4.951023496024831e-05,cosmo
RSBXSZATCNRAHC-UHFFFAOYSA-N__MNDACYSEJXGHML-IUCAKERBSA-N,control,-0.4584782319619336,3.5591,,-1.145698377816142,5.068681631789749,3.680882508407776,-4.826580886223918,-6.214380009605891,-0.6872201458542084,0.1217825084077759,cosmo
FQKMHYFAWKOURY-UHFFFAOYSA-N__KXGVDCDMOPMQMS-UHFFFAOYSA-N,control,4.405176249824303,4.3154,,3.164577016855617,8.893185175770215,4.3154548211084975,-1.1508778042528809,-5.728608158914598,-1.2405992329686857,5.4821108497193904e-05,cosmo
MGXCYUSPGOPKIR-UHFFFAOYSA-N__YVPPXSBJJNMJOU-UHFFFAOYSA-N,control,2.9534514979513857,-0.9961,,-2.1303140229531192,3.95134005124952,-0.9960263778571752,-1.134287645095944,-6.081654074202639,-5.083765520904505,7.362214282480295e-05,cosmo
YHHPBYNAHAIMNQ-YRNVUSSQSA-N__LDTADWAOSPRJTQ-UHFFFAOYSA-N,control,2.7258294135162364,2.6677,,2.2674944595001354,7.943332040031371,2.626984050475388,-0.3594895909752527,-5.675837580531235,-0.458334954016101,-0.0407159495246118,cosmo
YGVQWHLDCDFGRO-XOKHGSTOSA-N__FYEUNHYDTXLVGK-UHFFFAOYSA-N,control,0.3291300149474394,3.7211,,-1.4997053141640362,3.4051907590803663,3.720932477317054,-5.22063779148109,-4.9048960732444025,-1.828835329111476,-0.000167522682946,cosmo
