id,donor_id,acceptor_id,pair_key,reaction_type,donor_smiles,acceptor_smiles,smiles,dG_xtb_kcal,dG_gxtb_kcal,dG_pred_correction_mean,dG_pred_correction_std,dG_pred
MOGKJUOCSFZGME-UHFFFAOYSA-N__WTUKCYAZERFIHC-UHFFFAOYSA-N,MOGKJUOCSFZGME-UHFFFAOYSA-N,WTUKCYAZERFIHC-UHFFFAOYSA-N,MOGKJUOCSFZGME-UHFFFAOYSA-N__WTUKCYAZERFIHC-UHFFFAOYSA-N,aliph-aliph,CC(C)(CCCCCCCC=O)O,B(C1CC(CCC1F)C=O)(O)O,CC(C)(O)CCCCCCCC(=O)C(O)C1CCC(F)C(B(O)O)C1,-9.0858,2.1546,-0.8173540965628957,0.9855430851546776,1.337245903437104
DHWNJQALSLWESX-UHFFFAOYSA-N__LQQIPPDNTYOUNW-UHFFFAOYSA-N,DHWNJQALSLWESX-UHFFFAOYSA-N,LQQIPPDNTYOUNW-UHFFFAOYSA-N,DHWNJQALSLWESX-UHFFFAOYSA-N__LQQIPPDNTYOUNW-UHFFFAOYSA-N,carbo-hetero,CC(C)(C=O)C1=C(C=CN=C1)C(F)(F)F,CC1=CC(=C(C=C1N)C#CCC=O)F,Cc1cc(F)c(C#CCC(O)C(=O)C(C)(C)c2cnccc2C(F)(F)F)cc1N,-8.5741,0.2542,-1.162820412947453,0.985328183633555,-0.9086204129474531
WUXBSCJLOSEXFJ-UHFFFAOYSA-N__JIXJKNQCLRRRRT-UHFFFAOYSA-N,WUXBSCJLOSEXFJ-UHFFFAOYSA-N,JIXJKNQCLRRRRT-UHFFFAOYSA-N,JIXJKNQCLRRRRT-UHFFFAOYSA-N__WUXBSCJLOSEXFJ-UHFFFAOYSA-N,aliph-hetero,CCN(CC)C(=O)CCCCC=O,C1=C(OC(=C1)C2=CC(=C(C(=C2Br)Cl)F)Cl)C=O,CCN(CC)C(=O)CCCCC(=O)C(O)c1ccc(-c2cc(Cl)c(F)c(Cl)c2Br)o1,-12.2337,2.872,5.140911956081793,0.9853103800822838,8.012911956081794
AINLIEHNVQANDN-UHFFFAOYSA-N__QYHWBJTXXUNUAJ-UHFFFAOYSA-N,AINLIEHNVQANDN-UHFFFAOYSA-N,QYHWBJTXXUNUAJ-UHFFFAOYSA-N,AINLIEHNVQANDN-UHFFFAOYSA-N__QYHWBJTXXUNUAJ-UHFFFAOYSA-N,carbo-hetero,C1=CC=C(C(=C1)OC2=CC(=C(C=C2)C=O)Cl)F,C1=CN(C=N1)CCCCCC=O,O=C(c1ccc(Oc2ccccc2F)cc1Cl)C(O)CCCCCn1ccnc1,-10.2545,1.8556,-1.3317555392197955,0.9850462353844832,0.5238444607802044
JKDPFEBZVIXIEZ-IRXDYDNUSA-N__AGTSNXAZDKAPHU-QXFUBDJGSA-N,JKDPFEBZVIXIEZ-IRXDYDNUSA-N,AGTSNXAZDKAPHU-QXFUBDJGSA-N,AGTSNXAZDKAPHU-QXFUBDJGSA-N__JKDPFEBZVIXIEZ-IRXDYDNUSA-N,aliph-carbo,CC(=O)N[C@@H](CC1=CC(=CC(=C1)F)F)C(=O)N[C@@H](CCC(C)(C)C)C=O,C[C@@]12CC[C@@H]([C@H]1C=O)C2(C)C,CC(=O)NC(Cc1cc(F)cc(F)c1)C(=O)NC(CCC(C)(C)C)C(=O)C(O)C1C2CCC1(C)C2(C)C,-10.4555,4.3796,-1.306213308539284,0.9846469679824875,3.073386691460716
MIUDSQDUKCHNKN-UHFFFAOYSA-N__GTLCBDAMZCSWAI-UHFFFAOYSA-N,MIUDSQDUKCHNKN-UHFFFAOYSA-N,GTLCBDAMZCSWAI-UHFFFAOYSA-N,GTLCBDAMZCSWAI-UHFFFAOYSA-N__MIUDSQDUKCHNKN-UHFFFAOYSA-N,aliph-hetero,CC1(CCC(=CC1)C(=N)C(CN=C)C=O)F,CC1=CC(=CC2=C1SC(=C2C=O)Cl)F,C=NCC(C(=N)C1=CCC(C)(F)CC1)C(=O)C(O)c1c(Cl)sc2c(C)cc(F)cc12,-12.7472,-5.2173,3.3218986822567587,0.9843112565491947,-1.8954013177432412
UIBUWHAPNMZMFB-UHFFFAOYSA-N__JVUFTSZHMNGPFO-UHFFFAOYSA-N,UIBUWHAPNMZMFB-UHFFFAOYSA-N,JVUFTSZHMNGPFO-UHFFFAOYSA-N,JVUFTSZHMNGPFO-UHFFFAOYSA-N__UIBUWHAPNMZMFB-UHFFFAOYSA-N,hetero-hetero,CC(C)C1=CC=CC2=C1NC(=C2C=O)C3=C(C=CC(=C3)F)F,CC(C)(C)OC(=O)N(C)CCN1C=NC2=C(C3=C(CC(C3)C=O)C(=C21)F)F,CC(C)c1cccc2c(C(=O)C(O)C3Cc4c(c(F)c5c(ncn5CCN(C)C(=O)OC(C)(C)C)c4F)C3)c(-c3cc(F)ccc3F)[nH]c12,-9.3511,4.5603,4.49771140630379,0.9840952491233289,9.058011406303791
LLGIAYKTCWJZHF-UHFFFAOYSA-N__LHWBIWNUPNZDGZ-UHFFFAOYSA-N,LLGIAYKTCWJZHF-UHFFFAOYSA-N,LHWBIWNUPNZDGZ-UHFFFAOYSA-N,LHWBIWNUPNZDGZ-UHFFFAOYSA-N__LLGIAYKTCWJZHF-UHFFFAOYSA-N,hetero-hetero,C1=CC=C(C=C1)C2=NNN=C2C=O,CC(C1=CC=C(C=C1)C(F)(F)F)N2C(=C(C(=N2)CO)C=O)NC(=NC)C3=CC=CO3,CN=C(Nc1c(C(O)C(=O)c2n[nH]nc2-c2ccccc2)c(CO)nn1C(C)c1ccc(C(F)(F)F)cc1)c1ccco1,-3.4754,-0.7747,8.434807265744917,0.9840101024725907,7.660107265744917
KTHRAGCWRKJDBR-UHFFFAOYSA-N__LZYNFLFJMQSNIQ-UHFFFAOYSA-N,KTHRAGCWRKJDBR-UHFFFAOYSA-N,LZYNFLFJMQSNIQ-UHFFFAOYSA-N,KTHRAGCWRKJDBR-UHFFFAOYSA-N__LZYNFLFJMQSNIQ-UHFFFAOYSA-N,carbo-carbo,C1=CC(=C(C=C1C2C(C2(Cl)Cl)(CO)C=O)Cl)C(F)F,C1CCCN(CC1)C(=O)COC2=C(C=C(C=C2F)C=O)F,O=C(COc1c(F)cc(C(O)C(=O)C2(CO)C(c3ccc(C(F)F)c(Cl)c3)C2(Cl)Cl)cc1F)N1CCCCCC1,-10.1395,6.9578,1.8736225384892986,0.983854461448403,8.8314225384893
MGRNVGFOZBAKPO-UHFFFAOYSA-N__INFANGSSQMUFNQ-UHFFFAOYSA-N,MGRNVGFOZBAKPO-UHFFFAOYSA-N,INFANGSSQMUFNQ-UHFFFAOYSA-N,INFANGSSQMUFNQ-UHFFFAOYSA-N__MGRNVGFOZBAKPO-UHFFFAOYSA-N,carbo-hetero,C1CN(CCC1C(=O)NCCCSC2=CC=CC=C2)C3=CC=C(C=C3)C=O,C1=C(C(=NC(=C1C#N)CN)C(F)F)C=O,N#Cc1cc(C(O)C(=O)c2ccc(N3CCC(C(=O)NCCCSc4ccccc4)CC3)cc2)c(C(F)F)nc1CN,-13.4022,-1.5077,-0.16338753507661558,0.9837580507279894,-1.6710875350766157
XRJLOZNMCOMVKX-UHFFFAOYSA-N__ZLTGZHNMVOEVCT-UHFFFAOYSA-N,XRJLOZNMCOMVKX-UHFFFAOYSA-N,ZLTGZHNMVOEVCT-UHFFFAOYSA-N,XRJLOZNMCOMVKX-UHFFFAOYSA-N__ZLTGZHNMVOEVCT-UHFFFAOYSA-N,hetero-hetero,CC(C)N1C=C(C(=N1)C2=CC=CC=C2F)C=O,COC1=C(C(=O)NC(=C1)C=O)OC(F)(F)F,COc1cc(C(O)C(=O)c2cn(C(C)C)nc2-c2ccccc2F)[nH]c(=O)c1OC(F)(F)F,-14.6348,2.9032,0.7621955765498253,0.9837285264689836,3.6653955765498254
