bdfe_gxtb_kcal,id,bde_gxtb_kcal
90.901,873.0,68.95
90.033,893.0,57.901
89.147,895.0,57.545
89.915,897.0,57.364
90.588,896.0,63.474
90.736,868.0,79.75
88.676,861.0,74.282
91.101,837.0,71.741
91.856,915.0,87.601
98.094,916.0,95.1
75.15,913.0,64.142
97.424,917.0,88.653
96.454,907.0,92.931
90.395,908.0,87.65
94.174,922.0,85.054
86.819,905.0,78.004
90.282,910.0,81.258
94.313,921.0,87.728
93.52,924.0,80.064
88.883,914.0,82.785
85.044,912.0,74.74
87.675,902.0,78.525
93.477,923.0,82.407
90.089,899.0,67.341
88.905,894.0,61.446
89.559,898.0,68.456
89.656,911.0,65.541
96.373,904.0,87.815
90.412,900.0,67.289
90.01,906.0,74.013
89.008,919.0,69.063
85.716,918.0,62.271
85.565,927.0,65.58
88.443,920.0,72.441
80.59,928.0,59.187
90.958,946.0,85.705
101.8,929.0,82.217
87.647,942.0,76.66
87.615,931.0,69.277
89.803,926.0,66.432
102.436,925.0,81.781
90.89,949.0,84.621
89.932,943.0,69.136
90.955,948.0,79.546
84.78,955.0,80.473
91.047,957.0,88.352
82.76,960.0,81.343
85.463,930.0,62.314
86.36,932.0,66.168
91.608,959.0,88.504
90.868,952.0,71.435
97.05,950.0,88.033
90.879,958.0,80.705
102.555,933.0,84.825
97.956,944.0,85.057
90.176,964.0,94.52
88.382,953.0,85.331
,945.0,
90.898,947.0,82.174
94.76,967.0,92.084
90.72,956.0,68.024
94.794,966.0,92.077
90.585,961.0,90.947
89.022,962.0,89.967
94.891,970.0,90.139
89.018,941.0,72.772
88.541,935.0,63.692
84.237,975.0,77.038
89.772,936.0,70.884
85.846,978.0,81.686
90.151,969.0,80.771
90.452,979.0,80.758
89.13,963.0,71.851
82.058,938.0,61.158
89.006,937.0,69.669
87.015,934.0,72.479
98.788,980.0,80.849
82.887,939.0,61.956
93.978,990.0,88.204
90.743,971.0,65.585
99.134,951.0,86.064
89.057,989.0,76.361
96.455,991.0,90.498
84.202,992.0,76.622
86.39,985.0,69.414
85.636,983.0,65.578
89.357,976.0,78.214
91.463,965.0,73.842
91.528,940.0,70.529
89.239,977.0,76.042
90.702,954.0,74.611
89.679,973.0,74.997
98.925,995.0,90.725
91.282,993.0,89.633
98.274,974.0,87.422
,994.0,
88.926,981.0,75.734
85.653,996.0,72.772
84.296,982.0,64.918
85.702,986.0,65.865
88.289,968.0,69.417
90.494,998.0,72.373
89.429,999.0,81.826
86.386,987.0,65.173
86.614,988.0,66.02
90.301,972.0,59.187
86.583,984.0,65.428
89.184,997.0,63.217
92.395,1015.0,91.286
94.547,1016.0,94.79
90.18,1010.0,89.244
97.287,1007.0,89.508
89.559,1014.0,84.932
95.846,1004.0,93.385
96.236,1012.0,90.588
95.298,1009.0,94.042
90.661,1008.0,88.218
79.685,1017.0,72.924
105.512,1025.0,101.159
84.429,1005.0,79.731
97.61,1021.0,97.272
89.842,1023.0,89.609
83.374,1006.0,77.815
91.165,1027.0,91.28
89.383,1026.0,89.254
85.676,1013.0,79.871
90.231,1020.0,84.342
69.303,1033.0,68.356
87.098,1037.0,87.512
89.872,1038.0,89.417
93.775,1024.0,88.588
105.781,1032.0,106.384
111.283,1011.0,103.61
88.351,1028.0,85.302
85.972,1036.0,86.138
85.736,1002.0,79.13
88.11,1039.0,77.417
89.48,1003.0,72.531
89.547,1019.0,83.583
78.272,1035.0,69.437
84.442,1040.0,73.275
80.008,1034.0,70.14
85.624,1030.0,79.248
41.934,1048.0,37.874
89.431,1050.0,83.587
88.231,1056.0,89.674
84.884,1029.0,78.225
,1049.0,
87.975,1041.0,74.792
89.327,1018.0,84.778
91.888,1051.0,88.891
90.882,1022.0,82.163
91.489,1063.0,89.174
89.296,1053.0,88.988
80.669,1064.0,77.112
95.521,1059.0,94.788
105.927,1066.0,102.066
96.492,1057.0,93.849
96.331,1054.0,94.763
79.619,1052.0,77.503
88.198,1047.0,78.888
95.527,1068.0,97.683
91.019,1069.0,86.0
93.9,1042.0,82.448
89.064,1067.0,86.195
89.603,1045.0,84.212
85.474,1055.0,80.199
96.215,1060.0,92.628
89.713,1043.0,85.399
78.51,1058.0,74.403
,1062.0,
89.193,1071.0,88.143
90.991,1072.0,83.57
86.962,1079.0,82.081
88.584,1070.0,85.072
66.571,1086.0,66.846
95.678,1061.0,89.328
89.917,1087.0,79.393
89.419,1076.0,84.029
93.443,1073.0,89.143
95.439,1089.0,95.85
84.885,1091.0,83.474
82.743,1092.0,77.521
87.378,1065.0,83.117
80.954,1095.0,78.253
63.746,1081.0,52.775
80.852,1083.0,60.043
92.693,1096.0,89.537
92.18,1088.0,85.454
87.773,1097.0,75.833
95.643,1085.0,90.226
95.03,1103.0,90.489
96.547,1082.0,87.526
88.815,1094.0,85.958
91.345,1090.0,85.408
76.901,1078.0,62.039
97.3,1093.0,91.207
81.953,1098.0,69.103
98.644,1080.0,92.208
94.444,1074.0,87.754
