bdfe_gxtb_kcal,id
79.496,27555
73.816,27534
52.271,27545
65.97,27563
,27519
75.446,27520
80.612,27558
65.059,27551
74.964,27562
60.992,27561
63.519,27567
24.455,27568
73.041,27547
82.605,27552
54.04,27571
60.033,28533
60.346,28540
,28545
60.818,28544
59.597,28537
59.39,28546
59.666,28551
58.25,28543
60.162,28550
60.017,28547
60.68,28531
84.422,28549
61.356,28555
61.591,28548
59.718,28557
60.4,28558
,28553
59.379,28562
62.217,28556
60.392,28568
75.769,2
76.795,15
60.082,3
62.957,10
78.947,16
63.048,0
62.721,17
64.366,9
76.847,4
75.436,7
61.43,13
63.087,1
58.749,27
73.016,21
71.569,33
71.389,30
60.996,29
32.387,36
75.629,19
78.917,24
56.476,4000
48.158,4002
57.336,4010
53.594,4007
72.541,4004
33.993,4003
70.725,4005
86.849,4012
60.015,4031
82.445,4011
49.811,4001
67.578,4006
76.137,4017
67.413,4020
71.02,4035
69.663,4014
77.859,4018
74.64,4034
74.356,4036
99.064,4039
58.464,8017
64.906,8020
59.856,8014
60.032,8010
57.655,8008
,8007
64.772,8011
63.326,8027
63.625,8000
66.368,8005
60.849,8025
64.854,8002
60.416,8001
63.876,8024
61.491,8009
64.367,8039
54.332,8031
63.702,8015
73.286,8012
55.712,8040
56.626,12018
59.122,12013
71.723,12011
58.31,12012
70.893,12007
56.179,12004
53.564,12021
55.81,12016
36.619,12029
54.932,12031
55.643,12000
,12015
63.337,12008
54.193,12019
58.301,12001
41.787,12014
66.375,12033
65.407,12026
76.429,12032
65.305,12035
72.038,16030
65.589,16026
73.148,16031
60.426,16025
75.009,16034
56.925,16027
70.569,16037
74.034,16033
75.138,16039
60.668,16028
66.571,16042
75.788,16046
77.025,16038
53.593,16014
74.179,16022
77.287,16016
57.152,16035
71.555,16047
69.396,16049
75.452,16020
61.058,20028
58.976,20029
60.818,20030
61.815,20031
60.622,20027
56.378,20032
56.142,20023
50.946,20035
77.579,20039
66.954,20040
74.552,20038
55.501,20022
56.178,20025
70.648,20037
,20017
55.765,20026
60.533,20048
55.812,20043
77.835,20042
67.427,20041
35.335,24033
74.19,24038
61.586,24041
62.863,24028
58.676,24045
53.292,24034
58.228,24042
77.379,24051
54.583,24053
58.63,24054
58.468,24047
71.385,24049
62.778,24048
72.383,24035
52.593,24056
75.891,24039
72.289,24055
57.695,24015
68.771,24062
50.809,24063
