bdfe_gxtb_kcal,ald_id
90.125,22537.0
89.162,22553.0
87.094,22548.0
68.933,22524.0
89.659,22538.0
91.145,22542.0
88.675,22557.0
88.697,22554.0
88.624,22547.0
89.032,22534.0
87.768,22561.0
89.795,23533.0
89.048,23531.0
93.251,23543.0
90.103,23539.0
95.347,23534.0
91.064,23535.0
89.162,23537.0
68.089,23536.0
94.28,23530.0
90.196,23522.0
88.989,23544.0
91.765,23547.0
86.779,23525.0
90.715,23546.0
94.93,23556.0
89.197,23532.0
89.54,23557.0
88.216,23549.0
91.705,23548.0
90.953,23554.0
89.15,24538.0
125.713,24541.0
90.416,24531.0
88.994,24537.0
90.172,24540.0
84.834,24539.0
88.853,24547.0
91.139,24528.0
87.591,24509.0
90.147,24548.0
88.766,24525.0
85.004,24532.0
84.622,24530.0
90.017,24522.0
88.828,24545.0
88.261,24559.0
90.237,24554.0
91.262,24542.0
91.126,24543.0
89.078,24533.0
87.012,25536.0
75.834,25531.0
92.776,25546.0
87.08,25533.0
90.154,25535.0
90.199,25541.0
87.031,25528.0
89.962,25532.0
90.414,25524.0
89.021,25538.0
89.51,25539.0
88.98,25520.0
88.969,25542.0
87.727,25545.0
88.748,25550.0
58.136,25544.0
93.194,25557.0
87.972,25552.0
89.587,25554.0
89.683,25547.0
81.631,26539.0
88.763,26531.0
98.069,26533.0
87.038,26546.0
,26543.0
88.102,26532.0
97.378,26537.0
87.243,26551.0
93.101,26550.0
64.489,26536.0
77.382,26545.0
77.884,26552.0
84.665,26541.0
89.112,26542.0
91.94,26544.0
81.557,26529.0
87.737,26557.0
93.14,26538.0
88.368,26534.0
69.05,26558.0
97.522,27541.0
79.431,27540.0
87.344,27542.0
92.148,27538.0
88.839,27536.0
95.617,27539.0
87.669,27537.0
89.408,27548.0
90.49,27550.0
86.99,27535.0
94.935,27556.0
88.534,27554.0
90.531,27544.0
100.799,27553.0
98.273,27560.0
96.178,27534.0
89.523,27555.0
86.332,27545.0
97.573,27563.0
95.049,27547.0
90.838,28539.0
90.879,28538.0
,28534.0
90.681,28542.0
91.617,28532.0
91.558,28535.0
90.971,28536.0
91.08,28533.0
91.491,28531.0
91.094,28529.0
91.366,28530.0
91.391,28541.0
91.042,28543.0
91.004,28540.0
90.726,28546.0
,28545.0
90.948,28551.0
91.409,28544.0
91.21,28558.0
91.375,28550.0
88.444,2.0
89.508,15.0
89.794,16.0
93.288,0.0
89.697,3.0
91.824,10.0
93.373,17.0
91.6,13.0
93.299,9.0
91.756,1.0
89.303,4.0
90.441,33.0
87.296,21.0
89.738,7.0
90.479,29.0
88.307,27.0
96.9,30.0
64.48,36.0
89.761,24.0
90.899,11.0
73.454,4002.0
85.982,4007.0
93.801,4010.0
57.709,4003.0
92.685,4000.0
88.941,4005.0
86.346,4004.0
90.926,4031.0
88.297,4006.0
84.787,4001.0
91.115,4013.0
90.663,4020.0
90.945,4012.0
97.015,4035.0
90.345,4017.0
90.803,4036.0
90.062,4034.0
124.98,4039.0
90.38,4018.0
96.974,4038.0
89.73,8020.0
87.395,8014.0
89.407,8017.0
94.266,8000.0
101.317,8007.0
90.676,8024.0
89.201,8001.0
87.338,8015.0
96.847,8008.0
94.866,8011.0
96.417,8005.0
96.864,8009.0
95.886,8002.0
94.967,8010.0
83.812,8012.0
91.262,8039.0
92.566,8027.0
82.886,8040.0
86.734,8031.0
92.334,8019.0
86.556,12016.0
86.917,12018.0
85.683,12021.0
87.958,12012.0
88.557,12013.0
82.201,12019.0
78.163,12029.0
91.772,12015.0
89.027,12009.0
87.208,12004.0
87.213,12031.0
89.168,12007.0
89.246,12001.0
89.852,12000.0
91.341,12026.0
94.876,12033.0
89.816,12011.0
88.865,12035.0
80.418,12014.0
90.307,12032.0
91.248,16030.0
94.688,16026.0
88.359,16020.0
86.848,16025.0
87.364,16027.0
90.353,16031.0
70.951,16014.0
82.577,16013.0
98.885,16037.0
88.655,16034.0
88.509,16028.0
89.518,16039.0
92.96,16042.0
90.369,16046.0
90.913,16003.0
87.972,16035.0
89.914,16018.0
92.02,16021.0
90.215,16033.0
90.506,16038.0
89.515,20030.0
90.237,20028.0
88.076,20029.0
88.308,20031.0
84.486,20034.0
88.429,20027.0
86.598,20032.0
83.46,20035.0
90.343,20040.0
89.454,20039.0
88.932,20038.0
85.382,20025.0
,20016.0
84.102,20022.0
90.525,20037.0
83.629,20023.0
85.307,20043.0
87.158,20026.0
89.792,20041.0
88.044,20044.0
89.974,24036.0
83.97,24033.0
89.729,24037.0
89.501,24038.0
91.003,24041.0
88.12,24045.0
92.69,24028.0
84.584,24034.0
88.678,24042.0
92.405,24051.0
89.283,24054.0
85.525,24053.0
89.508,24035.0
88.577,24015.0
89.981,24049.0
89.682,24039.0
89.297,24047.0
91.57,24010.0
86.27,24056.0
88.897,24062.0
