ald_id,smiles,aldehyde_in_table,category,n_attempts,error_raw
122381,C1=CC=C(C=C1)NC2=C(C(=NC=N2)SC3=CC=CC=C3)C=O,Y,disk_quota_rerunnable,1,exception:[Errno 122] Disk quota exceeded: '/scratch-local/schen3.24153563/cb_24128375_1223/cb_featurize_1461490/prod_122381/conf/ff190'
122390,CCOC(=O)[C@@H](CC=O)C[C@@H]1CCCO1,Y,disk_quota_rerunnable,1,exception:[Errno 122] Disk quota exceeded: '/scratch-local/schen3.24153563/cb_24128375_1223/cb_featurize_1461490/prod_122390/conf/ff226'
122417,COC(CC=O)C=C1CC(C1)COCC2=CC=CC=C2,Y,disk_quota_rerunnable,1,exception:[Errno 122] Disk quota exceeded: '/scratch-local/schen3.24153563/cb_24128375_1223/cb_featurize_1461490/prod_122417/conf/sp151'
122429,CC(C)(C)[Si](C)(C)O[C@@H](CCC1=CC=CC=C1)[C@@H](C=O)Cl,Y,disk_quota_rerunnable,1,exception:[Errno 122] Disk quota exceeded: '/scratch-local/schen3.24153563/cb_24128375_1223/cb_featurize_1461490/prod_122429/conf/sp113'
122471,C/C(=C\COC(=O)C(C)(C)C)/CCC=O,Y,disk_quota_rerunnable,1,exception:[Errno 122] Disk quota exceeded: '/scratch-local/schen3.24153563/cb_24128375_1223/cb_featurize_1461490/prod_122471/conf/ff334'
122478,C1=CC=C(C=C1)/C=C/C2=CN(C3=CC=CC=C32)CCCC=O,Y,disk_quota_rerunnable,1,exception:[Errno 122] Disk quota exceeded: '/scratch-local/schen3.24153672/cb_24128375_1224/cb_featurize_1268517/prod_122478/conf/ff204'
122491,CC1=CC=C(C=C1)S(=O)(=O)C(C=O)C2=CC=C(C=C2)OC,Y,disk_quota_rerunnable,1,exception:[Errno 122] Disk quota exceeded: '/scratch-local/schen3.24153672/cb_24128375_1224/cb_featurize_1268517/prod_122491/conf/ff373'
122495,C1=CC=C2C(=C1)C(=C(N2)CC(=O)C3=CC=C(C=C3)[N+](=O)[O-])C=O,Y,disk_quota_rerunnable,1,exception:[Errno 122] Disk quota exceeded: '/scratch-local/schen3.24153672/cb_24128375_1224/cb_featurize_1268517/prod_122495/conf/ff276'
122512,CC1=CC=C(C=C1)S(=O)(=O)C(C=O)C2=CC=CC(=C2)C,Y,disk_quota_rerunnable,1,exception:[Errno 122] Disk quota exceeded: '/scratch-local/schen3.24153672/cb_24128375_1224/cb_featurize_1268517/prod_122512/conf/sp119/input.xyz'
122544,C1[C@@H]([C@H](O[C@H]1N2C=NC3=C2N=C(NC3=O)N=CCC=O)CO)O,Y,disk_quota_rerunnable,1,exception:[Errno 122] Disk quota exceeded: '/scratch-local/schen3.24153672/cb_24128375_1224/cb_featurize_1268517/prod_122544/conf/ff379'
122559,C1=CC(=CC=C1C(=O)N[C@@H](CCCCN)C=O)NCC2=CN=C3C(=N2)C(=O)NC(=N3)N,Y,disk_quota_rerunnable,1,exception:[Errno 122] Disk quota exceeded: '/scratch-local/schen3.24153672/cb_24128375_1224/cb_featurize_1268517/prod_122559/conf/sp084'
