bdfe_gxtb_kcal,id,bde_gxtb_kcal
57.688,708,59.382
,709,
73.902,710,71.061
56.03,711,55.26
58.114,712,54.843
61.969,713,54.878
62.618,714,56.853
55.55,715,49.735
60.302,716,56.085
42.714,717,21.308
61.687,718,60.417
78.725,719,84.941
61.211,720,45.11
61.207,721,49.547
58.751,722,51.849
47.556,723,45.838
60.149,724,53.974
63.194,725,48.618
69.854,726,76.973
61.563,727,49.2
60.607,728,52.087
,729,
58.777,730,53.995
50.34,731,46.056
59.257,732,56.61
58.522,733,54.343
62.133,734,57.845
,735,
52.914,736,49.493
59.896,737,42.127
49.691,738,48.436
75.309,739,74.594
69.304,740,66.166
,741,
54.421,742,50.637
59.408,743,54.812
60.251,744,62.021
54.304,745,46.9
39.285,746,30.878
62.478,747,55.23
53.929,748,44.15
57.914,749,45.275
56.272,750,46.593
57.369,751,50.002
55.078,752,49.571
,753,
61.437,754,49.968
62.305,755,46.1
61.495,756,51.452
,757,
71.963,758,61.457
59.015,759,43.71
70.143,760,66.566
72.321,761,59.363
59.065,762,57.41
72.203,763,65.813
62.36,764,49.329
,765,
64.43,766,53.791
60.011,767,52.381
61.006,768,50.445
61.337,769,52.654
24.889,770,11.863
62.018,771,51.589
77.017,772,82.091
61.754,773,54.323
73.835,774,79.28
70.76,775,68.372
63.011,776,56.628
39.619,777,32.702
57.895,778,51.272
71.761,779,64.675
61.429,780,55.902
66.475,781,58.334
71.448,782,64.923
65.677,783,57.396
64.95,784,72.926
70.658,785,80.233
56.407,786,56.483
72.276,787,75.423
62.916,788,56.056
55.855,789,56.578
75.242,790,75.024
60.165,791,48.787
74.595,792,69.934
78.314,793,80.459
75.211,794,72.02
72.797,795,75.885
74.161,796,70.54
74.125,797,71.873
78.19,798,74.365
61.561,799,46.069
74.568,800,73.313
61.371,801,58.223
75.416,802,73.015
75.133,803,71.212
70.969,804,77.384
73.993,805,69.947
74.537,806,70.811
74.42,807,70.424
77.833,808,78.774
63.904,809,64.069
77.01,810,77.987
54.057,811,56.275
54.465,812,53.558
62.148,813,58.089
57.357,814,58.487
64.681,815,56.929
61.627,816,61.229
59.2,817,59.52
60.335,818,52.528
56.805,819,59.717
74.752,820,76.684
59.282,821,58.702
60.904,822,51.148
56.965,823,57.965
60.405,824,60.025
57.263,825,58.633
76.199,826,76.974
78.184,827,78.934
66.961,828,66.709
74.262,829,77.323
74.211,830,77.322
76.311,831,74.987
61.87,832,56.206
74.612,833,63.947
78.345,834,69.418
78.105,835,69.412
76.386,836,61.35
75.266,837,34.018
74.1,838,52.366
71.411,839,75.85
76.225,840,43.662
75.435,841,64.221
47.171,842,30.302
74.03,843,69.022
74.075,844,67.384
76.497,845,77.223
73.963,846,78.036
75.34,847,51.513
73.334,848,57.266
74.03,849,69.022
77.148,850,76.54
73.215,851,59.241
68.502,852,60.431
77.531,853,72.86
45.935,854,29.74
75.657,855,72.501
57.041,856,55.435
79.012,857,74.252
68.472,858,57.986
59.696,859,36.542
75.958,860,64.618
57.47,861,26.897
26.859,862,1.091
61.063,863,29.248
49.975,864,40.249
60.027,865,35.388
61.287,866,49.9
62.248,867,43.858
55.885,868,29.275
44.288,869,29.709
67.247,870,71.739
67.723,871,73.961
65.902,872,73.827
67.972,873,34.938
75.755,874,79.653
75.786,875,72.167
52.176,876,40.545
44.092,877,40.943
73.233,878,64.522
57.52,879,60.368
63.414,880,52.411
75.677,881,74.678
59.415,882,35.842
58.138,883,51.496
56.963,884,23.686
69.061,885,60.587
57.91,886,43.668
60.771,887,44.695
76.342,888,66.311
67.984,889,28.699
77.891,890,72.406
47.689,891,34.669
71.372,892,62.698
80.381,893,26.496
74.332,894,28.744
71.008,895,20.279
53.12,896,-3.515
75.088,897,24.246
71.554,898,20.435
62.274,899,13.677
82.514,900,39.895
57.384,901,46.155
56.421,902,34.336
54.31,903,44.673
72.644,904,50.311
58.8,905,41.102
70.192,906,41.967
68.838,907,57.694
76.773,908,70.491
70.161,909,59.933
78.208,910,62.254
74.332,911,23.595
51.97,912,23.795
36.201,913,4.892
59.29,914,38.113
60.302,915,40.204
71.665,916,58.625
71.351,917,46.818
66.244,918,29.91
69.392,919,31.285
79.253,920,49.378
61.803,921,50.623
60.493,922,39.419
60.359,923,34.533
58.815,924,25.043
76.435,925,47.613
86.61,926,44.636
79.473,927,49.319
73.631,928,47.014
72.323,929,40.641
124.142,930,93.839
81.191,931,55.264
73.584,932,38.029
69.194,933,30.802
71.228,934,39.855
73.388,935,37.507
76.59,936,50.329
75.525,937,42.123
72.971,938,48.394
77.092,939,47.137
72.657,940,34.533
67.051,941,41.372
72.653,942,51.797
75.818,943,33.455
75.035,944,50.854
,945,
62.794,946,44.415
62.405,947,37.105
77.389,948,51.988
55.506,949,31.565
68.18,950,40.764
68.319,951,37.267
76.225,952,43.662
74.539,953,57.424
73.412,954,45.361
57.445,955,42.841
71.025,956,23.352
61.729,957,47.302
74.675,958,47.214
69.073,959,60.568
48.822,960,36.035
74.526,961,67.899
74.89,962,68.881
119.535,963,85.096
75.647,964,77.253
60.996,965,13.856
65.975,966,54.397
66.052,967,54.596
78.949,968,51.189
71.287,969,49.42
66.515,970,50.664
77.228,971,39.925
79.731,972,35.187
73.214,973,46.38
71.628,974,41.382
50.916,975,27.604
72.931,976,41.123
72.272,977,52.419
58.483,978,49.713
62.585,979,42.058
67.772,980,32.838
74.321,981,52.588
55.678,982,27.245
56.421,983,28.275
58.593,984,20.904
64.373,985,40.253
60.208,986,35.121
61.286,987,31.285
66.416,988,28.754
57.619,989,43.247
59.717,990,47.098
71.844,991,58.698
46.974,992,27.75
90.244,993,80.845
,994,
,995,
51.879,996,26.226
78.059,997,24.751
74.05,998,46.312
77.104,999,61.481
78.78,1000,67.143
84.957,1001,63.574
53.209,1002,36.907
58.758,1003,20.559
74.083,1004,68.993
46.108,1005,32.966
47.265,1006,31.193
68.011,1007,57.341
60.904,1008,47.483
70.958,1009,59.546
58.963,1010,48.777
85.706,1011,72.188
70.847,1012,52.466
48.647,1013,33.084
60.156,1014,41.526
60.95,1015,53.089
70.968,1016,69.381
44.501,1017,31.684
60.116,1018,42.673
59.07,1019,40.933
65.677,1020,54.268
68.988,1021,61.487
61.122,1022,34.599
61.308,1023,52.769
60.016,1024,43.861
73.045,1025,59.766
60.192,1026,51.91
61.19,1027,52.442
60.87,1028,54.835
55.664,1029,37.788
57.521,1030,41.5
67.718,1031,35.018
76.855,1032,71.246
37.228,1033,31.836
35.423,1034,7.62
33.115,1035,9.089
58.712,1036,58.103
53.11,1037,46.434
62.811,1038,57.596
61.423,1039,39.097
56.935,1040,34.884
52.957,1041,25.225
60.984,1042,33.627
55.814,1043,37.589
57.269,1044,27.186
57.054,1045,39.388
55.031,1046,30.417
,1047,
-7.621,1048,-14.736
,1049,
57.161,1050,39.04
65.384,1051,56.546
52.441,1052,46.165
59.26,1053,49.627
74.094,1054,70.764
52.114,1055,33.464
64.07,1056,61.477
73.217,1057,69.978
61.665,1058,54.705
70.08,1059,61.549
69.044,1060,60.386
69.234,1061,50.319
,1062,
52.27,1063,42.728
38.268,1064,26.379
55.766,1065,39.337
72.891,1066,59.765
60.016,1067,49.247
63.129,1068,53.837
61.478,1069,50.471
63.888,1070,58.65
68.513,1071,67.488
36.277,1072,12.65
59.782,1073,41.353
66.204,1074,47.868
,1075,
66.263,1076,59.196
74.844,1077,52.639
,1078,
64.03,1079,53.784
66.035,1080,48.287
58.803,1081,37.112
66.377,1082,39.821
55.924,1083,13.077
52.758,1084,21.335
69.444,1085,52.11
29.651,1086,27.805
42.842,1087,26.853
65.337,1088,50.004
70.488,1089,69.637
60.66,1090,40.443
52.55,1091,42.698
44.197,1092,24.215
65.66,1093,47.813
72.949,1094,53.81
47.987,1095,33.666
64.169,1096,50.32
57.091,1097,26.956
58.655,1098,38.715
55.325,1099,27.13
57.158,1100,31.169
59.409,1101,25.703
65.101,1102,25.125
61.034,1103,41.767
26.573,1104,0.478
61.719,1105,36.745
57.184,1106,29.944
56.0,1107,39.55
53.333,1108,25.371
61.613,1109,32.433
64.294,1110,51.897
61.527,1111,47.95
67.451,1112,57.727
59.181,1113,30.088
71.74,1114,66.45
57.365,1115,21.093
,1116,
62.819,1117,47.769
67.136,1118,41.15
64.533,1119,53.255
66.288,1120,45.931
58.779,1121,43.586
63.56,1122,58.99
75.034,1123,54.828
73.535,1124,61.208
61.695,1125,36.692
61.917,1126,47.056
66.791,1127,51.469
70.603,1128,55.154
73.188,1129,76.937
43.481,1130,42.545
38.902,1131,23.386
59.209,1132,47.243
72.793,1133,70.222
64.35,1134,45.881
61.377,1135,45.482
62.347,1136,48.834
61.682,1137,53.045
65.725,1138,43.94
60.792,1139,41.829
41.551,1140,33.964
60.73,1141,46.968
74.034,1142,72.223
78.957,1143,81.904
70.726,1144,26.793
72.445,1145,62.49
60.938,1146,47.87
80.985,1147,67.215
71.886,1148,44.181
66.386,1149,72.96
60.534,1150,33.282
51.58,1151,26.378
76.757,1152,74.471
70.552,1153,76.679
70.407,1154,57.408
67.352,1155,54.255
72.466,1156,65.549
57.093,1157,41.04
57.207,1158,52.116
70.79,1159,75.77
102.005,1160,93.615
71.24,1161,77.033
64.782,1162,53.669
58.293,1163,55.294
76.163,1164,78.363
73.142,1165,67.893
71.094,1166,68.675
73.675,1167,67.668
67.091,1168,72.257
73.266,1169,77.263
,1170,
76.646,1171,74.703
54.898,1172,41.201
59.56,1173,52.344
69.015,1174,73.342
76.097,1175,78.009
60.549,1176,47.42
55.408,1177,49.524
74.935,1178,74.316
73.159,1179,34.454
57.851,1180,59.859
57.057,1181,57.631
60.983,1182,58.677
