E_acyl_orca_Eh,E_h_orca_Eh,id,bde_gxtb_kcal,bde_alfabet_kcal,bde_dft_kcal
-1717.1635412151,-0.497326434673,113776.0,76.925,89.52713,102.87055743394812
-737.247346265441,-0.497326434673,175325.0,82.675,87.352715,90.2870088586889
-1006.764669605184,-0.497326434673,196282.0,86.253,90.36315,103.4663390015812
-713.976486102902,-0.497326434673,35679.0,89.585,92.59435,96.10887141162628
-484.562889789215,-0.497326434673,133036.0,95.415,89.69495,94.23655332116188
-1476.075606925312,-0.497326434673,77224.0,77.34,88.92416,94.88183435605838
-942.021865275146,-0.497326434673,68790.0,82.887,87.96189,94.65836206961802
-3394.94072794052,-0.497326434673,60826.0,86.413,90.51849,96.61287009708352
-829.848344440685,-0.497326434673,96646.0,89.772,90.418304,95.6216084181868
-993.680734348472,-0.497326434673,176600.0,96.149,92.6164,112.06347143010328
-1204.847230038699,-0.497326434673,71423.0,77.706,90.22471,100.81580841619518
-945.659094506317,-0.497326434673,163096.0,83.092,90.61574,101.40280861566076
-919.941361794432,-0.497326434673,157185.0,86.57,89.42132,99.90572181312528
-751.701094078189,-0.497326434673,38255.0,89.96,90.29124,105.88631360725816
-558.61494108081,-0.497326434673,11959.0,97.02,92.22729,111.12307624378212
-1610.349866125027,-0.497326434673,83450.0,78.054,87.62574,94.64530115592387
-1457.167367423985,-0.497326434673,148494.0,83.281,90.22976,106.15163495305134
-1249.173674099791,-0.497326434673,183160.0,86.734,89.23908,100.2159613551256
-692.996882882095,-0.497326434673,120515.0,90.151,87.71716,95.36773492298391
-985.471806644412,-0.497326434673,42812.0,98.196,93.30127,108.53705576447156
-2088.419258861262,-0.497326434673,43797.0,78.411,89.86591,97.14148913325214
-1527.709208505734,-0.497326434673,187820.0,83.477,90.903496,107.5392755314493
-676.535741081345,-0.497326434673,165025.0,86.891,88.97114,93.6459308187255
-1025.968608278929,-0.497326434673,19991.0,90.346,89.974434,103.46596349378136
-730.418061023534,-0.497326434673,187143.0,100.05,89.363525,112.6220019132072
-3419.497201499119,-0.497326434673,75659.0,78.744,87.58938,89.98149649553082
-3822.718983315793,-0.497326434673,16953.0,83.675,90.87759,100.8824722188768
-570.514760331953,-0.497326434673,393.0,87.057,91.89384,115.16975511914929
-712.385096056809,-0.497326434673,37590.0,90.547,90.95095,104.22265350004396
-864.502236779032,-0.497326434673,185266.0,113.847,90.05212,97.14266252646232
-1522.30722067794,-0.497326434673,43121.0,65.707,89.37829,87.30021413196911
-1464.768861387889,-0.497326434673,79682.0,79.688,90.93656,102.42299202134522
-1158.921774023107,-0.497326434673,103415.0,84.231,88.14065,93.76030159232155
-868.216801730049,-0.497326434673,47340.0,87.543,89.94793,96.7614207638462
-833.521557454744,-0.497326434673,207043.0,91.186,89.32952,94.74490998411498
-1391.488546607351,-0.497326434673,3860.0,68.252,89.11707,95.55115342213595
-1393.113045686203,-0.497326434673,55578.0,79.979,90.08396,101.98208585419762
-1110.564352195499,-0.497326434673,166017.0,84.406,88.97114,95.78654797699424
-773.317803267406,-0.497326434673,131271.0,87.705,88.83692,102.48279399731317
-1732.367588765348,-0.497326434673,92143.0,91.414,90.86112,116.46370167008534
-2135.329311131124,-0.497326434673,217434.0,69.93,89.72645,92.71148065970836
-1114.654714951376,-0.497326434673,31876.0,80.267,88.73517,94.96452165786548
-954.151669452111,-0.497326434673,591.0,84.585,92.257256,110.25430035156914
-1355.931291511371,-0.497326434673,176198.0,87.87,90.19933,103.04816138643623
-875.019402201125,-0.497326434673,61772.0,91.658,90.14196,106.67891083580366
-1182.621577834297,-0.497326434673,8591.0,71.234,88.53409,93.4555588344277
-1145.483110185638,-0.497326434673,119290.0,80.528,88.727745,96.67561468425995
-3455.369213226542,-0.497326434673,80417.0,84.76,88.77237,94.33405023123092
-3049.701888109272,-0.497326434673,101843.0,88.033,91.90763,96.35791856677253
-601.30101979911,-0.497326434673,100927.0,91.911,89.241066,94.64059293906745
-1407.974788993562,-0.497326434673,62199.0,72.254,88.03291,97.3849500319182
-1367.07912139457,-0.497326434673,48855.0,80.801,89.364784,94.11359208989576
-1082.969109498353,-0.497326434673,100632.0,84.929,88.24798,94.79442646440285
-786.978902573877,-0.497326434673,153584.0,88.199,90.402016,101.3430717437543
-898.043733963766,-0.497326434673,137459.0,92.174,87.19637,94.41352820351754
-1782.586114551991,-0.497326434673,95800.0,73.098,89.44518,95.06128171684168
-1418.097356172986,-0.497326434673,55941.0,81.051,88.216,95.48388506412992
-976.995629577914,-0.497326434673,125488.0,85.097,93.41909,99.9952291696896
-830.309270640961,-0.497326434673,166285.0,88.367,87.968735,95.10099831431008
-400.192770524532,-0.497326434673,23848.0,92.467,88.6324,93.66559567990076
-3728.873826838923,-0.497326434673,97590.0,73.84,89.698044,96.06501256812123
-886.886757762872,-0.497326434673,191342.0,81.287,89.64924,101.7599943256865
-1033.590457532884,-0.497326434673,197081.0,85.263,88.5442,101.6463657710934
-884.260238339924,-0.497326434673,85665.0,88.538,92.35759,106.63140221970625
-425.848011727685,-0.497326434673,218920.0,92.77,85.78867,92.75307346858231
-1867.812860553697,-0.497326434673,85395.0,74.481,90.486626,108.21247295001304
-851.556082625241,-0.497326434673,90678.0,81.538,89.84638,91.76567801597903
-670.496650631212,-0.497326434673,204176.0,85.428,88.88244,99.40439797144484
-984.312708677792,-0.497326434673,45419.0,88.702,91.28034,104.8318447142898
-600.105882668536,-0.497326434673,33891.0,93.111,88.4172,94.19437566723
