index,SMILES
17829,C1CC(=O)NC2=C1C=CC(=C2)OCCCCN(CCNC3=C(C(=CC=C3)Cl)Cl)CC=O
17832,CN/C(=C\[N+](=O)[O-])/NCCSCC1=CSC(=N1)C=O
17837,C(CCC=O)CCNC1=NC(=C(N=C1Cl)C(=O)N=C(N)N)N
17898,C[C@H]1C=C[C@H]2CCCC[C@H]2[C@@H]1C3=CC(=C(C(=O)O3)C=O)NCCO
17935,CC1=CC2=C(C=C3[C@]4(C[C@]4([C@H]([C@H]5[C@]3(O2)CC(C5)(C)C)O)C)C=O)C(=O)O1
17959,CC(=C)C#CC1=CC(=C(C2=C1OC(=O)[C@@]23C(=O)C=C(C3=O)C#CC(=C)C)C=O)O
17969,CC1=C2[C@H]([C@@H](CC2=O)C=O)[C@@H]3[C@@H]([C@H](C1)OC(=O)CC4=CC=C(C=C4)O)C(=C)C(=O)O3
17982,CC(C)C1=C(C2=C(C(=C1)C=O)[C@]3(C[C@H](CC([C@@H]3[C@H](O2)O)(C)C)O)C)O
17990,C[C@H]1C[C@@H](C(=O)C2=C1C=C3C(=COC3=C2OC)C)C=O
18004,C1CNC2=C3C1=CC4=C(C3=C5C(=C2C=O)C=CC6=C5OCO6)OCO4
18037,CC1=C(C2=C(C(=C1O[C@H]3[C@@H]([C@H]([C@@H]([C@H](O3)CO)O)O)O)C=O)O[C@@H](CC2=O)C4=CC=C(C=C4)O)O
18051,CC1CCC(=O)C(C1(C)CC/C(=C/CC2=C(C=C(C(=C2O)C=O)C)O)/C)C
18158,CC1=COC2=C1C(=O)C(=O)C3=C2C=CC4=C3C=CCC4(C)C=O
18188,CC1=C(C2=C(C=C1)C(=C(C(=O)C2=O)C(C)C=O)O)CCC=C(C)C
18244,CCCCCC(=O)C1=C2C3=C(C[C@]([C@]2(OC1=O)C)(/C=C/C)O)C(=C(O3)O)C=O
18273,CC[C@H]1[C@@]2(O1)[C@@H](C[C@@H](O[C@H]2O)C(C(C)CC)C(=O)C3=C(C(=C(C(=C3)C(C(C)C)OC)O)C=O)O)O
18293,CC=C[C@@H]([C@H]1CCC2=C(O1)C=C(C(=C2C=O)O)CC=C(C)C)O
18327,CC[C@H](C)/C=C(\C)/C1=CC2=C(C(=C3C(=C2O1)C=C([C@](C3=O)(CC(=O)C)O)OC)O)C=O
18372,C[C@@H]1[C@H](OC=C2C1=C(C(=O)[C@@]3([C@@]2(OC4=C(C3)C(=C(C(=C4C)[C@H](C)C(=O)C)C=O)O)OC)C)C)C
18412,C[C@H]1CCC2=C(C=NC=C12)[C@H]([C@H]3C[C@@H](C4=C3C(=CN=C4)C=O)C)O
18499,CC(C1C(C(C(O1)N2C=C(NC2=O)C=O)O)O)NC(=O)C(C(C)C(C3=CN=CC=C3)O)N
18605,C1[C@H](OC2=CC(=CC(=C2C1=O)O)O)C3=CC=C(C=C3)OCC(C(C(C(C=O)O)O)O)O
18617,C[C@@H](C1=CC2=C(C=C1)[C@@H]3C[C@H]4[C@@]5(O4)CC=CC(=O)[C@@]5([C@H]3CC2)C)[C@@H](C[C@@](C)([C@](C)(C=O)O)O)O
18622,CC1[C@@H]([C@H](C[C@@H](O1)OC2=CC=CC3=C2C(=O)C4=C(C3=O)C5=C(C=C(C=C5O4)C)C=O)O)O
18852,CC(=O)N[C@@H](CC1=CC=CC=C1)C=O
19055,CSC1=C(C=C(C=C1)C=O)F
19490,CC1=C(C(=C(C(=C1Cl)O)Cl)OC)C(=O)O[C@H]([C@@H](C)O)[C@@H](CC=O)O
19605,C([C@@]1([C@@H]([C@@H]([C@]2([C@@H](C(=O)O[C@@H]1C2O)O)N)C=O)O)O)O
19647,COC1=C(C=CC(=C1)C=O)OCF
19767,CC(=O)OC[C@@H]1[C@H]([C@H]([C@@H](O1)N2C=NC3=C2N=C(N=C3Cl)C=O)OC(=O)C)OC(=O)C
20054,COC1=CC(=CC(=C1C(=O)N2CCC(CC2)CCCCNC(=O)/C=C/C3=CN=CC=C3)OC)C=O
20123,COC1=CC(=CC(=C1O)CC2=CC=C(C=C2)O)C=O
20148,C1=CC=C(C(=C1)C=O)N=O
20266,C1=CC2=NC(=C(N2C=C1)C=O)C3=CC=C(C=C3)Cl
20524,CC(CSC1=CC=CC=C1)C=O
20616,C1C[C@]2(C(=O)O[C@@H](N2C1)C(Cl)(Cl)Cl)C=O
20633,C1=CC=C(C=C1)COC2=C(C(=CC=C2)OCC3=CC=CC=C3)C=O
20893,CC(=C(C)CCC=O)C
20903,C1C2CC3CC1CC(C2)(C3)C4=CC=C(C=C4)C=O
20976,C=CC1=CC=C(C=C1)COC2=CC(=C(C=C2)C=O)O
21017,COC1=CC2=C(C=C1)C(=C(C=C2)C=O)Br
21164,CC1=C2C(=CC=C1)OC(=O)[C@@]3(C2=O)C(C(=O)C[C@@]3(C)C=C)C(C)C=O
21446,CC1=NC2=CC=CC=C2C(=C1O)C=O
21464,C1CN(CC2=C1C(=C(C=C2)O)C=O)C(=O)C3=CN=CC=C3
21581,CN1C=CC(=CC1=O)NC(=O)[C@@H]2CCN2S(=O)(=O)C3=CC(=CC4=C(NN=C34)F)C=O
21597,C1=CC(=C(N=C1)N)C2=NC3=C(N2C4=CC=C(C=C4)CNCCC5=CC(=C(C=C5)C=O)C(F)F)N=CC=C3
21857,C1[C@@H](O1)COC2=C(C=C(C=C2)C(F)(F)F)C=O
22124,CN(C)CCNC(=O)CCC1=CC2=C(S1)C=CC(=C2C=O)O
22136,CC1=C(C=C(C=C1)NC(=O)C2=CC(=NC=C2)C(C)(C)C#N)C3=CC(=C(N=C3)OC)C4(COC4)C=O
22415,C1COC2=C(O1)C=CC(=C2)C3=NN(C=C3C=O)C4=CC=C(C=C4)Cl
