index,SMILES,PubChem_CID,sel_method
254120,CCOC(=O)CC1=C(C(=CC(=C1)F)Cl)C=O,171005570,representative
160463,CC1=CC(=CC2=C1NC3=CC=CC=C32)C=O,13407528,representative
204615,CCOC1=C(C(=C(C(=C1)C=O)F)F)C,86811418,representative
25543,CC(C1=CC=CC=C1)OC2=C(C=C(C=C2)C=O)OC,2873931,representative
191384,C1=CC(=C(C=C1F)C=O)OC2=C(C=CC(=C2)F)F,63269304,representative
212559,COC(=O)CC1(CCC1)OC2=C(C=C(C=C2)C=O)F,107685218,representative
42816,C1=CC=C(C(=C1)CCC2=CC(=CC=C2)C=O)F,23587267,representative
179404,CN(CN1C(=O)CCC1=O)C2=CC=C(C=C2)C=O,166451179,representative
214063,C1=CC(=C(C=C1OC2=C(C=C(C=C2)Br)C=O)Br)F,108268408,representative
259774,C1=CC(=C(C(=C1OC(F)(F)F)Cl)C=O)F,177688698,representative
254567,CC(=O)C1=C(C=CC(=C1F)C=O)Cl,171009911,representative
263831,CC1=CC=C(C=C1)OCC2=C(C=CC(=C2)C=O)OC,1229848,representative
193488,CC1=CC(=C(C=C1)F)OC2=C(C=C(C=C2F)C=O)F,64855413,representative
48775,C1=CC(=CC=C1C=O)OC2=C(C=CC(=C2)F)C#N,58878925,representative
8643,C1=CC(=C(C=C1N)C=O)O,9543212,representative
277128,C1=CC=C2C(=C1)C=CC3=C(S2(=O)=O)C=C(C=C3)C=O,13520245,representative
288091,CN1C(=CC(=O)N(C1=O)C)N2CCN(CC2)CCCOC3=CC=CC=C3C=O,19011907,representative
212916,CC(C)(COC1=C(C=C(C=C1)F)C=O)C(=O)O,107697342,representative
290965,CNC1=CC(=CC(=C1C=O)C(=O)CC2=C(C=C(C=C2)C(=O)OC)OC)C(=O)NCC3CCCC3,19822790,representative
179467,C[C@@H](CCCC(C)C)CCOC1=C(C=C(C=C1)C=O)OCC[C@@H](C)CCCC(C)C,168011488,representative
111719,C1=CC2=C(C=C1C=O)C=C(N2CCF)CC3=C(C=C(C=C3)Cl)C(F)(F)F,146590108,representative
214393,CCCOC1CCCN(C1)C2=C(C(=CC=C2)F)C=O,108302140,representative
259187,C1=CC(=C(C(=C1)I)OCC(C(F)(F)F)(F)F)C=O,175686917,representative
178872,CC1=C(C=CC(=C1)C=O)C2=CC3=CC4=C(C=CC=C4N=C3C=C2)C(=O)O,162787859,representative
196317,C1=CC(=CC=C1COC2=C(C=C(C=C2F)C=O)F)Cl,79831164,representative
206041,CC1=CC(=C(C=C1C=O)OS(=O)(=O)C(F)(F)F)C,101194455,representative
183987,COC1=CC(=CC(=C1O)C2=CC=CC=C2OC(F)(F)F)C=O,16768820,representative
21857,C1[C@@H](O1)COC2=C(C=C(C=C2)C(F)(F)F)C=O,53892129,representative
160791,CC1(CC=C(C2=C1C=CC(=C2)C=O)C3=CC=CC=C3)C,19034452,representative
192376,CCSC1=C(C=C(C=C1)F)C=O,63803520,representative
189677,CN(CCOC)C1=C(C=C(C=C1)F)C=O,61427811,representative
