index,SMILES,PubChem_CID,sel_method
22926,CN1C=C(C=C1C=O)C(F)(F)F,84655824,representative
14501,C=CC1=C(C=C(C=N1)C=O)Cl,58001725,representative
242381,C1=CC(=C(C=C1C2=C(NC(=N2)C=O)Br)F)Cl,156027566,representative
221239,C1=CC(=CC=C1N2C(=C(C(=N2)N)C=O)N)F,115056509,representative
221235,C1=CC=C(C(=C1)N2C(=C(C(=N2)N)C=O)N)F,115056371,representative
52963,C[C@H](CO)NC1=C(C(=NC(=N1)SCC2=C(C(=CC=C2)F)F)Cl)C=O,86602452,representative
158478,C1=CC=C2C(=C1)C=CC=C2CC3=C(NC(=S)NC3=O)C=O,3923886,representative
53919,CC1=C(SC(=C1)C=O)C(=O)NCC(F)(F)F,86658035,representative
280178,C1=CC=C2C(=C1)C3=C(O2)C=C4C=C(OC4=C3)C=O,15170272,representative
119279,CCC1=CC2=C(N=C1C=O)N(C3CC2(C3)F)C(=O)NC4=NC=C(C(=C4)NCCOC)C#N,156339429,representative
231810,C1=C(C(=C(N=C1Cl)C=O)F)C(F)F,130071929,representative
190721,CC(C)N(CC(F)(F)F)C1=NC=C(S1)C=O,62749772,representative
234206,C1=C(C(=C(C(=N1)CBr)C(F)F)C=O)N,130107240,representative
237200,C1=CC(=CC(=C1)C(F)(F)F)C2=C(N=C(C=C2)F)C=O,133089676,representative
226685,CC1=C(C(=CN=C1C(F)F)C(F)(F)F)C=O,118809051,representative
242371,CC1=C(C=CC(=C1)F)C2=C(NC(=N2)C=O)Br,156027551,representative
238363,C1=CC(=CC=C1C2=C(N=CC(=C2)C=O)C3=CC=C(C=C3)OC(F)(F)F)OC(F)(F)F,134629129,representative
233251,C1=C(C(=C(N=C1I)C(F)F)CCl)C=O,130087517,representative
193363,CCN1C=C(C(=N1)C2=CC(=CN=C2)F)C=O,64593682,representative
238330,COC1=C(C(=CN=C1)C2=CC(=CC=C2)C(F)(F)F)C=O,134627166,representative
233642,C1=C(C=NC(=C1C=O)C(F)F)Cl,130095636,representative
114206,C1=C(C=C(C(=C1Cl)C2=C(C=NN2)C=O)Cl)C(F)(F)F,153894947,representative
158068,C1=CC(=C(C=C1OC(F)F)C2=NC=C(S2)C=O)OC(F)F,178133184,representative
265513,CCOC(=O)CN1C(=CC=C1C=O)C,12486473,representative
