index,SMILES,PubChem_CID
14959,CCC1=NOC=C1C=O,83478669
14993,C1=CN2C=NC=C2C=C1C=O,83826304
15598,C1=CC(=C(C(=C1OC(F)(F)F)C=O)Cl)Br,168228998
15705,C1=COC(=C1)CNC2=C(C(=C(C=C2C(=O)O)S(=O)(=O)N)Cl)C=O,129628988
15737,CC1=C2CC=C(C2=CC(=C1C=O)C(C)C)CO,172431510
16023,CCCCCC1CC2=C(C=CC(=C2)OC(=O)C)C3=C(C4=C(N13)C=CC(=C4)OC(=O)C)C=O,10388149
16037,C[C@H]([C@H]1[C@@H](O1)C[C@H]2CO[C@H]([C@@H]([C@@H]2O)O)C/C(=C/C3=NC=C(O3)C=O)/C)[C@H](C)O,10596850
16090,C1=CC(=CC=C1C=O)C2=C(C(=NC(=C2C#N)SC3=CC=C(C=C3)O)N)C#N,11717690
16301,C/C/1=C/CC[C@]2([C@@H](CC[C@@H]2[C@H](C)CCCC(C)C)C3=C(C=C(C[C@H](CC1)O)C=C3)C=O)C,44291543
16310,CC1=C(N=C(C2=C1C3=CC=CC=C3N2)C4=NC5=C(C=C4)C(=O)C=C(C5=O)N)C=O,44300485
16358,C[C@]12CCC3C(C1CC[C@]2(C#C)O)CC[C@@H]4[C@@]3(CC5=C(C4)OC(=C5)C=O)C,44355926
16384,C1=CC(=CC=C1C=O)C(=O)OCCCCC2=CNC(=S)NC2=O,44384680
16388,C1=CC=C(C=C1)CCC[C@@H]2[C@H](N(C2=O)C3=CC=C(C=C3)O)C4=CC=C(C=C4)C=O,44385944
16572,C1CCC(CC1)COC2=CC=CC3=C2C(=O)/C(=C/C4=CC=C(C=C4)C=O)/O3,46906666
16720,CC1(C(CC2=C(O1)C(=CC3=C2NC4=CC(=C(C=C43)Br)OC)C=O)Br)C,54768539
16815,C1CCC2=C(C1)C3=C(S2)N=CN(C3=O)C4=CC=CC(=C4)C=O,66553668
16844,CN(C)CCOC1=CC=C(C=C1)C2=NC(=C(N2)C3=CC=NC=C3)C4=CC5=C(C=C4)C(=CS5)C=O,71524888
16905,C1COC(C2=NOC(=C21)C=O)C3=CC=CC=C3Cl,76312587
16938,CC1=NN=C(S1)SCC2=C(N3[C@@H]([C@@H](C3=O)NC(=O)CN4C=CC=C4C=O)SC2)C(=O)O,90673404
16980,CC1(C=CC2=C(O1)C=CC3=C2OC=C(C3=O)C4=CC=C(C=C4)C=O)C,118706977
17019,C1=CC(=CC=C1C2=CC(=C(N=C2)Cl)CN3C=C(N=N3)C=O)F,118735819
17084,CS(=O)C1=C(C=C(C=C1)C(CC2CCCC2)C3=C(C4=C(N3)N=CC=C4)C=O)Cl,127037883
17165,CC1=CC(=O)OC2=C1C=CC3=C(C(=CC(=C32)C=O)C=NCCC4CNCCO4)O,136117760
17169,C1=CC=C2C(=C1)C(=O)NC(=N2)/C=C/C3=CC=C(C=C3)C=O,136168005
17373,CC1(C=CC2=C(O1)C(=CC3=C2N(C4=C3C=C(C=C4)C(C)(C)C)CC5=CC=CC=C5)C=O)C,162651031
17424,C1=CC2=C(C=CN=C2C=C1C3=CC(=CC(=C3)C=O)C(=O)N)NC4=CC5=C(C=C4)SC=N5,164619115
17431,CN(C)C1=CC=C(C=C1)/C=C\2/C(=O)N(C(=S)S2)C3=CC=C(C=C3)C=O,164625396
17437,CC(=O)OC1=C(C=C(C2=C1[C@@]34CCN([C@@H](C2)[C@H]3C=C(C(=O)C4)OC)C)C=O)OC,164628755
17444,CC1=C(C(CCC1)(C)C)/C=C/C(C)N2CCC3=C(C2)C=CC(=C3)C=O,166636362
17505,CC1=C2C(=C(N1)C=O)CC3C4(CCN3C2=O)C5=CC=CC=C5NC4=O,171342966
17588,CN1C(=CC(=N1)C2C3=C(N=CN=C3N(N2)C4CCCN(C4)C(=O)CC#N)N)C=O,171354665
17596,C[C@H]1CC[C@@H](C2=C1C(=C(C(=C2C3=C(C(=O)C=C(C3=O)O)O)C=O)O)O)C(C)C,171355260
17717,COCCOC1=C(C=C2C(=C1)C(=NC=N2)NC3=CC(=CC(=C3)C#C)C=O)OCCOC,177371605
17751,CC(C)C1=C(C=CC2=C1CC[C@@H]3[C@@]2(CCCC3(C)C)C)OCC4=CN(N=N4)C5=CC=C(C=C5)C=O,177383364
17753,CC1=CC(=NC=C1NC2=NC=C3C(=N2)N(C(=O)N3C)C4CCOCC4)C5=COC(=C5)C=O,177641238
17791,CC1C(CC(C2=C1N(C=C2C=O)C)N3C=NC4=C3N=CNC4=O)O,155802087
17898,C[C@H]1C=C[C@H]2CCCC[C@H]2[C@@H]1C3=CC(=C(C(=O)O3)C=O)NCCO,181959
17959,CC(=C)C#CC1=CC(=C(C2=C1OC(=O)[C@@]23C(=O)C=C(C3=O)C#CC(=C)C)C=O)O,11596160
17982,CC(C)C1=C(C2=C(C(=C1)C=O)[C@]3(C[C@H](CC([C@@H]3[C@H](O2)O)(C)C)O)C)O,14336135
18004,C1CNC2=C3C1=CC4=C(C3=C5C(=C2C=O)C=CC6=C5OCO6)OCO4,15765195
18037,CC1=C(C2=C(C(=C1O[C@H]3[C@@H]([C@H]([C@@H]([C@H](O3)CO)O)O)O)C=O)O[C@@H](CC2=O)C4=CC=C(C=C4)O)O,25155518
18051,CC1CCC(=O)C(C1(C)CC/C(=C/CC2=C(C=C(C(=C2O)C=O)C)O)/C)C,56670769
18244,CCCCCC(=O)C1=C2C3=C(C[C@]([C@]2(OC1=O)C)(/C=C/C)O)C(=C(O3)O)C=O,136798817
18273,CC[C@H]1[C@@]2(O1)[C@@H](C[C@@H](O[C@H]2O)C(C(C)CC)C(=O)C3=C(C(=C(C(=C3)C(C(C)C)OC)O)C=O)O)O,139585849
18293,CC=C[C@@H]([C@H]1CCC2=C(O1)C=C(C(=C2C=O)O)CC=C(C)C)O,139590199
18327,CC[C@H](C)/C=C(\C)/C1=CC2=C(C(=C3C(=C2O1)C=C([C@](C3=O)(CC(=O)C)O)OC)O)C=O,146682608
18372,C[C@@H]1[C@H](OC=C2C1=C(C(=O)[C@@]3([C@@]2(OC4=C(C3)C(=C(C(=C4C)[C@H](C)C(=O)C)C=O)O)OC)C)C)C,156582472
18412,C[C@H]1CCC2=C(C=NC=C12)[C@H]([C@H]3C[C@@H](C4=C3C(=CN=C4)C=O)C)O,162870489
18499,CC(C1C(C(C(O1)N2C=C(NC2=O)C=O)O)O)NC(=O)C(C(C)C(C3=CN=CC=C3)O)N,162957718
18622,CC1[C@@H]([C@H](C[C@@H](O1)OC2=CC=CC3=C2C(=O)C4=C(C3=O)C5=C(C=C(C=C5O4)C)C=O)O)O,163164415
19055,CSC1=C(C=C(C=C1)C=O)F,11275257
19647,COC1=C(C=CC(=C1)C=O)OCF,135068803
