index,SMILES,MW,PubChem_CID,reject_reason
65075,C1=CC2=C(C=C1C(F)(F)F)N=C(S2)SC3=C(C=C(C=C3Cl)[N+](=O)[O-])CC=O,432.8,88162916,zwitterion_or_nitro
65139,C1=C(C(=C(C(=C1F)F)F)[N+](=O)[O-])C=O,205.09,88183801,zwitterion_or_nitro
65146,C1CC2CC(CC1N2C(C=O)OC3=C(C=C(C=N3)Cl)[N+](=O)[O-])CC4=CC=C(C=C4)F,433.9,88184371,zwitterion_or_nitro
65251,C1CN(CCC1CC2=CC=C(C=C2)F)CCCN/C(=C\NC3=CC=CC(=C3)CC=O)/[N+](=O)[O-],454.5,88205605,zwitterion_or_nitro
65402,CCC(CC1=CN=C(C=C1)C(CC2=CC=[N+](C=C2)[O-])C3=CC(=C(C=C3)OC(F)F)OC(F)F)C=O,492.5,88228858,zwitterion_or_nitro
65406,C1=CC2=C(C=C1N=O)C3=C(C=CC(=C3O2)OC(F)F)C=O,291.21,88230133,reactive_group
65509,C1=CC(=C(N=C1)C(C=O)(C2=CC=C(C=C2)F)C3=CC=NC=C3)[N+](=O)[O-],337.3,88252982,zwitterion_or_nitro
65524,COC1=C(C=C(C=C1F)[N+](=O)[O-])C=O,199.14,88258202,zwitterion_or_nitro
65525,C1=CC(=C(C=C1[N+](=O)[O-])C=O)OCF,199.14,88258240,zwitterion_or_nitro
65607,C1=C(C(=CC(=C1N=O)F)Cl)C=O,187.55,88269106,reactive_group
65749,C1CC2(C1C=O)CC2NC3=C(C=C(C=C3)[N+](=O)[O-])C(F)(F)F,314.26,88279213,zwitterion_or_nitro
65754,CSC1=C(C=C(C=C1)C2(N=NN=N2)C(F)(F)F)C=O,288.25,88279814,reactive_group
65756,COC1=C(C=C(C=N1)C2(N=NN=N2)C(F)(F)F)C=O,273.17,88280109,reactive_group
65766,C1=CC(=C(C=C1Cl)C2=NC=C(C(=N2)NC3=C(C=NC=C3)[N+](=O)[O-])C=O)F,373.72,88282883,zwitterion_or_nitro
65786,CC(C)(C)OC(=O)NC1=CC(=CC(=C1)C(F)(F)F)C2=NC(=C(C(=C2)C=O)[N+](=O)[O-])OC,441.4,88286527,zwitterion_or_nitro
65802,C1=C(C=C(C=C1N=O)F)C=O,153.11,88289327,reactive_group
65873,CCN(C1CCN(C(C1)C=O)C2=CC3=C(N2)C=CC(=C3)[N+](=O)[O-])C4=C(C=CC(=N4)F)NC(C)(C)C,482.5,88294179,zwitterion_or_nitro
66099,C1=CC2=C(C(=C1)N=O)C(=NNC2=O)CC3=CC(=C(C=C3)F)C=O,311.27,88334367,reactive_group
66100,C1=CC2=C(C(=C1)N=O)C(=O)NN=C2CC3=CC(=C(C=C3)F)C=O,311.27,88334778,reactive_group
66339,C1=CC(=CC=C1COC2=CC(=C(C=C2)[N+](=O)[O-])C=O)F,275.23,88389612,zwitterion_or_nitro
66340,C1=CC(=CC=C1OC2=CC(=C(C=C2)[N+](=O)[O-])C=O)F,261.2,88389613,zwitterion_or_nitro
66366,C1=CC(=CC=C1C2=C(C=C(C=C2)C=O)[N+](=O)[O-])F,245.21,88403369,zwitterion_or_nitro
66391,CCN(C1CCN(C(C1)C=O)C2=CC3=C(N2)C=CC(=C3)[N+](=O)[O-])C4=C(C=C(C=N4)F)NC(C)(C)C,482.5,88412668,zwitterion_or_nitro
66394,CC1=C(C(=C(C(=C1F)F)OC2=CC=CC=C2C=O)[N+](=O)[O-])F,311.21,88412855,zwitterion_or_nitro
66427,CCOC1(C(=CC(=CC1(C)C(=O)O)OC2=C(C=C(C=C2)C(F)(F)F)Cl)CC=O)[N+](=O)[O-],463.8,88426149,zwitterion_or_nitro
66501,C1=CC(=C(C=C1[N+](=O)[O-])C=O)NC2=NC(/C(=C(/C(F)(F)F)\F)/S2)(C(F)(F)F)C(F)(F)F,485.26,88443561,zwitterion_or_nitro
66539,C1=NC(=NN1CC(CNC(=O)C(C=O)O)(F)F)[N+](=O)[O-],293.18,88463676,zwitterion_or_nitro
66549,C1=C(C=C(C(=C1Cl)N2N=C(C=[N+]2[O-])C=O)Cl)C(F)(F)F,326.06,88472528,zwitterion_or_nitro
66672,C1=CC(=C(C=C1C(F)(F)F)[N+](=O)[O-])N2C(=O)SC(N2)C=O,321.23,88502968,zwitterion_or_nitro
66678,CC1=C(C(=C(C=C1)C=O)[N+](=O)[O-])F,183.14,88504231,zwitterion_or_nitro
66708,CCCC(C)C(=O)NC1CCC2=CC(=C(C=C2C1C=O)[N+](=O)[O-])F,336.36,88511126,zwitterion_or_nitro
66738,C1=CC(=C(C=C1C(F)(F)F)[N+](=O)[O-])CC(=O)CC=O,275.18,88524999,zwitterion_or_nitro
66896,C1=CC(=C(C(=C1)[N+](=O)[O-])F)C(C=O)(C2=NC(=NC=C2)Cl)Br,374.55,88546240,zwitterion_or_nitro
66898,C1=CC(=C(C(=C1)[N+](=O)[O-])F)C(C=O)C2=NC(=NC=C2)Cl,295.65,88546383,zwitterion_or_nitro
66924,COC(=O)C1=CC2=C(C=C1)C=CC(=C2C3=C(C=C(C=C3F)C=O)F)[N+]#[C-],351.3,88553960,zwitterion_or_nitro
67008,C1C(C1(C=O)N=O)C2=C(C(=C(C(=C2F)F)F)F)F,265.14,88564270,reactive_group
67011,C1C(C1(C=O)N=O)C2=CC=C(C=C2)F,193.17,88564462,reactive_group
67020,COC1=C(C=CC(=C1F)C2=NC(=C(C(=N2)NCC3=CC=CC=C3N=O)C=C)C=O)Cl,426.8,88565257,reactive_group
67078,C1CC(CCC1CC=O)C2=CC=C(C=C2)C3=CC(=C(C=C3)C4=NC5=C(N4)C=C(C=C5)[N+](=O)[O-])F,457.5,88575680,zwitterion_or_nitro
67155,C=CC1=C(N=C(C(=C1NCC2=CC=CC=C2N=O)F)Cl)C=O,319.72,88582450,reactive_group
67156,CC1=C(N=C(C(=C1NCC2=CC=CC=C2N=O)F)Cl)C=O,307.71,88582510,reactive_group
67201,CCOC(=O)C(OC1=C(C=C(C=C1)C=O)N=O)F,255.2,88583822,reactive_group
67204,CC(C(=O)OC)OC1=C(C=C(C=C1F)C=O)N=O,255.2,88583905,reactive_group
67205,C1=CC(=CC=C1C2=C(C3=CC(=C(C=C3O2)[N+](=O)[O-])O)C=O)F,301.23,88583931,zwitterion_or_nitro
67207,C1=CC(=C(C=C1N=O)F)OC2=C3C(=NC=C2)C=C(S3)C=O,302.28,88583967,reactive_group
67298,CC(C)CC(C=O)C1=CC(=C(C=C1F)N=O)F,241.23,88589725,reactive_group
67370,C1=CN(C(=N1)[N+](=O)[O-])CC(CC(=O)CC=O)F,243.19,88606783,zwitterion_or_nitro
67415,COC(C=O)C1=C(C=CC(=C1)NC(=O)CF)[N+](=O)[O-],270.21,88622878,zwitterion_or_nitro
67416,CCCCOC(C=O)OC1=C(C=C(C(=C1)F)N2C(=C3CCCCC3=N2)Cl)[N+](=O)[O-],425.8,88623078,zwitterion_or_nitro
67444,C1CCO[C@H](C1)C(COC2=C(C=CC(=C2F)F)[N+](=O)[O-])C=O,315.27,88634062,zwitterion_or_nitro
67445,C1CCO[C@@H](C1)C(COC2=C(C=CC(=C2F)F)[N+](=O)[O-])C=O,315.27,88634075,zwitterion_or_nitro
67495,C1CN(CCN1C(C=O)N2C3=C(C=CC(=C3)C(F)(F)F)SC2=O)N=O,374.34,88657851,reactive_group
67532,C[C@@H]1[C@@H]([C@H](C[C@@H](O1)CC=O)NC(=O)C(F)(F)F)OC(=O)C2=CC=C(C=C2)[N+](=O)[O-],418.3,88671305,zwitterion_or_nitro
67606,C[C@@H](C1C(N(C1=O)C(=C(C)C)C(=O)O)CC(=C)C(C=O)OCC2=CC=C(C=C2)[N+](=O)[O-])F,448.4,88714964,zwitterion_or_nitro
67611,C1=CC(=CC(=C1)F)C2=CC=CC(=C2NC3=C(C=CC=N3)[N+](=O)[O-])C=O,337.3,88720250,zwitterion_or_nitro
67616,CC1=C(C(=NC=C1)NC2=C(C=CC=C2C3=CC=CC=C3F)C=O)[N+](=O)[O-],351.3,88721746,zwitterion_or_nitro
67638,C=CCOC(=O)C(C(C(=O)C(C=O)N=O)O)(F)F,265.17,88729232,reactive_group
67737,CC1=C(C=CC(=C1)NC2=C(C=C(C(=C2[N+](=O)[O-])C=O)C(F)(F)F)[N+](=O)[O-])Br,448.15,88797630,zwitterion_or_nitro
67738,C(=O)C([N+](=O)[O-])([N+](=O)[O-])F,152.04,88797653,zwitterion_or_nitro
67754,C1=CC(=CC=C1C(F)(F)F)OC(C=O)[N+](=O)[O-],249.14,88827737,zwitterion_or_nitro
67763,C1=CC2=C(C=C1F)[N+](=O)C=C(N2[O-])C=O,208.15,88840716,zwitterion_or_nitro
67844,CC(=C)CC1=C(N=C(N=C1NCC2=CC=CC=C2N=O)C3=CC(=C(C=C3)Cl)F)C=O,424.9,88854148,reactive_group
67866,CC(=C)CC1=C(N=C(N=C1NCC2=CC=CC=C2N=O)C3=C(C(=C(C=C3)Cl)OC)F)C=O,454.9,88854210,reactive_group
67867,CCO/C=C\C1=C(N=C(N=C1NCC2=CC=CC=C2N=O)C3=CC(=C(C=C3)Cl)F)C=O,440.9,88854211,reactive_group
67929,C1=CC(=C(C(=C1)I)F)CC2=CC3=C(C(=C2)N=O)N(C=C(C3=O)C=O)CCO,480.2,88859994,reactive_group
68029,CC(C1=CC(=C(C=C1)C=O)N=O)F,181.16,88871113,reactive_group
68033,C1=CC(=CC(=C1)C(F)(F)F)C2=C(C(=O)C3=C(N2)C(=CC=C3)N=O)C=O,346.26,88871510,reactive_group
68045,C=CCN(CC=C)C1=C(C=C(C(=C1)F)C=O)N=O,248.25,88873487,reactive_group
68047,CNC1=C(C=C(C(=C1)F)C=O)N=O,182.15,88873525,reactive_group
68051,CC(C)NC1=NC(=NC=C1[N+](=O)[O-])NC2=C(C=C(C=C2)C=O)F,319.29,88874050,zwitterion_or_nitro
68176,C1=CC(=C(C(=C1CC=O)F)OC2=CC(=CC(=C2)C#N)C#N)[N+](=O)[O-],325.25,88883273,zwitterion_or_nitro
68242,C1=CC(=CC(=C1)C(F)(F)F)COC2=C(C=C(C=C2)NC(=O)C3=C(C=CC=C3N=O)C=O)Cl,462.8,88891561,reactive_group
68273,COC1=CC(=C(C=C1)F)C2=C(C=C(C=C2)C=O)N=O,259.23,88893643,reactive_group
68283,CC(C)(C=O)C1C2=C(C(=CC=C2)F)OC3=C1C=CC=[N+]3[O-],287.28,88894559,zwitterion_or_nitro
68295,COC1=C(C=C(C(=C1)C(=O)N2C=C(C[C@H]2C=O)OS(=O)(=O)C(F)(F)F)[N+](=O)[O-])OC,454.3,88895892,zwitterion_or_nitro
68296,C1=CC(=C(C=C1N=O)F)OC2=C3C(=NC=C2)C=C(S3)C4=CN(N=C4)CC=O,382.4,88895922,reactive_group
68297,C1=CC(=C(C=C1C(F)(F)F)CC=O)[N+](=O)[O-],233.14,88896005,zwitterion_or_nitro
68302,CN1C(=CN=C1C2=CC3=NC=CC(=C3S2)OC4=C(C=C(C=C4)N=O)F)C=O,382.4,88896363,reactive_group
68303,CN1C(=CN=C1C2=CC3=NC=CC(=C3S2)OC4=C(C=C(C=C4)[N+](=O)[O-])F)CNCCCC=O,469.5,88896377,zwitterion_or_nitro
68366,COC1=C(C=C(C(=C1)[N+](=O)[O-])C=O)F,199.14,88904298,zwitterion_or_nitro
68410,C1=C(C=C(C(=C1F)N=O)Cl)C=O,187.55,88906293,reactive_group
68437,C1=CC(=C(C(=C1)N=O)F)CCC=O,181.16,88910679,reactive_group
68491,C1=CC(=CC(=C1)NC(=O)NC2=CC(=CC=C2)S(F)(F)(F)(F)F)CNC3=C(NN=C3)C=O,461.4,88911521,reactive_group
68527,CCCCOC1=C(C=C(C(=C1)[N+](=O)[O-])C(=O)C2CC(C[C@H]2C=O)F)OC,367.4,88914390,zwitterion_or_nitro
68596,C1=CC(=C(C(=C1)N=O)F)C=O,153.11,88919714,reactive_group
68603,C1=C(C(=CC(=C1[N+](=O)[O-])Cl)F)C(C=O)Br,296.48,88920085,zwitterion_or_nitro
68604,C1=C(C(=CC(=C1[N+](=O)[O-])Cl)F)CC=O,217.58,88920090,zwitterion_or_nitro
68614,CCN(CC)N=NC1=C(C(=CC(=C1C#C)I)C=O)C2=CC(=CC(=C2)F)F,467.3,88920641,reactive_group
68666,C[C@@H](C=O)NC1=C(C=C(C=C1)F)N=O,196.18,88924427,reactive_group
