index,SMILES,PubChem_CID
155301,C1CC1C2=C(C(=NN2)C3CC3)C4C=C(CCO4)C5=NC(=C(C(=N5)N)C=O)C6=C(C=C(C=C6)F)F,176395613
161911,CC(=O)NCC(=O)NCC(NCC(=O)NCC(=O)NCC=O)O,137319636
163158,CCCCCCCC(=C=C(C)C=O)Br,11550647
167080,C1[C@H]2N(C1=O)C=C(S2(=O)=O)OC(=O)CCCC=O,91313337
167105,C1=CSC(S1)(C=O)C(=O)O,91360954
169416,C=CCC1=CC2=C(C=C1)OC(O2)C=O,129647351
169915,C1C2C(C(O1)C=O)SS2,129712253
172369,C1=NC(C(=S(=O)=O)N1)C=O,133064798
172459,C#CCN1C2=C(C=C1C=O)SC=C2,134691316
173300,CS(=O)(C)(CC=O)Cl,134879682
174708,CCCCCCCC(CC=O)N1C=NC=N1,134999486
176209,CC1=C(C=CC(=C1)C2=NN(C(C2)C3=C(C=CC=C3Cl)Cl)C4=NC=CC(=C4)C=O)O,136610196
179080,CC[C@@H]1[C@H]2CCCCN3C2=C(C=C3C=O)[C@@H]4[C@H]1OC(=O)[C@@H]4C,164675412
180268,CC1=C(NC2=CC=CC=C12)[C@@](C=O)(C3=CC=C(C=C3)O)C4=CC=CC(=C4)C#C,176507381
180585,CNCC(=O)C(C=O)(C(=O)CNC)N(C)C(=O)C=NC,193593
181988,CCCCC1=C2CCC/C(=C\C3=CC=CC=C3)/C2=NC4=C1CCC5=CC(=C(N=C54)N)C=O,5467334
183419,C(C=O)[C@@H]1C(=O)OC(O1)(C(F)(F)F)C(F)(F)F,11161422
200381,CC1=C(NC(=C1C=O)C(C)C)C(=O)C(F)(F)F,82384109
206168,CC(=O)C(C=O)C(C(=O)SCCCS)C(F)(F)F,101500233
240825,CCC(CCCC(=NCC(=O)O)C=O)O,137220386
266340,C[C@H]1CCO[C@@H]1C(C)(C)C=O,15939972
273770,CC1=CC(=NC2=CC3=C(C=C12)OC(C(C3NCCC4=CC=CC=C4)O)(C)C)CC=O,11618333
282152,CC(CCCC=O)S(=O)(=O)CCCl,17786464
282355,CC(C)C1=CSC(=N1)COC2=CC(=CC(=C2)NC(C=O)C3=CC=CC=C3C(=O)O)N,17832047
