id,bde_gxtb_kcal
121974,105.334
92777,112.204
116448,102.811
20936,108.655
203760,86.326
52490,106.266
115187,112.4
146871,103.797
25324,145.1
74417,104.59
129225,104.522
23733,108.251
23947,108.016
105986,103.687
9944,103.007
152090,106.686
184436,103.919
15076,107.133
120934,110.094
50047,105.674
86237,105.389
84515,106.506
23369,105.065
26634,108.044
201358,109.238
43585,104.684
214716,107.155
80894,104.762
124927,104.806
220664,102.199
216618,109.955
25664,110.501
121715,104.846
138689,105.356
27730,108.53
25471,119.408
115011,103.39
175418,106.577
186314,107.092
16680,104.75
26327,105.425
43334,71.843
35204,112.779
203992,105.52
207408,95.328
30116,105.939
219228,105.725
210000,111.984
25168,106.936
37479,91.555
97479,105.807
117006,116.213
113788,104.705
31682,108.256
26476,105.535
6019,97.174
23801,123.559
12509,106.1
113281,108.534
209474,106.35
206735,107.876
35863,103.192
184476,104.328
35470,108.594
25046,105.792
114846,104.778
18245,105.297
118136,105.998
152691,101.539
112380,109.138
96497,
122460,107.221
26434,102.915
19800,70.749
22032,85.43
39666,118.279
4768,123.89
66757,98.125
12213,102.564
34893,105.605
32127,110.384
8558,112.787
129221,105.873
151474,104.599
220668,106.368
211398,109.519
33238,100.021
215021,110.482
98995,110.934
184708,105.329
203721,106.254
118940,105.531
112347,53.426
4941,103.941
112812,103.982
81268,105.84
202718,105.422
19639,104.249
31011,101.68
186589,103.898
9128,102.975
9476,106.795
182368,
152195,99.619
22754,111.526
117448,105.109
175490,103.285
207379,110.83
24466,116.723
24057,
62008,103.313
201751,102.849
15454,110.79
214818,114.045
103706,105.145
8513,107.793
5400,104.243
115019,111.145
195671,92.512
120338,81.815
76440,107.574
78878,105.985
146076,112.181
115787,107.717
205037,109.149
202487,107.892
205872,103.371
118946,105.054
124649,107.936
27079,111.578
36118,112.916
118913,110.927
209995,106.221
49525,115.046
78450,107.44
23858,83.159
151942,106.638
123667,106.451
184696,103.809
129223,118.1
118517,113.355
78186,107.057
146075,104.689
117160,149.757
186192,106.192
22075,107.612
211505,106.208
210696,61.243
27182,111.266
110196,107.137
117278,109.931
117179,109.065
210385,108.48
109805,114.641
67213,111.014
171062,104.523
71864,105.949
212091,106.617
187306,111.454
144399,108.278
49285,101.28
12436,102.858
112566,103.751
211898,109.095
51556,111.593
98595,90.707
18526,101.172
120468,111.784
49734,101.335
3146,111.813
203675,108.676
8603,110.001
3320,107.076
111334,102.669
74865,104.559
217094,112.849
1624,111.295
184357,107.213
29111,110.897
97830,102.768
26341,112.68
202719,105.33
203739,106.242
30965,111.134
171609,108.562
15839,110.882
151220,109.017
118888,100.651
10482,104.565
218472,106.333
30436,105.143
110543,121.548
103202,109.416
131488,112.231
112616,103.355
114560,106.096
92375,108.8
109439,101.784
184657,109.056
115054,105.6
186092,101.641
112775,108.326
118868,110.971
7,105.514
212201,101.416
77534,103.066
161702,108.867
21677,110.102
1775,104.812
22682,116.469
49646,109.874
26281,94.393
112649,104.982
214700,108.963
8906,110.175
5910,107.193
220407,71.614
120142,110.686
25030,138.014
92185,101.518
11184,102.243
50499,103.736
112221,105.031
208447,117.928
113786,103.967
121685,104.375
27785,106.355
26162,
57967,105.221
78058,104.534
17282,106.404
122340,111.324
23744,109.136
111810,105.673
107255,85.127
81279,104.988
201746,103.643
203704,104.24
216795,106.608
122087,98.066
9822,106.024
175501,101.414
198576,111.281
6746,106.296
