id,donor_id,acceptor_id,pair_key,reaction_type,donor_smiles,acceptor_smiles,smiles,dG_xtb_kcal,dG_gxtb_kcal,dG_pred_correction_mean,dG_pred_correction_std,dG_pred
JUEIFELKEUSJCF-LXGUWJNJSA-N__ACKYPBMCXVIWBA-MRVPVSSYSA-N,JUEIFELKEUSJCF-LXGUWJNJSA-N,ACKYPBMCXVIWBA-MRVPVSSYSA-N,ACKYPBMCXVIWBA-MRVPVSSYSA-N__JUEIFELKEUSJCF-LXGUWJNJSA-N,aliph-hetero,CC(=O)N[C@@H](C=O)[C@H]([C@@H]([C@@H](CO)O)O)OP(=O)(O)O,CC(C)(C)[C@@H](CC=O)NC1=NC(=NC=C1F)Cl,CC(=O)NC(C(=O)C(O)CC(Nc1nc(Cl)ncc1F)C(C)(C)C)C(OP(=O)(O)O)C(O)C(O)CO,-10.4186,6.4197,1.6653127014636993,0.9348448453251157,8.085012701463699
AHDFBEAYNKFHBU-UHFFFAOYSA-N__VJIVUKNORRHSBG-UHFFFAOYSA-N,AHDFBEAYNKFHBU-UHFFFAOYSA-N,VJIVUKNORRHSBG-UHFFFAOYSA-N,AHDFBEAYNKFHBU-UHFFFAOYSA-N__VJIVUKNORRHSBG-UHFFFAOYSA-N,aliph-carbo,CC1=CC=C(C=C1)S(=O)(=O)N(CC=O)CC#CC2=CC=CC=C2,C(=O)C1OC(C(O1)F)F,Cc1ccc(S(=O)(=O)N(CC#Cc2ccccc2)CC(=O)C(O)C2OC(F)C(F)O2)cc1,-18.6879,-2.289,-0.5823249715380371,0.9346055854602182,-2.871324971538037
ZJKXFSMDAKVCGE-UHFFFAOYSA-N__KTSWSPSLUAFKIK-UHFFFAOYSA-N,ZJKXFSMDAKVCGE-UHFFFAOYSA-N,KTSWSPSLUAFKIK-UHFFFAOYSA-N,KTSWSPSLUAFKIK-UHFFFAOYSA-N__ZJKXFSMDAKVCGE-UHFFFAOYSA-N,carbo-hetero,C1=CC(=C(C=C1F)C=O)C#CCS,CNCCN(CC=O)C(=O)C1=CC=CC=C1C2=CC(=C(C=C2)C3=CN=C(C=N3)N)F,CNCCN(CC(O)C(=O)c1cc(F)ccc1C#CCS)C(=O)c1ccccc1-c1ccc(-c2cnc(N)cn2)c(F)c1,-10.8345,-1.6887,3.781778445839882,0.9343941520932332,2.0930784458398817
NASNDJYGRZVKDI-UHFFFAOYSA-N__BGCDSSYQBYRCGS-LFYBBSHMSA-N,NASNDJYGRZVKDI-UHFFFAOYSA-N,BGCDSSYQBYRCGS-LFYBBSHMSA-N,BGCDSSYQBYRCGS-LFYBBSHMSA-N__NASNDJYGRZVKDI-UHFFFAOYSA-N,hetero-hetero,CCCCN1C(=CC(=O)NC1=O)C=O,CCS(=O)(=O)C1=C(N=CC(=C1)C=O)C2=NC=C(N2C)/C=C(\C(F)(F)F)/Cl,CCCCn1c(C(=O)C(O)c2cnc(-c3ncc(C=C(Cl)C(F)(F)F)n3C)c(S(=O)(=O)CC)c2)cc(=O)[nH]c1=O,-13.7842,-3.5686,3.0355041563510894,0.9341145936603602,-0.5330958436489106
WYCWMFIYFDOJIF-UHFFFAOYSA-N__BNZZPQVPSBACML-UHFFFAOYSA-N,WYCWMFIYFDOJIF-UHFFFAOYSA-N,BNZZPQVPSBACML-UHFFFAOYSA-N,BNZZPQVPSBACML-UHFFFAOYSA-N__WYCWMFIYFDOJIF-UHFFFAOYSA-N,hetero-hetero,C1CN(CCC1C=O)C(=O)COC2=C3C=CC=C(C3=NC=C2)C(F)(F)F,C1=CC(=CC=C1C2=C(C3=CC(=C(C=C3O2)[N+](=O)[O-])O)C=O)F,O=C(C1CCN(C(=O)COc2ccnc3c(C(F)(F)F)cccc23)CC1)C(O)c1c(-c2ccc(F)cc2)oc2cc([N+](=O)[O-])c(O)cc12,-8.3399,5.3019,-0.816864738240838,0.9341047005647201,4.485035261759162
QBOPCJOJBQJWMI-UHFFFAOYSA-N__IVHAHXWIHYLDCU-ARQDHWQXSA-N,QBOPCJOJBQJWMI-UHFFFAOYSA-N,IVHAHXWIHYLDCU-ARQDHWQXSA-N,IVHAHXWIHYLDCU-ARQDHWQXSA-N__QBOPCJOJBQJWMI-UHFFFAOYSA-N,aliph-hetero,CCCCOC1=C(NC=C(C1=O)C=O)C(=O)N(CC2=CC=C(C=C2)F)N,C([C@H]([C@@H]([C@@H]([C@@H](C=O)O)O)O)Cl)O,CCCCOc1c(C(=O)N(N)Cc2ccc(F)cc2)[nH]cc(C(=O)C(O)C(O)C(O)C(O)C(Cl)CO)c1=O,-12.0574,11.6192,0.6982208212837577,0.9338457988434219,12.317420821283758
PICKYDSZEQSRMO-PJVAKWIOSA-N__LKQCLJLSCQDMHZ-BQYQJAHWSA-N,PICKYDSZEQSRMO-PJVAKWIOSA-N,LKQCLJLSCQDMHZ-BQYQJAHWSA-N,LKQCLJLSCQDMHZ-BQYQJAHWSA-N__PICKYDSZEQSRMO-PJVAKWIOSA-N,carbo-hetero,CNC1=C(C=CN=C1)C2CCC[C@@H](O2)COPC3=C(C(=C(C=C3)F)C4=C(C=CC(=N4)C=O)F)F,C1=CC(=CC(=C1)C=O)/C=C/C2=CC(=CC=C2)C(F)(F)F,CNc1cnccc1C1CCCC(COPc2ccc(F)c(-c3nc(C(=O)C(O)c4cccc(C=Cc5cccc(C(F)(F)F)c5)c4)ccc3F)c2F)O1,-7.1272,2.0998,6.455970710515976,0.9338438887135662,8.555770710515976
WGLLERXLHWCXNN-UHFFFAOYSA-N__BWRHTTLKZHAWFJ-UHFFFAOYSA-N,WGLLERXLHWCXNN-UHFFFAOYSA-N,BWRHTTLKZHAWFJ-UHFFFAOYSA-N,BWRHTTLKZHAWFJ-UHFFFAOYSA-N__WGLLERXLHWCXNN-UHFFFAOYSA-N,hetero-hetero,CC1=NN(C=C1NC2=NC=C(C(=N2)NCCCN3CCCCC3C=O)C(F)(F)F)C4CCN(C4)C,COC1=C(N=C(C=C1)F)C=O,COc1ccc(F)nc1C(O)C(=O)C1CCCCN1CCCNc1nc(Nc2cn(C3CCN(C)C3)nc2C)ncc1C(F)(F)F,-13.3594,4.9199,0.47988186217844486,0.933822182914582,5.399781862178445
MLVXECZWSMTRSB-UHFFFAOYSA-N__GSDQQVJFUHUXKU-FPYGCLRLSA-N,MLVXECZWSMTRSB-UHFFFAOYSA-N,GSDQQVJFUHUXKU-FPYGCLRLSA-N,GSDQQVJFUHUXKU-FPYGCLRLSA-N__MLVXECZWSMTRSB-UHFFFAOYSA-N,aliph-carbo,C1=CC=C(C=C1)CCC(C=O)(C(F)(F)F)O,CN(/C=C(\C(=O)NC=O)/F)C1C(CC(O1)C=O)F,CN(C=C(F)C(=O)NC=O)C1OC(C(O)C(=O)C(O)(CCc2ccccc2)C(F)(F)F)CC1F,-17.6865,-0.4765,1.243158087413758,0.9337663253464278,0.7666580874137581
NZGHNKJYYRFEIE-UHFFFAOYSA-N__DJHBVVJNCJANBX-UHFFFAOYSA-N,NZGHNKJYYRFEIE-UHFFFAOYSA-N,DJHBVVJNCJANBX-UHFFFAOYSA-N,DJHBVVJNCJANBX-UHFFFAOYSA-N__NZGHNKJYYRFEIE-UHFFFAOYSA-N,hetero-hetero,C1CC(CCC1N)NC2=NC3=C(C(=N2)NC4=CC=C(C=C4)C=O)NC=N3,CNC1=C(C=CC(=C1)C(=O)NCCC2=CN=CS2)SC3=C(C=CC(=C3)F)C=O,CNc1cc(C(=O)NCCc2cncs2)ccc1Sc1cc(F)ccc1C(O)C(=O)c1ccc(Nc2nc(NC3CCC(N)CC3)nc3nc[nH]c23)cc1,-7.9941,7.1739,1.129324663616717,0.9336236787640657,8.303224663616717
