donor_id,acceptor_id,donor_smiles,acceptor_smiles
NPHHCAGJTCKHMZ-UHFFFAOYSA-N,VQDJGMNNQPROCJ-UHFFFAOYSA-N,O=Cc1cccc(-c2cccc(F)c2)c1CO,COc1cc(C=O)c2cc(C)n(C(C)=O)c2c1O
UPMWSCBOBUSVHY-UHFFFAOYSA-N,RLHMVKRLGVMAIE-UHFFFAOYSA-N,COc1cccc(C(O)COc2c(F)cccc2C=O)c1,COC(=O)c1ccc(COc2ccc(OC)cc2C=O)nc1
FKMOAZYMWFCEAF-UHFFFAOYSA-N,XAERJJRGAWIBKY-UHFFFAOYSA-N,O=Cc1cc(C(=O)O)c(Nc2ccc3sccc3c2)c(F)c1F,CCN(c1cccc(F)c1)c1ccc(C=O)cc1C
BPOOBTXCXAIQJQ-UHFFFAOYSA-N,FKVWZXOENWEHFN-UHFFFAOYSA-N,O=Cc1c(Cl)cccc1Oc1ccccc1F,CC(Oc1ccc(C=O)cc1)C(=O)Nc1ccc(F)c(F)c1
YOUXSCBHQKNTOL-UHFFFAOYSA-N,BIOUKTNSVJINJZ-UHFFFAOYSA-N,CC(C)C(CF)c1cccc(C=O)c1,CC(C)(C)OC(=O)N1CCC(C(F)(F)S(=O)(=O)c2ccccc2C=O)CC1
XCFBJBBVHDDEPN-UHFFFAOYSA-N,RYSJAQSTIILRKM-UHFFFAOYSA-N,COC(=O)COc1ccccc1-c1cc2cc(C=O)ccc2o1,COc1cc(C=O)cc(OC)c1O[Si](C)(C)C
GASAFKIJKKCDDQ-UHFFFAOYSA-N,HZNOPWKQZZXRIF-UHFFFAOYSA-N,CCCCCc1nc(C=O)ccc1F,CCOc1cc(C=O)ccc1F
BPDFZGCHPUQPJZ-UHFFFAOYSA-N,MAAXWPXWTJJZDU-UHFFFAOYSA-N,COc1nccn2nc(-c3ccc(F)cc3)c(C=O)c12,CC(C)N1CCN(Cc2ccc(F)c(C=O)c2)CC1
RCOMZYINDQPMJG-UHFFFAOYSA-N,ZEMCJOVOQZLBBY-UHFFFAOYSA-N,NCc1nc(F)cc(C(F)F)c1C=O,CC(C)(C)OC(=O)NCCc1cc(F)cc(C=O)c1
OGUGOHRWQWHRDS-UHFFFAOYSA-N,SBZFOKVBEUWGFV-UHFFFAOYSA-N,COc1ccc(Nc2nc(N)c(C=O)c(OC(C)C)n2)cc1,O=Cc1ccc(OCc2ccc(OC3CCCC3)c(C(F)(F)F)c2)cc1F
