ald_id,smiles,canon
SRYURSBDJMYTOQ-UHFFFAOYSA-N,O=Cc1ccc(-c2ccc(CCC3CCCCC3)c(F)c2)c2cccnc12,O=Cc1ccc(-c2ccc(CCC3CCCCC3)c(F)c2)c2cccnc12
AYMIQJQHWDGLAS-APWZRJJASA-N,Cc1cc(C)nc(N[C@H]2CCCN(c3ccc(-c4ncccn4)c(C=O)c3F)[C@@H]2C)n1,Cc1cc(C)nc(N[C@H]2CCCN(c3ccc(-c4ncccn4)c(C=O)c3F)[C@@H]2C)n1
CKRYWJSYCUJWIE-SFHVURJKSA-N,O=Cc1ccc2ccccc2c1N1CCCC[C@H]1CNc1cnc2cc(F)c(F)cc2n1,O=Cc1ccc2ccccc2c1N1CCCC[C@H]1CNc1cnc2cc(F)c(F)cc2n1
XPGWSOLLMKZDON-UHFFFAOYSA-N,C=CC(F)(F)Oc1ccc(-c2cc(C=O)cc(OC(F)(F)F)c2)cc1F,C=CC(F)(F)Oc1ccc(-c2cc(C=O)cc(OC(F)(F)F)c2)cc1F
HCOMZIZOKFSSEH-UHFFFAOYSA-N,O=Cc1cc(F)c(OCC(F)F)c(Br)c1,O=Cc1cc(F)c(OCC(F)F)c(Br)c1
YKZWLIFJZIJNKY-UHFFFAOYSA-N,Cc1cc(C=O)c2nn(CC(C)(C#N)NC(=O)c3ccc(OC(F)(F)F)cc3)nc2c1,Cc1cc(C=O)c2nn(CC(C)(C#N)NC(=O)c3ccc(OC(F)(F)F)cc3)nc2c1
YLRSSTPFVKTTNC-UHFFFAOYSA-N,COc1ccc(COc2ccc(F)c(OCc3ccccc3)c2C=O)cc1,COc1ccc(COc2ccc(F)c(OCc3ccccc3)c2C=O)cc1
SKWADSBDJMOUSL-UHFFFAOYSA-N,Cc1nn(-c2ccc(C=O)c(O)c2)nc1-c1ccccc1,Cc1nn(-c2ccc(C=O)c(O)c2)nc1-c1ccccc1
UQOITJYNCZIWCB-UHFFFAOYSA-N,O=Cc1ccc(Oc2ccc(O)cc2)c(C(F)(F)F)c1,O=Cc1ccc(Oc2ccc(O)cc2)c(C(F)(F)F)c1
LBEDPTYSTFMVDX-UHFFFAOYSA-N,CCCc1ccc(-c2c(-c3ccc(C(F)(F)F)cc3)cc(F)c(C=O)c2F)cc1,CCCc1ccc(-c2c(-c3ccc(C(F)(F)F)cc3)cc(F)c(C=O)c2F)cc1
